Wall time,Step,Value
1761040130.3698275,1,1.0
1761040137.8117225,3,1.0
1761040139.9548883,4,1.0
1761040143.2273438,5,1.0
1761040156.6390593,8,1.0
1761040162.611582,10,1.0
1761040165.5728555,11,1.0
1761040168.7405498,12,1.0
1761040181.9082148,15,1.0
1761040246.8800156,16,1.0
1761040256.6838832,17,1.0
1761040272.4601078,18,1.0
1761040279.3839004,19,1.0
1761040306.6150882,20,0.0
1761040322.45246,21,1.0
1761040355.7014213,23,1.0
1761040364.0652697,24,1.0
1761040390.2514777,26,1.0
1761040409.0483243,27,0.0
1761040422.0797787,28,1.0
1761040435.8952186,29,1.0
1761040455.4250214,30,0.0
1761040473.932231,31,0.0
1761040479.5447521,32,1.0
1761040489.080672,33,1.0
1761040494.039552,34,0.0
1761040497.360557,35,1.0
1761040522.7669744,37,0.0
1761040530.9493604,38,1.0
1761040539.198299,39,1.0
1761040550.827224,40,1.0
1761040557.2914724,41,1.0
1761040574.8035288,43,1.0
1761040587.4614992,44,1.0
1761040616.3381147,48,1.0
1761040623.695078,49,1.0
1761040637.9386365,50,0.0
1761040656.679331,51,0.0
1761040679.6513548,52,0.0
1761040689.3853662,53,1.0
1761040697.260903,54,0.0
1761040708.708931,55,1.0
1761040728.5767827,56,0.0
1761040758.6191595,58,1.0
1761040771.5466025,59,1.0
1761040795.8800762,61,1.0
1761040808.2938986,62,1.0
1761040820.0593507,63,1.0
1761040827.8267655,64,0.0
1761040861.1330924,66,0.0
1761040868.9117858,67,1.0
1761040880.3300588,68,1.0
1761040900.1126308,69,1.0
1761040937.9321995,71,0.0
1761040957.2774434,72,0.0
1761040965.6782072,73,1.0
1761040978.957113,74,1.0
1761041010.1618345,76,1.0
1761041024.0433545,78,1.0
1761041034.8606727,79,1.0
1761041046.691081,80,1.0
1761041056.6864676,81,1.0
1761041062.6004279,82,1.0
1761041073.2186491,83,1.0
1761041079.7786286,84,1.0
1761041095.9932714,86,1.0
1761041112.5938966,87,1.0
1761041120.4199533,88,1.0
1761041127.9767532,89,1.0
1761041135.4748595,90,1.0
1761041141.8161974,91,1.0
1761041164.969457,93,0.0
1761041177.907009,95,1.0
1761041191.2420373,96,0.0
1761041197.5566516,97,1.0
1761041216.6818304,100,1.0
1761041230.064665,101,0.0
1761041236.278202,102,1.0
1761041267.5775325,104,0.0
1761041273.8791537,105,1.0
1761041297.4440763,107,1.0
1761041310.499533,108,1.0
1761041316.8865824,109,0.0
1761041322.8891456,110,1.0
1761041328.9749188,111,1.0
1761041341.794982,112,0.0
1761041347.9738889,113,1.0
1761041376.2990868,115,1.0
1761041382.1666138,116,1.0
1761041393.519356,117,1.0
1761041400.660724,118,1.0
1761041423.961823,120,1.0
1761041434.777544,121,1.0
1761041440.8763034,122,1.0
1761041473.6244657,124,0.0
1761041493.138745,126,0.0
1761041510.6255932,127,1.0
1761041517.8146574,128,1.0
1761041523.1630988,129,1.0
1761041529.717081,130,1.0
