Wall time,Step,Value
1760236000.1760488,1,1.0
1760236015.8970778,2,1.0
1760236031.4191968,3,1.0
1760236047.3801963,4,1.0
1760236063.3153138,5,1.0
1760236080.315815,6,1.0
1760236105.2825553,7,1.0
1760236121.5598855,8,1.0
1760236138.0033212,9,1.0
1760236166.6288269,10,1.0
1760236185.9251642,11,1.0
1760236201.2336922,12,1.0
1760236228.5142825,13,1.0
1760236247.4413471,14,1.0
1760236274.5124605,15,1.0
1760236289.081792,16,1.0
1760236305.1657596,17,1.0
1760236334.1049948,18,1.0
1760236360.9223855,19,1.0
1760236392.5490847,20,1.0
1760236421.0373402,21,1.0
1760236451.0531478,22,1.0
1760236478.0025237,23,1.0
1760236510.554972,24,1.0
1760236532.664194,25,1.0
1760236561.357839,26,1.0
1760236594.4267879,27,1.0
1760236636.571962,28,0.0
1760236664.0375104,29,1.0
1760236682.6120481,30,1.0
1760236709.045009,31,1.0
1760236732.5625298,32,1.0
1760236749.0478523,33,1.0
1760236769.0485291,34,1.0
1760236796.6584125,35,1.0
1760236819.4878485,36,1.0
1760236840.5099335,37,1.0
1760236873.8813274,38,0.0
1760236906.115457,39,1.0
1760236934.9893062,40,1.0
1760236967.4688487,41,1.0
1760237018.9333937,42,0.0
1760237041.5188272,43,1.0
1760237058.5354075,44,1.0
1760237087.4887116,45,1.0
1760237115.8150742,46,1.0
1760237131.8641171,47,1.0
1760237156.4395335,48,1.0
1760237178.9979858,49,1.0
1760237197.7121377,50,1.0
1760237233.3441947,51,1.0
1760237263.9094188,52,1.0
1760237286.356691,53,1.0
1760237317.0923946,54,1.0
1760237374.552743,55,0.0
1760237390.1844187,56,1.0
1760237425.1512432,57,1.0
1760237478.1692193,58,0.0
1760237510.6054401,59,1.0
1760237542.824811,60,1.0
1760237597.6168869,61,0.0
1760237628.0319147,62,1.0
1760237647.1974986,63,1.0
1760237666.7104332,64,1.0
1760237694.4651642,65,1.0
1760237731.2243226,66,1.0
1760237761.0863037,67,1.0
1760237788.066584,68,1.0
1760237819.115471,69,1.0
1760237841.3127065,70,1.0
1760237875.9073002,71,1.0
1760237903.0335567,72,1.0
1760237930.541221,73,1.0
1760237966.4487035,74,1.0
1760237991.082765,75,1.0
1760238012.9015105,76,1.0
1760238058.5298262,77,0.0
1760238088.6199121,78,1.0
1760238106.640945,79,1.0
1760238133.5030918,80,1.0
1760238175.02924,81,0.0
1760238223.1018512,82,1.0
1760238261.186156,83,1.0
1760238293.3111496,84,1.0
1760238335.7117875,85,0.0
1760238356.697589,86,1.0
1760238389.7581747,87,1.0
1760238417.7472892,88,1.0
1760238444.834578,89,1.0
1760238473.5339384,90,1.0
1760238517.6027794,91,0.0
1760238552.8083766,92,1.0
1760238595.1818707,93,1.0
1760238635.071531,94,1.0
1760238667.103489,95,1.0
1760238689.5382943,96,1.0
1760238713.6458168,97,1.0
1760238755.0943983,98,0.0
1760238791.0920658,99,0.0
1760238815.3341255,100,1.0
1760238843.4471612,101,1.0
1760238876.8924696,102,1.0
1760238913.426715,103,1.0
1760238966.673849,104,1.0
1760239010.2287648,105,1.0
1760239043.0916736,106,0.0
1760239089.6998267,107,1.0
1760239121.9135401,108,1.0
1760239167.903688,109,0.0
1760239212.6960285,110,1.0
1760239254.6389537,111,0.0
1760239315.655628,112,1.0
1760239356.7500598,113,1.0
1760239386.118011,114,1.0
1760239411.1913645,115,1.0
1760239452.3695667,116,0.0
1760239497.394557,117,0.0
1760239526.1172237,118,1.0
1760239556.7638018,119,1.0
1760239587.3319864,120,1.0
1760239605.0385902,121,1.0
1760239628.4863675,122,1.0
1760239656.1869044,123,1.0
1760239694.4433334,124,1.0
1760239721.5093102,125,1.0
1760239741.640279,126,1.0
1760239758.831654,127,1.0
1760239787.2019422,128,1.0
1760239822.9456296,129,1.0
1760239850.2579398,130,1.0
1760239884.189506,131,1.0
1760239913.9236915,132,1.0
1760239933.7571988,133,1.0
1760239960.191636,134,1.0
1760240001.8932467,135,0.0
1760240031.4341092,136,1.0
1760240054.860487,137,1.0
1760240083.73995,138,1.0
1760240128.4096398,139,0.0
1760240161.0244157,140,1.0
1760240204.595339,141,0.0
1760240258.0096314,142,0.0
1760240311.83071,143,0.0
1760240352.698619,144,0.0
1760240394.9171202,145,0.0
1760240444.991328,146,0.0
1760240487.7165534,147,0.0
1760240518.2761416,148,1.0
1760240593.7900023,149,0.0
1760240622.6475196,150,1.0
1760240662.4084005,151,0.0
1760240689.2074504,152,1.0
1760240716.9110756,153,1.0
1760240760.4083526,154,0.0
1760240799.9591415,155,0.0
1760240841.9253953,156,0.0
1760240868.4588866,157,1.0
1760240911.2730594,158,0.0
1760240939.5753505,159,1.0
1760240971.0161493,160,1.0
1760241000.277812,161,1.0
1760241028.1951807,162,1.0
1760241068.5764508,163,0.0
1760241098.8230896,164,1.0
1760241136.6445155,165,0.0
1760241181.3148205,166,0.0
1760241207.7433178,167,1.0
1760241236.1290739,168,1.0
1760241274.2427042,169,0.0
1760241317.2795029,170,0.0
1760241351.5900104,171,1.0
1760241387.5806894,172,1.0
1760241408.528255,173,1.0
1760241434.4327455,174,1.0
1760241458.8144555,175,1.0
1760241498.8060217,176,0.0
1760241529.1264443,177,1.0
1760241556.5586133,178,1.0
1760241594.078159,179,1.0
1760241641.4915905,180,0.0
1760241668.7909873,181,1.0
1760241715.4725356,182,0.0
1760241754.4384754,183,1.0
1760241784.937913,184,1.0
1760241817.4607992,185,1.0
1760241874.7859395,186,1.0
1760241912.955545,187,1.0
1760241956.4428678,188,0.0
1760241983.6822393,189,1.0
1760242016.7515938,190,1.0
1760242048.5977068,191,1.0
1760242104.842678,192,0.0
1760242149.0186608,193,1.0
1760242189.1558948,194,1.0
1760242251.3694205,195,1.0
1760242302.3959072,196,0.0
1760242338.1432233,197,1.0
1760242392.9757142,198,0.0
1760242457.0216727,199,0.0
1760242503.2757218,200,0.0
1760242542.661118,201,1.0
1760242566.2428477,202,1.0
1760242598.1710627,203,1.0
1760242651.051803,204,1.0
1760242696.5018857,205,1.0
1760242745.3072286,206,1.0
1760242824.388247,207,1.0
1760242871.3953924,208,1.0
1760242910.7495797,209,1.0
1760243008.9376132,210,0.0
1760243062.3531182,211,0.0
1760243145.8021634,212,0.0
1760243174.6391382,213,1.0
1760243225.7899387,214,1.0
1760243245.747457,215,1.0
1760243299.0742834,216,1.0
1760243347.082734,217,1.0
1760243398.2300224,218,1.0
1760243443.9190142,219,1.0
1760243497.326856,220,1.0
1760243564.9913878,221,0.0
1760243601.7293248,222,1.0
1760243638.5697372,223,1.0
1760243678.4636497,224,1.0
1760243745.345372,225,1.0
1760243782.8574855,226,1.0
1760243847.3336086,227,0.0
1760243898.7653532,228,1.0
1760243941.8619041,229,1.0
1760243988.8447614,230,1.0
1760244060.9534879,231,0.0
1760244142.4655852,232,0.0
1760244190.2057154,233,1.0
1760244228.205399,234,1.0
1760244277.3824983,235,1.0
1760244330.0450485,236,1.0
1760244394.2238443,237,1.0
1760244475.4175868,238,1.0
1760244539.653578,239,1.0
1760244579.4026008,240,1.0
1760244623.798409,241,1.0
1760244670.6671286,242,1.0
1760244713.9291492,243,1.0
1760244766.4329097,244,1.0
1760244803.2207408,245,1.0
1760244843.1082785,246,1.0
1760244887.2595751,247,1.0
1760244945.203446,248,0.0
1760244995.1380563,249,1.0
1760245058.918948,250,0.0
1760245097.4509182,251,1.0
1760245139.5422463,252,1.0
1760245181.7681754,253,1.0
1760245243.149048,254,0.0
1760245289.3596144,255,1.0
1760245356.7869263,256,1.0
1760245392.564845,257,1.0
1760245434.0674906,258,1.0
1760245473.62646,259,1.0
1760245535.2583933,260,0.0
1760245574.4652133,261,1.0
1760245613.097208,262,1.0
1760245690.7471979,263,1.0
1760245736.5571733,264,1.0
1760245791.9900389,265,0.0
1760245827.987828,266,1.0
1760245872.9534283,267,1.0
1760245935.0730395,268,0.0
1760245997.6669307,269,0.0
1760246063.9188628,270,0.0
1760246114.8223639,271,1.0
1760246163.1680005,272,1.0
1760246252.2114975,273,0.0
1760246333.9856226,274,0.0
1760246378.2328875,275,1.0
1760246446.669323,276,1.0
1760246492.9630206,277,1.0
1760246551.5058365,278,1.0
1760246598.3149242,279,1.0
1760246649.6194484,280,1.0
1760246699.9962206,281,0.0
1760246748.8938644,282,1.0
1760246812.982981,283,0.0
1760246860.34291,284,1.0
1760246886.4129143,285,1.0
1760246940.0908906,286,0.0
1760247004.491741,287,0.0
1760247052.1234026,288,1.0
1760247100.9865124,289,1.0
1760247153.075142,290,0.0
1760247208.9114149,291,1.0
1760247257.3587208,292,1.0
1760247295.608977,293,1.0
1760247337.7957764,294,1.0
1760247389.3783488,295,1.0
1760247443.8668027,296,0.0
1760247487.1235042,297,1.0
1760247525.997295,298,1.0
1760247567.4412885,299,1.0
1760247604.7013993,300,1.0
1760247653.1975791,301,1.0
1760247690.9855955,302,1.0
1760247735.4281585,303,1.0
1760247783.0488274,304,0.0
1760247829.9408176,305,1.0
1760247890.9073396,306,0.0
1760247928.8759143,307,1.0
1760247964.7205467,308,1.0
1760248000.2658768,309,1.0
1760248051.0088198,310,0.0
1760248092.0190585,311,1.0
1760248138.0518277,312,1.0
1760248172.7676163,313,1.0
1760248208.7459393,314,1.0
1760248241.9478781,315,1.0
1760248282.3607266,316,1.0
1760248321.6452491,317,1.0
1760248359.067809,318,1.0
1760248412.6769853,319,0.0
1760248466.575234,320,0.0
1760248516.161028,321,0.0
1760248576.9727604,322,0.0
1760248629.2766008,323,0.0
1760248677.0108418,324,0.0
1760248718.6078312,325,1.0
1760248766.0237703,326,0.0
1760248802.7756546,327,1.0
1760248838.6527848,328,1.0
1760248876.1324358,329,1.0
1760248910.1881979,330,1.0
1760248944.6215863,331,1.0
1760248978.1021583,332,1.0
1760249029.831415,333,0.0
1760249078.2341154,334,0.0
1760249119.0392983,335,1.0
1760249154.912057,336,1.0
1760249197.2302413,337,1.0
1760249235.520945,338,1.0
1760249284.5255606,339,1.0
1760249331.7352626,340,0.0
1760249367.5087821,341,1.0
1760249419.1080434,342,0.0
1760249484.50043,343,0.0
1760249533.9956765,344,0.0
1760249568.0835848,345,1.0
1760249619.9288583,346,0.0
1760249659.293664,347,1.0
1760249690.6573849,348,1.0
1760249732.7780032,349,0.0
1760249765.38504,350,1.0
1760249797.255936,351,1.0
1760249828.319618,352,1.0
1760249860.5771952,353,1.0
1760249893.575851,354,1.0
1760249927.548202,355,1.0
1760249970.2881827,356,0.0
1760250004.1131222,357,1.0
1760250035.1734374,358,1.0
1760250062.2002745,359,1.0
1760250103.80305,360,0.0
1760250145.3152783,361,0.0
1760250188.1632407,362,0.0
1760250234.5616848,363,0.0
1760250263.4913516,364,1.0
1760250292.3770604,365,1.0
1760250337.6224465,366,0.0
1760250381.0304573,367,0.0
1760250416.8160942,368,1.0
1760250462.5737243,369,0.0
1760250500.4308848,370,1.0
1760250534.350221,371,1.0
1760250570.3900366,372,1.0
1760250603.279863,373,1.0
1760250633.6868715,374,1.0
1760250665.5318937,375,1.0
1760250698.5398576,376,1.0
1760250728.7527523,377,1.0
1760250760.8099484,378,1.0
1760250788.5628161,379,1.0
1760250831.9701433,380,0.0
1760250866.7104566,381,1.0
1760250916.394284,382,0.0
1760250951.5683312,383,1.0
1760250993.9855714,384,0.0
1760251022.105178,385,1.0
1760251061.5090413,386,1.0
1760251092.4568608,387,1.0
1760251123.4571726,388,1.0
1760251157.8789127,389,1.0
1760251188.759594,390,1.0
1760251236.967864,391,0.0
1760251268.0630705,392,1.0
1760251297.0133417,393,1.0
1760251340.75331,394,0.0
1760251371.2315838,395,1.0
1760251399.5079627,396,1.0
1760251440.4505365,397,0.0
1760251485.5735633,398,0.0
1760251513.7991612,399,1.0
1760251560.397632,400,0.0
1760251589.629424,401,1.0
1760251623.4959626,402,1.0
1760251652.515469,403,1.0
1760251679.694398,404,1.0
1760251723.3109593,405,0.0
1760251762.9456933,406,0.0
1760251791.5393412,407,1.0
1760251824.9131432,408,1.0
1760251869.233019,409,0.0
1760251896.6605103,410,1.0
1760251937.232327,411,0.0
1760251965.5982811,412,1.0
1760252008.9474695,413,0.0
1760252051.269252,414,0.0
1760252094.96814,415,0.0
1760252122.7701728,416,1.0
1760252166.966417,417,0.0
1760252201.7125018,418,1.0
1760252229.8919797,419,1.0
1760252260.967274,420,1.0
1760252298.7400274,421,0.0
1760252338.234009,422,0.0
1760252367.0433717,423,1.0
1760252408.3894386,424,0.0
1760252449.595455,425,0.0
1760252475.8440742,426,1.0
1760252517.3574603,427,0.0
1760252555.140637,428,0.0
1760252582.9242983,429,1.0
1760252620.7181792,430,0.0
1760252649.3331516,431,1.0
1760252688.522852,432,0.0
1760252716.4942734,433,1.0
1760252742.2170193,434,1.0
1760252784.5630066,435,0.0
1760252824.7712452,436,0.0
1760252866.7918024,437,0.0
1760252907.4315999,438,0.0
1760252936.1056423,439,1.0
1760252967.2813566,440,1.0
1760253008.2698724,441,0.0
1760253038.3404634,442,1.0
1760253069.7501593,443,1.0
1760253097.4197485,444,1.0
1760253140.9728646,445,0.0
1760253169.519305,446,1.0
1760253212.170082,447,0.0
1760253242.5535593,448,1.0
1760253287.7580018,449,0.0
1760253331.230011,450,0.0
1760253361.0549426,451,1.0
1760253389.37987,452,1.0
1760253431.740642,453,0.0
1760253460.103418,454,1.0
1760253502.726559,455,0.0
1760253532.6516774,456,1.0
1760253559.808702,457,1.0
1760253602.394481,458,0.0
1760253639.4620638,459,0.0
1760253668.6251976,460,1.0
1760253698.1304827,461,1.0
1760253727.0740654,462,1.0
1760253766.5634692,463,0.0
1760253809.4629855,464,0.0
1760253836.9291732,465,1.0
1760253878.6785808,466,0.0
1760253920.6775897,467,0.0
1760253950.076708,468,1.0
1760253993.9019365,469,0.0
1760254036.4580789,470,0.0
1760254078.7949615,471,0.0
1760254118.9027162,472,0.0
1760254147.2900727,473,1.0
1760254189.477405,474,0.0
1760254221.2048898,475,1.0
1760254263.7888758,476,0.0
1760254309.5428152,477,0.0
