Wall time,Step,Value
1760965935.2356112,1,57.0
1760965989.5297778,2,930.0
1760966005.3455803,3,304.0
1760966044.4813235,4,930.0
1760966050.9498632,5,100.0
1760966062.4450893,6,233.0
1760966068.2992673,7,76.0
1760966074.0115383,8,76.0
1760966080.3328824,9,105.0
1760966087.827277,10,114.0
1760966094.079304,11,78.0
1760966100.3908796,12,77.0
1760966107.1920245,13,105.0
1760966112.5549293,14,74.0
1760966125.6213675,15,285.0
1760966131.1238363,16,76.0
1760966136.4103427,17,78.0
1760966143.8882089,18,133.0
1760966153.9799688,19,252.0
1760966159.2757065,20,78.0
1760966169.7251437,21,263.0
1760966179.1337757,22,239.0
1760966204.3414366,23,930.0
1760966219.170351,24,398.0
1760966237.789994,25,484.0
1760966249.4136965,26,305.0
1760966264.0901935,27,400.0
1760966298.715616,28,930.0
1760966313.7437098,29,400.0
1760966330.3505425,30,400.0
1760966346.806594,31,384.0
1760966373.1451573,32,585.0
1760966401.9016294,33,782.0
1760966418.0219483,34,394.0
1760966433.879215,35,399.0
1760966449.9912102,36,393.0
1760966466.506851,37,397.0
1760966484.0730104,38,362.0
1760966526.0141077,39,927.0
1760966549.4137015,40,391.0
1760966572.0444717,41,406.0
1760966610.5771239,42,930.0
1760966649.1687195,43,930.0
1760966695.2888386,44,903.0
1760966724.5881453,45,407.0
1760966750.7317584,46,362.0
1760966806.792789,47,930.0
1760966834.4852319,48,603.0
1760966895.303449,49,930.0
1760966943.146284,50,930.0
1760966993.8222244,51,930.0
1760967043.585993,52,930.0
1760967091.3428688,53,930.0
1760967135.3731112,54,930.0
1760967179.3708274,55,928.0
1760967220.16682,56,663.0
1760967250.9379609,57,598.0
1760967297.5632558,58,930.0
1760967342.5796614,59,799.0
1760967393.1909301,60,930.0
1760967411.3897424,61,529.0
1760967434.3419137,62,368.0
1760967469.3318741,63,800.0
1760967504.347873,64,598.0
1760967527.63744,65,598.0
1760967575.8827777,66,930.0
1760967608.1099734,67,603.0
1760967638.6802342,68,603.0
1760967673.463635,69,598.0
