Wall time,Step,Value
1762522412.839927,1,1.0
1762522414.033649,2,1.0
1762522415.8982303,3,1.0
1762522432.2652063,4,0.0
1762522448.1999395,5,0.0
1762522467.4762363,6,1.0
1762522515.8513258,7,1.0
1762522595.3868196,8,1.0
1762522639.047685,9,1.0
1762522663.0692654,10,1.0
1762522665.5291915,11,1.0
1762522679.2289703,12,1.0
1762522680.445337,13,1.0
1762522681.7354515,14,1.0
1762522683.224138,15,1.0
1762522695.7430859,16,1.0
1762522696.7488694,17,1.0
1762522697.7519982,18,1.0
1762522698.7731256,19,1.0
1762522699.7844405,20,1.0
1762522700.8687632,21,1.0
1762522701.891864,22,1.0
1762522702.902209,23,1.0
1762522703.983881,24,1.0
1762522705.0120351,25,1.0
1762522706.0236127,26,1.0
1762522707.041462,27,1.0
1762522708.0561278,28,1.0
1762522709.0866144,29,1.0
1762522710.0959501,30,1.0
1762522711.0980732,31,1.0
1762522712.170426,32,1.0
1762522713.2054396,33,1.0
1762522716.0280488,34,1.0
1762522717.4994261,35,1.0
1762522718.5275857,36,1.0
1762522719.9369593,37,1.0
1762522721.8467383,38,1.0
1762522722.7986999,39,1.0
1762522726.139716,40,1.0
1762522727.097633,41,1.0
1762522728.0745082,42,1.0
1762522730.8928533,43,1.0
1762522731.853114,44,1.0
1762522732.8477561,45,1.0
1762522737.0913813,46,1.0
1762522738.117148,47,1.0
1762522739.2266335,48,1.0
1762522749.9042087,49,1.0
1762522751.5766342,50,1.0
1762522752.9326668,51,1.0
1762522754.3414469,52,1.0
1762522755.655631,53,1.0
1762522757.342405,54,1.0
1762522841.1281035,55,0.0
1762522935.0827038,56,0.0
1762523023.360339,57,0.0
1762523107.6577609,58,0.0
1762523121.2092595,59,1.0
1762523129.1185412,60,1.0
1762523158.8210304,61,0.0
1762523257.8354578,62,0.0
1762523357.4985242,63,0.0
1762523469.7559845,64,0.0
1762523575.5301545,65,0.0
1762523679.87899,66,0.0
1762523780.0289948,67,0.0
1762523883.728328,68,0.0
1762523988.3084333,69,0.0
1762524091.0450096,70,0.0
1762524197.9755795,71,0.0
1762524221.9949327,72,1.0
1762524248.3709383,73,1.0
1762524359.9837592,74,0.0
1762524470.701874,75,0.0
1762524580.3909357,76,0.0
1762524686.681681,77,0.0
1762524795.680761,78,0.0
1762524915.0442555,79,0.0
1762525024.3240697,80,0.0
1762525133.20679,81,0.0
1762525246.603478,82,0.0
1762525358.0201864,83,0.0
1762525470.0140648,84,0.0
1762525584.1616497,85,0.0
1762525700.56867,86,0.0
1762525780.340045,87,1.0
1762525894.2672389,88,0.0
1762526006.0832472,89,0.0
1762526118.1697912,90,0.0
1762526177.0596728,91,1.0
1762526288.19751,92,0.0
1762526401.0605454,93,0.0
1762526510.7109575,94,0.0
1762526567.6377585,95,1.0
1762526675.92843,96,0.0
1762526783.7604384,97,0.0
1762526890.396325,98,0.0
1762526995.2762687,99,0.0
1762527096.623914,100,0.0
1762527195.5795689,101,0.0
1762527219.0851371,102,1.0
1762527317.1368976,103,0.0
1762527363.410953,104,1.0
1762527456.6940079,105,0.0
1762527518.2018929,106,1.0
1762527527.9255095,107,1.0
1762527625.9774184,108,0.0
1762527724.089076,109,0.0
1762527821.2897577,110,0.0
1762527919.7581453,111,0.0
1762528023.4806976,112,0.0
1762528123.2697456,113,0.0
1762528224.8074706,114,0.0
1762528326.8978004,115,0.0
1762528432.8112369,116,0.0
1762528486.2289968,117,1.0
1762528591.798707,118,0.0
1762528697.0993853,119,0.0
1762528793.5706608,120,0.0
1762528892.1620142,121,0.0
1762528992.6555028,122,0.0
1762529043.2506196,123,1.0
1762529095.2281919,124,1.0
1762529118.416328,125,1.0
1762529217.6279142,126,0.0
1762529271.9443123,127,1.0
1762529372.243228,128,0.0
1762529471.9795976,129,0.0
1762529576.1574142,130,0.0
1762529678.9476488,131,0.0
1762529709.0181491,132,1.0
1762529731.07488,133,1.0
1762529836.3916326,134,0.0
1762529942.1862185,135,0.0
1762530050.8055465,136,0.0
1762530079.9576669,137,1.0
1762530183.7748868,138,0.0
1762530289.0526989,139,0.0
1762530336.3595521,140,1.0
1762530439.363769,141,0.0
1762530540.1175385,142,0.0
1762530641.4917107,143,0.0
1762530745.2870045,144,0.0
1762530844.9073052,145,0.0
1762530940.77354,146,0.0
1762531035.3978143,147,0.0
1762531132.676023,148,0.0
1762531135.0939238,149,1.0
1762531234.445364,150,0.0
1762531339.122304,151,0.0
1762531445.9170873,152,0.0
1762531550.1480787,153,0.0
1762531586.3542032,154,1.0
1762531688.2114527,155,0.0
1762531797.3217342,156,0.0
1762531900.9036868,157,0.0
1762531927.61815,158,1.0
1762531931.0995636,159,1.0
1762531983.3896198,160,1.0
1762532082.704664,161,0.0
1762532132.8984072,162,1.0
1762532232.7820435,163,0.0
1762532330.2369075,164,0.0
1762532432.5013962,165,0.0
1762532529.9933894,166,0.0
1762532632.369211,167,0.0
1762532734.3925962,168,0.0
1762532835.12567,169,0.0
1762532873.5747223,170,1.0
1762532975.842442,171,0.0
1762533077.1543465,172,0.0
1762533181.0627358,173,0.0
1762533285.3745255,174,0.0
1762533385.3410022,175,0.0
1762533488.4331543,176,0.0
1762533587.4520833,177,0.0
1762533691.3079627,178,0.0
1762533794.1745913,179,0.0
1762533896.5104225,180,0.0
1762534002.6956706,181,0.0
1762534007.5180433,182,1.0
1762534111.2019172,183,0.0
