Wall time,Step,Value
1762745392.2237847,1,1.0
1762745394.7284296,2,1.0
1762745397.8513844,3,1.0
1762745419.1811604,4,0.0
1762745439.5207996,5,0.0
1762745459.9254935,6,0.0
1762745481.4906662,7,1.0
1762745482.7025044,8,1.0
1762745483.9909542,9,1.0
1762745486.1320555,10,1.0
1762745488.1781237,11,1.0
1762745489.3504364,12,1.0
1762745490.5704389,13,1.0
1762745491.7991686,14,1.0
1762745492.9348688,15,1.0
1762745494.3766253,16,1.0
1762745495.608529,17,1.0
1762745496.7980335,18,1.0
1762745498.7832272,19,1.0
1762745575.3387928,20,1.0
1762745603.5145838,21,1.0
1762745628.153705,22,1.0
1762745638.929137,23,1.0
1762745641.1179006,24,1.0
1762745771.6691768,25,0.0
1762745888.063477,26,0.0
1762746010.7005386,27,0.0
1762746113.2126307,28,0.0
1762746220.2762234,29,0.0
1762746323.2062957,30,0.0
1762746345.7990043,31,1.0
1762746359.340975,32,1.0
1762746381.339086,33,1.0
1762746389.5876095,34,1.0
1762746391.9805136,35,1.0
1762746394.2793536,36,1.0
1762746397.5576348,37,1.0
1762746401.506668,38,1.0
1762746404.3245504,39,1.0
1762746414.66101,40,1.0
1762746417.515841,41,1.0
1762746419.5524306,42,1.0
1762746447.2745457,43,0.0
1762746449.4102106,44,1.0
1762746454.3168595,45,1.0
1762746465.6529844,46,1.0
1762746494.0274916,47,1.0
1762746523.0257354,48,1.0
1762746552.7327182,49,1.0
1762746554.81292,50,1.0
1762746582.5676491,51,1.0
1762746610.2323396,52,1.0
1762746650.3161008,53,0.0
1762746658.8398514,54,1.0
1762746661.5004818,55,1.0
1762746663.627435,56,1.0
1762746665.9315305,57,1.0
1762746674.1798158,58,1.0
1762746677.6331978,59,1.0
1762746682.804321,60,1.0
1762746686.7967813,61,1.0
1762746688.691769,62,1.0
1762746695.0616713,63,1.0
1762746697.068757,64,1.0
1762746702.6517386,65,1.0
1762746704.5522933,66,1.0
1762746707.6028152,67,1.0
1762746713.6046963,68,1.0
1762746741.286568,69,1.0
1762746768.5799615,70,1.0
1762746904.271009,71,0.0
1762747048.3474622,72,0.0
1762747212.151764,73,0.0
1762747374.4160469,74,0.0
1762747524.3259907,75,0.0
1762747550.5083582,76,1.0
1762747677.2620564,77,1.0
1762747680.682047,78,1.0
1762747693.0616329,79,1.0
1762747695.7724292,80,1.0
1762747718.4248197,81,1.0
1762747735.8282413,82,1.0
1762747747.0588498,83,1.0
1762747763.9545622,84,1.0
1762747891.5843232,85,0.0
1762748036.9940789,86,0.0
1762748100.563508,87,1.0
1762748167.3437288,88,1.0
1762748329.426626,89,0.0
1762748393.7825027,90,1.0
1762748518.088806,91,0.0
1762748585.5728672,92,1.0
1762748678.6036885,93,1.0
1762748704.564331,94,1.0
1762748730.6881182,95,1.0
1762748758.099328,96,1.0
1762748895.2663596,97,0.0
