Wall time,Step,Value
1763290004.0367045,5,0.0
1763290174.4668992,15,1.0
1763290187.6762512,16,1.0
1763290229.033886,19,1.0
1763290251.9507792,20,1.0
1763290372.225927,27,1.0
1763290376.3005881,28,0.0
1763290485.3838491,41,0.0
1763290540.9515622,48,0.0
1763290548.0734332,49,0.0
1763290553.723827,50,0.0
1763290591.1095946,55,0.0
1763290718.8389318,63,0.0
1763290728.2640922,64,0.0
1763290750.8052135,67,0.0
1763290763.6142106,68,1.0
1763290796.2406502,71,0.0
1763290802.8672888,72,0.0
1763290832.690549,78,0.0
1763290864.7052295,83,1.0
1763290913.5751998,90,0.0
1763291012.68627,100,0.0
1763291060.8035161,104,1.0
1763291111.6802137,108,1.0
1763291287.6700737,122,1.0
1763291337.3301196,126,1.0
1763291351.6389647,127,1.0
1763291377.7617252,129,1.0
1763291399.4694915,131,1.0
1763291468.6570902,137,1.0
1763291561.8528824,145,1.0
1763291581.8504753,147,1.0
1763291592.712788,148,1.0
1763291621.7756574,151,1.0
1763291696.5163925,158,1.0
1763291729.5985487,161,1.0
1763291751.0628388,163,1.0
1763291772.0854928,165,1.0
1763291846.9932325,172,1.0
1763291857.766076,173,1.0
1763291912.7316012,178,1.0
1763291993.168699,185,1.0
1763292004.424034,186,1.0
1763292068.837341,192,1.0
1763292078.9453528,193,1.0
1763292206.66343,204,1.0
1763292229.083042,206,1.0
1763292316.006472,214,1.0
1763292336.4303727,216,1.0
1763292420.6008527,225,1.0
1763292479.4862275,230,1.0
1763292652.5376246,245,1.0
1763292663.8525097,246,0.0
1763292814.410812,259,0.0
1763292827.5126574,260,1.0
1763292842.12609,261,1.0
1763292969.858381,272,1.0
1763293005.1985693,275,0.0
1763293042.5194266,279,1.0
1763293070.497865,283,0.0
1763293093.6617453,286,1.0
1763293136.9855313,289,0.0
1763293162.5159152,291,1.0
1763293223.1787443,296,1.0
1763293250.5580754,298,1.0
1763293263.1543553,299,1.0
1763293373.992775,309,1.0
1763293422.3988428,313,1.0
1763293472.3577123,317,1.0
1763293494.5615122,319,1.0
1763293507.4533503,320,1.0
1763293544.3844795,323,1.0
1763293685.7665818,338,1.0
1763293783.2715883,346,1.0
1763293796.4808233,347,1.0
1763293950.4150753,359,1.0
1763294026.124483,365,1.0
1763294037.6861062,366,1.0
1763294048.1426108,367,1.0
1763294193.7320275,379,1.0
1763294286.8102856,387,1.0
1763294330.043729,391,1.0
1763294351.1589491,393,1.0
1763294406.4428065,398,1.0
1763294463.9172692,403,1.0
1763294485.1517797,405,1.0
1763294607.4385066,416,1.0
1763294670.7208993,422,1.0
1763294680.8415408,423,1.0
1763294816.8196733,437,1.0
1763294826.520747,438,1.0
1763294849.0442724,440,1.0
1763294888.5826964,444,1.0
1763294900.023334,445,1.0
1763294919.7694364,447,1.0
1763294970.562432,453,0.0
1763294991.620717,457,1.0
1763295038.1503038,462,1.0
1763295068.8962572,466,0.0
1763295095.7367718,469,0.0
1763295115.9721267,471,1.0
1763295130.572213,475,0.0
1763295133.781349,476,0.0
1763295178.9283526,481,1.0
1763295189.344851,482,1.0
1763295228.3084888,488,1.0
1763295240.5605638,490,0.0
1763295286.9852102,495,1.0
1763295376.6903114,511,0.0
1763295390.3440943,513,0.0
1763295400.2563775,514,1.0
1763295409.8876865,515,1.0
1763295435.8584976,518,1.0
1763295447.5059128,520,0.0
1763295551.499479,534,0.0
1763295555.094912,535,0.0
1763295572.6163907,537,1.0
1763295580.8244534,539,0.0
1763295600.007371,541,1.0
1763295622.3096828,545,0.0
1763295641.646291,547,1.0
1763295679.3968527,551,1.0
1763295696.2359867,553,1.0
1763295724.432955,557,0.0
1763295765.6763632,563,1.0
1763295773.6716642,565,0.0
1763295799.4280913,569,0.0
1763295923.1908708,585,1.0
1763295933.0939295,586,1.0
1763295958.8720303,589,1.0
1763295978.2402081,591,1.0
1763296017.4294944,595,0.0
1763296029.5377378,597,1.0
1763296139.1745265,609,1.0
1763296180.7911744,614,0.0
1763296189.2070882,615,1.0
1763296253.7831926,623,1.0
1763296261.3511162,624,0.0
1763296285.4189894,629,1.0
1763296293.3384628,630,1.0
1763296329.27926,634,1.0
1763296365.3710144,638,1.0
1763296394.357179,644,0.0
1763296397.3668206,645,0.0
1763296442.9400156,650,1.0
1763296459.3231623,652,0.0
1763296510.050291,659,0.0
1763296530.000713,661,1.0
1763296595.5318737,668,1.0
1763296658.9526758,676,0.0
1763296663.3052201,677,0.0
1763296718.6545002,685,1.0
1763296790.9371126,693,1.0
