Wall time,Step,Value
1763290004.036711,5,121.0
1763290174.466917,15,4720.0
1763290187.6762574,16,4720.0
1763290229.0339036,19,4720.0
1763290251.9507978,20,4720.0
1763290372.2259357,27,4720.0
1763290376.3006046,28,4617.0
1763290485.3838558,41,4664.0
1763290540.9515815,48,15.0
1763290548.073452,49,42.0
1763290553.7238455,50,30.0
1763290591.1096025,55,4606.0
1763290718.8389475,63,46.0
1763290728.2640991,64,4678.0
1763290750.8052208,67,1612.0
1763290763.6142297,68,4720.0
1763290796.240659,71,3132.0
1763290802.8672955,72,58.0
1763290832.6905653,78,27.0
1763290864.705247,83,4720.0
1763290913.5752068,90,4627.0
1763291012.6862764,100,4610.0
1763291060.8035357,104,4720.0
1763291111.6802208,108,4720.0
1763291287.6700897,122,4720.0
1763291337.330126,126,4720.0
1763291351.6389942,127,4720.0
1763291377.7617428,129,4720.0
1763291399.4695208,131,4720.0
1763291468.6571252,137,4720.0
1763291561.8528972,145,4720.0
1763291581.850506,147,4720.0
1763291592.7128048,148,4720.0
1763291621.7756665,151,4720.0
1763291696.5164113,158,4720.0
1763291729.598555,161,4720.0
1763291751.0628688,163,4720.0
1763291772.0854993,165,4720.0
1763291846.9932394,172,4720.0
1763291857.7660825,173,4720.0
1763291912.7316098,178,4720.0
1763291993.1687179,185,4720.0
1763292004.4240413,186,4720.0
1763292068.8373592,192,4720.0
1763292078.94537,193,4720.0
1763292206.663437,204,4720.0
1763292229.0830488,206,4720.0
1763292316.0064893,214,4720.0
1763292336.4304042,216,4720.0
1763292420.6008813,225,4720.0
1763292479.4862447,230,4720.0
1763292652.537631,245,4720.0
1763292663.8525164,246,1653.0
1763292814.4108434,259,115.0
1763292827.512675,260,4720.0
1763292842.1261141,261,4720.0
1763292969.8583875,272,4720.0
1763293005.1985853,275,4645.0
1763293042.5194333,279,4720.0
1763293070.4978719,283,4667.0
1763293093.6617522,286,4720.0
1763293136.9855504,289,137.0
1763293162.5159235,291,4720.0
1763293223.1787612,296,4720.0
1763293250.5580819,298,4720.0
1763293263.1543736,299,4720.0
1763293373.9927819,309,4720.0
1763293422.3988605,313,4720.0
1763293472.3577209,317,4720.0
1763293494.561519,319,4720.0
1763293507.4533591,320,4720.0
1763293544.3844974,323,4720.0
1763293685.7665968,338,4720.0
1763293783.2715971,346,4720.0
1763293796.48084,347,4720.0
1763293950.4151077,359,4720.0
1763294026.1245115,365,4720.0
1763294037.686113,366,4720.0
1763294048.142628,367,4720.0
1763294193.7320359,379,4720.0
1763294286.8102946,387,4720.0
1763294330.0437477,391,4720.0
1763294351.1589677,393,4720.0
1763294406.442823,398,4720.0
1763294463.917285,403,4720.0
