Wall time,Step,Value
1762669761.1032004,1,11.0
1762669762.1732078,2,7.0
1762669764.4175782,3,16.0
1762669765.983816,4,9.0
1762669782.38443,5,5.0
1762669798.265108,6,5.0
1762669814.1536705,7,5.0
1762669830.0099747,8,5.0
1762669835.74442,9,45.0
1762669837.9299848,10,18.0
1762669857.6424432,11,276.0
1762669858.9352548,12,10.0
1762669862.4424026,13,66.0
1762669863.6352522,14,9.0
1762669865.3506768,15,23.0
1762669866.9752705,16,20.0
1762669868.7864416,17,24.0
1762669873.096752,18,76.0
1762669875.6423388,19,35.0
1762669877.88568,20,34.0
1762669880.024343,21,22.0
1762669881.2521677,22,9.0
1762669957.2178147,23,441.0
1762669991.1393778,24,10.0
1762670054.8916016,25,904.0
1762670186.617919,26,4720.0
1762670307.1956644,27,4720.0
1762670394.3978887,28,4720.0
1762670454.3227453,29,4720.0
1762670509.0650704,30,4720.0
1762670563.9936228,31,4720.0
1762670568.4477355,32,105.0
1762670583.2495294,33,373.0
1762670597.4992616,34,401.0
1762670639.5927389,35,1270.0
1762670652.0054984,36,391.0
1762670663.2186687,37,363.0
1762670675.7710671,38,410.0
1762670687.5177042,39,386.0
1762670699.1593559,40,367.0
1762670710.5502667,41,366.0
1762670722.0111938,42,374.0
1762670733.8768299,43,359.0
1762670742.5848083,44,234.0
1762670754.967057,45,336.0
1762670769.651771,46,358.0
1762670784.607049,47,382.0
1762670800.404256,48,360.0
1762670817.2371585,49,361.0
1762670835.6142132,50,363.0
1762670855.3331108,51,358.0
1762670875.6777794,52,358.0
1762670980.1495318,53,4720.0
1762671063.955207,54,4328.0
1762671066.920847,55,50.0
1762671142.8843343,56,4720.0
1762671219.1084435,57,4720.0
1762671298.7766573,58,4720.0
1762671378.0244722,59,4720.0
1762671458.614659,60,4720.0
1762671532.0811284,61,4720.0
1762671605.1495159,62,4720.0
1762671681.0814323,63,4720.0
1762671752.386093,64,4720.0
1762671819.5813897,65,4720.0
1762671890.6395357,66,4720.0
1762671959.7393205,67,4720.0
1762672027.5971653,68,4720.0
1762672095.9629514,69,4720.0
1762672163.5177577,70,4720.0
1762672228.4696527,71,4720.0
1762672293.5570357,72,4720.0
1762672357.1822813,73,4720.0
1762672423.058221,74,4720.0
1762672487.331021,75,4720.0
1762672551.581531,76,4720.0
1762672628.5714157,77,4720.0
1762672653.6490705,78,729.0
1762672719.81951,79,4720.0
1762672800.042896,80,4720.0
1762672885.5601633,81,4720.0
1762672971.5657218,82,4720.0
1762673053.7933972,83,4720.0
1762673141.3369718,84,4720.0
1762673229.9085824,85,4720.0
1762673318.736613,86,4720.0
1762673404.687112,87,4720.0
1762673487.1959724,88,4720.0
1762673578.5609696,89,4720.0
1762673675.7962685,90,4720.0
1762673772.9922605,91,4720.0
1762673864.1835666,92,4720.0
1762673902.6151907,93,380.0
1762674004.3545382,94,4720.0
1762674099.4396656,95,4720.0
1762674195.5346367,96,4720.0
1762674292.945778,97,4720.0
1762674387.6696675,98,4720.0
1762674484.0627973,99,4720.0
1762674581.9502199,100,4720.0
1762674689.1862354,101,4720.0
1762674749.740799,102,908.0
1762674863.2056742,103,4720.0
1762674978.251999,104,4720.0
1762675031.3214135,105,802.0
1762675152.2109637,106,4720.0
1762675275.8592238,107,4720.0
1762675396.8829536,108,4720.0
1762675516.4083574,109,4720.0
1762675629.0883198,110,4720.0
1762675680.8478103,111,802.0
1762675735.3826544,112,855.0
1762675843.1163337,113,4720.0
1762675895.1890955,114,828.0
1762676005.6101649,115,4720.0
1762676108.7136617,116,4720.0
1762676213.2625294,117,4720.0
1762676317.8609412,118,4720.0
1762676372.6003132,119,867.0
1762676434.2899163,120,882.0
1762676490.0132363,121,834.0
1762676592.546398,122,4720.0
1762676695.7642758,123,4720.0
1762676795.858633,124,4720.0
1762676907.73616,125,4720.0
1762677012.656643,126,4720.0
1762677108.629444,127,4720.0
1762677207.3168123,128,4720.0
1762677303.427775,129,4720.0
1762677307.0369408,130,50.0
1762677313.6045802,131,105.0
1762677318.0176146,132,50.0
1762677327.0624135,133,105.0
1762677426.3532815,134,4720.0
1762677474.070534,135,832.0
1762677563.3412104,136,4720.0
1762677661.487973,137,4720.0
1762677668.9838192,138,106.0
1762677765.3479328,139,4720.0
1762677864.9427176,140,4720.0
1762677963.1365905,141,4720.0
1762678062.4848619,142,4720.0
1762678157.581703,143,4720.0
1762678269.7855484,144,4720.0
1762678362.9033444,145,4720.0
1762678458.6435673,146,4720.0
1762678551.5979025,147,4720.0
1762678639.2504356,148,4720.0
1762678722.6124709,149,4720.0
1762678811.6051195,150,4720.0
1762678893.892187,151,4720.0
1762678904.285148,152,148.0
1762678911.0089571,153,106.0
1762678917.83426,154,106.0
1762679008.0930362,155,4720.0
1762679100.3081148,156,4720.0
1762679195.7105603,157,4720.0
1762679202.9789395,158,106.0
1762679303.638035,159,4720.0
1762679418.1063817,160,4720.0
1762679428.375037,161,160.0
1762679527.7708194,162,4720.0
1762679535.7186027,163,105.0
1762679634.229665,164,4720.0
1762679662.6911857,165,425.0
1762679763.8904617,166,4720.0
1762679866.4791694,167,4720.0
1762679926.1608043,168,965.0
1762680028.7812917,169,4720.0
1762680093.6952527,170,977.0
1762680202.70398,171,4720.0
1762680309.2876394,172,4720.0
1762680465.6414487,173,1507.0
1762680487.9740496,174,346.0
1762680589.2070642,175,4720.0
1762680596.3153884,176,105.0
1762680710.7192466,177,4720.0
1762680815.1771255,178,4720.0
1762680821.0971215,179,80.0
1762680829.9365966,180,105.0
1762680957.0875628,181,4720.0
1762680995.8065872,182,475.0
1762681152.5888584,183,4578.0
1762681171.5686908,184,35.0
1762681291.805088,185,1141.0
1762681423.9173605,186,4720.0
1762681427.507753,187,50.0
1762681460.0410721,188,463.0
1762681472.5776515,189,169.0
1762681496.8536522,190,341.0
