Wall time,Step,Value
1762814556.964375,1,21.0
1762814558.4014077,2,8.0
1762814560.4043186,3,10.0
1762814581.3548133,4,5.0
1762814601.204052,5,5.0
1762814621.0540512,6,5.0
1762814632.1218593,7,52.0
1762814643.3769882,8,5.0
1762814659.3827114,9,97.0
1762814663.0024536,10,31.0
1762814747.179911,11,800.0
1762814764.3845613,12,3837.0
1762814818.8157248,13,340.0
1762814874.765862,14,13.0
1762814880.6071315,15,14.0
1762814884.3679774,16,24.0
1762814899.973143,17,38.0
1762814901.3663714,18,9.0
1762814905.8478267,19,41.0
1762814909.528462,20,33.0
1762814910.8663716,21,9.0
1762814912.6875439,22,13.0
1762814944.770353,23,93.0
1762815126.4088714,24,4720.0
1762815287.6792464,25,4720.0
1762815415.6625183,26,4720.0
1762815440.3152473,27,362.0
1762815463.6397316,28,350.0
1762815486.2630112,29,350.0
1762815507.345697,30,349.0
1762815517.6511664,31,151.0
1762815526.9956052,32,158.0
1762815544.7015157,33,281.0
1762815554.2392557,34,157.0
1762815564.0596447,35,158.0
1762815567.4287431,36,50.0
1762815572.6610148,37,105.0
1762815574.9167376,38,31.0
1762815580.1956654,39,89.0
1762815583.1652062,40,58.0
1762815591.1935878,41,157.0
1762815593.9774961,42,43.0
1762815603.7061365,43,175.0
1762815611.0976417,44,152.0
1762815617.2084882,45,111.0
1762815620.6328154,46,76.0
1762815625.5078256,47,80.0
1762815638.9277356,48,172.0
1762815644.0056283,49,60.0
1762815661.0749834,50,234.0
1762815671.2171576,51,137.0
1762815674.6032908,52,25.0
1762815676.3540466,53,17.0
1762815684.974642,54,118.0
1762815687.0555482,55,22.0
1762815693.5681953,56,78.0
1762815695.629715,57,20.0
1762815697.4318867,58,17.0
1762815699.629903,59,23.0
1762815701.5098045,60,18.0
1762815703.8752916,61,29.0
1762815705.678109,62,20.0
1762815707.8776164,63,25.0
1762815730.311344,64,23.0
1762815732.437029,65,25.0
1762815734.1185255,66,16.0
1762815736.3444636,67,25.0
1762815738.0248692,68,17.0
1762815740.0607636,69,24.0
1762815762.4644706,70,21.0
1762815764.136345,71,17.0
1762815765.8598874,72,17.0
1762815767.8940892,73,26.0
1762815769.751504,74,21.0
1762815772.024517,75,31.0
1762815773.7917743,76,19.0
1762815775.793119,77,24.0
1762815778.040971,78,27.0
1762815800.409939,79,24.0
1762815802.3954802,80,23.0
1762815805.3845727,81,32.0
1762815810.1895354,82,81.0
1762815823.3521836,83,229.0
1762815840.5140471,84,300.0
1762815850.6009467,85,152.0
1762815852.5796044,86,22.0
1762815861.9563088,87,139.0
1762815875.4497344,88,243.0
1762815879.087595,89,55.0
1762815883.537468,90,65.0
1762815888.6642582,91,57.0
1762815898.688323,92,172.0
1762815900.8003893,93,26.0
1762815904.454344,94,44.0
1762815913.8293772,95,165.0
1762815916.9402077,96,36.0
1762815938.3634846,97,387.0
1762815942.7429469,98,58.0
1762815949.686374,99,105.0
1762815953.453506,100,50.0
1762815956.5116894,101,39.0
1762815959.3386562,102,41.0
1762815961.7115,103,28.0
1762815965.9889069,104,75.0
1762815968.3567529,105,28.0
1762815971.1208217,106,42.0
1762815974.00502,107,38.0
1762815978.7647307,108,68.0
1762815981.5217412,109,27.0
1762815985.7144136,110,49.0
1762815989.4985027,111,47.0
1762815992.3561833,112,34.0
1762815999.3537178,113,103.0
1762816005.2667825,114,106.0
1762816007.8053842,115,36.0
1762816015.0032508,116,104.0
1762816019.2613854,117,67.0
1762816046.7704542,118,320.0
1762816052.6751952,119,105.0
1762816058.591812,120,105.0
1762816066.5080853,121,144.0
1762816080.274921,122,261.0
1762816086.5355616,123,105.0
1762816092.813215,124,104.0
1762816099.7091887,125,154.0
1762816120.8698502,126,304.0
1762816132.94333,127,169.0
1762816158.3108222,128,252.0
1762816166.2866368,129,160.0
1762816184.0809994,130,335.0
1762816206.2903314,131,334.0
1762816267.8786514,132,1007.0
1762816315.8370082,133,1012.0
1762816398.2193797,134,4720.0
1762816490.6859279,135,4720.0
1762816593.381818,136,4720.0
1762816700.81162,137,4720.0
1762816801.462459,138,4720.0
1762816906.3782434,139,4720.0
1762816929.9675226,140,346.0
1762816956.5716503,141,366.0
1762817076.586934,142,4720.0
1762817204.949116,143,4720.0
1762817346.8075027,144,4720.0
1762817481.6205733,145,4720.0
1762817607.8423235,146,4720.0
1762817735.8874831,147,4716.0
1762817882.3059351,148,4720.0
1762817901.2733219,149,217.0
1762817911.473768,150,112.0
1762817913.642004,151,15.0
1762817915.6091933,152,15.0
1762817917.7045672,153,13.0
1762817919.9950612,154,17.0
1762817930.8050337,155,120.0
1762817934.4357648,156,36.0
1762817943.0366426,157,104.0
1762818001.0151494,158,799.0
1762818046.6874878,159,339.0
1762818176.6715114,160,4720.0
1762818294.3244905,161,4720.0
1762818449.640816,162,4720.0
1762818603.4481492,163,4720.0
1762818751.793115,164,4720.0
1762818900.9773443,165,4720.0
1762819052.8628185,166,4720.0
1762819203.283297,167,4720.0
1762819350.134457,168,4720.0
1762819498.5216537,169,4720.0
1762819640.977563,170,4720.0
1762819784.4758854,171,4720.0
1762819923.6254199,172,4720.0
1762820062.8062503,173,4720.0
1762820195.700988,174,4720.0
1762820329.6479757,175,4720.0
1762820462.496377,176,4720.0
1762820590.7469463,177,4720.0
1762820718.7615314,178,4720.0
1762820783.6091363,179,875.0
1762820899.7866213,180,4720.0
1762820958.3516748,181,835.0
1762821013.9277773,182,800.0
1762821071.9784956,183,824.0
1762821135.990554,184,821.0
1762821194.488416,185,799.0
1762821256.2406528,186,837.0
1762821315.4188209,187,839.0
1762821371.0749245,188,826.0
1762821379.515635,189,105.0
1762821485.7146554,190,4720.0
1762821543.017188,191,874.0
1762821647.6007159,192,4720.0
1762821700.874481,193,837.0
1762821754.6353211,194,862.0
1762821806.345365,195,841.0
1762821816.1909578,196,151.0
1762821826.6731527,197,154.0
1762821837.9266481,198,149.0
1762821892.5985217,199,856.0
1762821946.4452093,200,857.0
1762822045.4853103,201,4720.0
1762822093.9330578,202,849.0
1762822142.3167427,203,828.0
1762822239.6961353,204,4720.0
1762822333.123842,205,4720.0
1762822426.0371385,206,4720.0
1762822520.676407,207,4720.0
1762822613.567274,208,4720.0
