Wall time,Step,Value
1760093760.6712205,19,-445.5125732421875
1760093807.9633267,48,-514.71044921875
1760093833.2431269,63,-565.7086181640625
1760093834.983021,64,-618.9950561523438
1760093848.1230364,72,-772.6064453125
1760093882.183638,90,-630.4458618164062
1760093912.4324653,104,-606.3295288085938
1760093920.1409655,108,-737.8743286132812
1760093959.4639096,129,-576.6315307617188
1760094023.347538,158,-907.3802490234375
1760094030.6887915,161,-536.8134155273438
1760094038.171909,165,-1698.8917236328125
1760094052.1056004,173,-584.0137939453125
1760094083.9653382,192,-753.5289916992188
1760094108.1083932,204,-1975.9744873046875
1760094154.479156,230,-599.0139770507812
1760094178.0231123,245,-568.5161743164062
1760094201.7171018,260,-542.1140747070312
1760094238.0202494,283,-525.3305053710938
1760094242.532601,286,-530.7900390625
1760094289.4060457,317,-535.6107788085938
1760094293.8171148,320,-526.5551147460938
1760094332.8479304,347,-532.3016357421875
1760094351.000216,359,-588.7644653320312
1760094362.6930394,367,-837.0609130859375
1760094379.8377597,379,-562.7395629882812
1760094393.9272923,387,-3841.6982421875
1760094417.3262389,403,-479.04736328125
1760094436.8021412,416,-492.6094970703125
1760094467.6945581,437,-571.146484375
1760094469.3447638,438,-1157.256103515625
1760094483.574933,447,-832.9031372070312
1760094505.4433208,462,-883.72265625
1760094511.2014022,466,-712.2056274414062
1760094528.7458518,476,-4238.75439453125
1760094537.407159,482,-549.14794921875
1760094582.6483145,511,-730.865478515625
1760094616.3258898,534,-718.08837890625
1760094623.5495942,539,-538.229248046875
1760094626.3557096,541,-552.5613403320312
1760094653.1548357,557,-719.72509765625
1760094661.6297884,563,-721.13916015625
1760094702.6743705,591,-724.0831298828125
1760094708.8455405,595,-552.5775146484375
1760094711.5782297,597,-793.9341430664062
1760094774.547977,638,-542.3877563476562
1760094783.453283,644,-545.2971801757812
1760094784.8729968,645,-587.8388061523438
1760094807.3129137,659,-602.4644165039062
1760094821.105608,668,-1122.2088623046875
1760094832.698125,676,-575.6636352539062
1760094902.0714874,722,-541.5112915039062
1760094908.1586206,726,-503.6159973144531
1760094966.8800151,765,-1197.4219970703125
1760094983.2584748,776,-545.1743774414062
1760094994.0372164,783,-572.142333984375
1760095002.9492216,789,-756.4418334960938
1760095028.1011183,805,-552.815185546875
1760095070.8009076,833,-513.0791015625
1760095107.8511834,858,-569.9594116210938
1760095122.4920435,867,-563.2608642578125
1760095153.187342,887,-534.4105834960938
1760095239.339044,943,-520.52734375
1760095327.8227015,1000,-547.8399658203125
1760095335.3974047,1005,-524.415283203125
1760095351.7535865,1016,-775.4668579101562
1760095362.428343,1023,-556.0021362304688
1760095368.8412774,1027,-531.8402709960938
1760095371.8700628,1029,-513.3395385742188
1760095385.8621783,1038,-530.5120849609375
1760095416.0347621,1057,-526.7161254882812
1760095439.32196,1072,-587.3627319335938
1760095448.4193916,1078,-538.5205688476562
1760095481.2178712,1099,-526.0509033203125
1760095497.1045732,1110,-587.2012939453125
1760095500.2822907,1112,-571.93603515625
1760095521.5539026,1126,-524.7926025390625
1760095532.1640074,1133,-527.4485473632812
1760095561.8569882,1152,-682.2928466796875
1760095563.3876889,1153,-485.6959533691406
1760095582.4773295,1165,-507.1510925292969
1760095598.3213482,1175,-545.0439453125
1760095601.4215846,1177,-724.8341064453125
1760095614.786149,1185,-544.8182983398438
1760095665.880249,1219,-532.8341064453125
1760095677.2761378,1226,-583.2251586914062
1760095710.227441,1247,-482.16644287109375
1760095719.1827981,1253,-562.8185424804688
1760095721.9520597,1255,-560.593994140625
1760095726.4213877,1258,-549.8439331054688
1760095732.5046754,1262,-544.0285034179688
1760095741.067577,1268,-610.6498413085938
1760095747.2818484,1272,-1028.23779296875
1760095789.1080105,1299,-520.1871337890625
1760095830.2398415,1326,-535.0503540039062
1760095862.348535,1346,-502.2176818847656
1760095891.6388683,1365,-511.436279296875
1760095908.826271,1376,-1404.4676513671875
1760095910.3583136,1377,-828.6508178710938
1760095973.9729838,1418,-1183.679931640625
1760096008.928766,1440,-728.96484375
1760096035.6465,1458,-556.6549682617188
1760096037.1690364,1459,-575.6876220703125
1760096092.8420372,1495,-541.6173095703125
1760096105.6542935,1503,-744.857666015625
1760096119.5981996,1511,-485.3426818847656
1760096123.999241,1514,-536.9198608398438
1760096178.0209281,1549,-537.3366088867188
1760096182.401334,1552,-521.2166137695312
1760096204.1290998,1566,-525.3209228515625
1760096208.7225575,1569,-496.3836364746094
1760096216.0283654,1574,-698.2144775390625
1760096233.9344008,1586,-575.5797729492188
1760096250.9056292,1597,-584.777099609375
1760096299.1778378,1628,-562.6298828125
1760096310.6903343,1636,-546.03662109375
1760096366.0952218,1671,-529.54052734375
1760096388.4730153,1686,-555.8689575195312
1760096415.0804563,1703,-414.3930969238281
1760096418.1347878,1705,-491.86334228515625
1760096422.670055,1708,-474.3645324707031
1760096428.7501485,1712,-1331.9288330078125
1760096525.5886347,1776,-579.549560546875
1760096528.7193575,1778,-518.9249877929688
1760096546.87521,1790,-456.8973083496094
1760096636.3411915,1848,-550.2914428710938
1760096657.6149971,1861,-709.0744018554688
1760096668.7316067,1868,-554.7713012695312
1760096718.5320182,1900,-496.877685546875
1760096723.2604487,1903,-827.4790649414062
1760096732.6202574,1909,-562.50732421875
1760096734.063037,1910,-582.9144897460938
1760096775.6914127,1937,-529.4853515625
1760096781.4069352,1941,-557.1636962890625
1760096789.7809584,1946,-521.2313842773438
1760096813.0656266,1961,-496.45965576171875
1760096814.407647,1962,-522.7354736328125
1760096841.1067197,1980,-594.23828125
1760096984.1719253,2071,-554.9529418945312
1760096998.351689,2080,-534.5992431640625
1760097013.3597565,2090,-557.2155151367188
1760097030.6957936,2101,-546.2943115234375
1760097053.3250127,2116,-548.2216186523438
1760097059.4294174,2120,-529.5589599609375
1760097090.7826266,2140,-572.5358276367188
1760097174.399357,2195,-543.6058349609375
1760097197.1487732,2210,-604.5714111328125
1760097206.1864994,2216,-506.8783264160156
1760097243.2981763,2240,-399.6481018066406
1760097250.7220583,2245,-562.5453491210938
1760097371.5102355,2320,-518.5537109375
1760097406.650879,2343,-595.5332641601562
1760097432.8597968,2360,-511.6611022949219
1760097488.8580399,2395,-577.5828857421875
1760097554.3919306,2437,-536.7868041992188
1760097563.5345912,2442,-533.8626098632812
1760097583.6067414,2455,-467.7700500488281
1760097595.6816692,2463,-540.0479736328125
1760097600.0885816,2466,-602.8177490234375
1760097631.713724,2486,-474.71124267578125
1760097651.9769294,2499,-506.6308288574219
1760097659.2321742,2504,-519.3106689453125
1760097681.2256126,2518,-524.1764526367188
1760097684.2776973,2520,-541.1826171875
1760097701.053915,2531,-548.5336303710938
1760097776.4956641,2578,-741.8304443359375
1760097778.020951,2579,-510.556640625
1760097813.1341057,2600,-591.3056640625
1760097858.4456854,2628,-551.188232421875
1760097870.683478,2636,-556.0176391601562
1760097883.4964116,2644,-515.2732543945312
1760097928.8284574,2671,-534.297119140625
1760097935.60774,2675,-602.9381103515625
1760097947.1148098,2682,-463.6651306152344
1760097951.5468564,2685,-528.1649169921875
1760097965.1296046,2694,-511.0374755859375
1760097988.9034615,2709,-544.7914428710938
1760097996.935114,2714,-537.9845581054688
1760098003.2594695,2718,-592.1835327148438
1760098031.9196255,2735,-550.9325561523438
1760098039.852919,2740,-717.914306640625
1760098041.3694782,2741,-521.6240234375
1760098062.5341132,2754,-470.5282897949219
1760098064.2610877,2755,-560.2744140625
1760098065.9971645,2756,-394.1724548339844
1760098081.7641613,2766,-846.626708984375
1760098086.3515506,2769,-530.0615844726562
1760098102.4472723,2779,-506.5810241699219
1760098113.1971533,2786,-565.391845703125
1760098156.0502865,2813,-523.365478515625
1760098191.6696455,2835,-488.7383117675781
1760098207.5916986,2845,-547.0092163085938
1760098235.8165183,2862,-545.1298828125
1760098237.2572942,2863,-587.804443359375
1760098331.8642826,2922,-534.0827026367188
1760098380.8834717,2953,-554.6419067382812
1760098386.3681257,2956,-465.9778747558594
1760098398.2257383,2963,-556.4937744140625
1760098402.9654777,2966,-514.3072509765625
1760098415.4853337,2974,-528.6139526367188
1760098489.4524336,3020,-568.8215942382812
1760098513.1782095,3035,-517.8445434570312
1760098533.6228693,3048,-534.61572265625
1760098589.0029263,3084,-568.254638671875
1760098590.4476404,3085,-565.2098999023438
1760098622.062875,3104,-548.5276489257812
1760098623.5190594,3105,-562.1078491210938
1760098625.0077784,3106,-544.0980834960938
1760098646.692461,3120,-571.90966796875
1760098648.344998,3121,-473.3417663574219
1760098650.1566656,3122,-951.6984252929688
1760098660.991482,3129,-405.3209533691406
1760098688.0927818,3146,-1435.4208984375
1760098730.9222243,3174,-550.0183715820312
1760098761.0170476,3193,-540.5366821289062
1760098772.985779,3200,-404.8443603515625
1760098780.575774,3205,-542.5139770507812
1760098801.5595715,3218,-540.0396118164062
1760098807.099475,3221,-512.2632446289062
1760098838.6746047,3242,-532.9884033203125
1760098875.4600165,3266,-545.0864868164062
1760098879.934273,3269,-595.6524047851562
1760098936.7829797,3307,-566.9939575195312
1760098988.2248204,3341,-458.0765075683594
1760099012.8021796,3357,-534.9732055664062
1760099041.0905943,3375,-1755.43896484375
1760099058.1119688,3386,-582.7040405273438
1760099070.6279914,3394,-527.6970825195312
1760099087.929847,3405,-583.7521362304688
1760099110.046655,3419,-526.1526489257812
1760099179.0499516,3462,-558.0042114257812
1760099214.9900458,3484,-541.6954956054688
1760099216.3888485,3485,-521.7284545898438
1760099227.4720366,3492,-572.283447265625
1760099230.788391,3494,-529.5138549804688
1760099241.5246763,3501,-893.5935668945312
1760099280.8246462,3527,-517.1525268554688
1760099341.7531826,3567,-521.135498046875
1760099346.0282726,3570,-537.0299682617188
1760099356.889266,3577,-520.083740234375
1760099377.2037408,3589,-508.3772888183594
1760099395.6002665,3601,-614.9765625
1760099415.8588052,3614,-493.2098388671875
1760099417.3278437,3615,-547.9158325195312
1760099420.3913121,3617,-538.5692138671875
1760099445.2732148,3631,-1315.8629150390625
1760099481.8341663,3655,-485.6335144042969
1760099486.50647,3658,-548.243408203125
1760099489.5580034,3660,-517.011474609375
1760099492.7054644,3662,-539.4752807617188
1760099497.4638045,3665,-570.0221557617188
1760099503.7541153,3669,-498.94183349609375
1760099508.342122,3672,-962.5473022460938
1760099537.411502,3691,-746.9208984375
1760099571.650512,3713,-572.5986938476562
1760099579.7357342,3718,-515.8052368164062
1760099627.6929328,3749,-521.132568359375
1760099638.0917802,3755,-1997.019775390625
1760099648.7860603,3762,-587.9072875976562
1760099651.6264362,3764,-528.29833984375
1760099681.89447,3783,-583.4193115234375
1760099783.4364598,3849,-544.6798095703125
1760099786.2736528,3851,-538.7947387695312
1760099818.7462044,3870,-538.04248046875
1760099871.7694952,3903,-481.226318359375
1760099885.0874248,3912,-732.06396484375
1760099891.1424408,3916,-518.610107421875
1760099903.2445712,3922,-551.385986328125
1760099922.6727037,3934,-561.8857421875
1760099928.3467982,3937,-543.8101806640625
1760099981.0339391,3967,-6161.75
1760099995.0505936,3976,-567.1483154296875
1760100004.5532577,3982,-529.6790771484375
1760100055.0724185,4013,-479.1670227050781
