Wall time,Step,Value
1759493814.6422505,1,34.0
1759493869.709278,2,5.0
1759493980.3099442,3,76.0
1759494012.6801844,4,116.0
1759494099.2289324,5,231.0
1759494125.9269817,6,123.0
1759494143.9116771,7,72.0
1759494167.5561254,8,145.0
1759494177.1116338,9,66.0
1759494250.5360773,10,145.0
1759494259.4500515,11,39.0
1759494376.528676,12,475.0
1759494381.9486911,13,19.0
1759494448.380938,14,141.0
1759494452.582111,15,10.0
1759494457.2529345,16,9.0
1759494462.2916496,17,9.0
1759494485.416606,18,19.0
1759494489.442295,19,10.0
1759494493.516456,20,9.0
1759494497.6155305,21,10.0
1759494502.1069562,22,10.0
1759494506.354764,23,10.0
1759494510.4498193,24,10.0
1759494583.391158,25,322.0
1759494637.9089525,26,365.0
1759494702.0505831,27,365.0
1759494755.4446256,28,369.0
1759494812.0114565,29,376.0
1759494872.3415515,30,523.0
1759494969.7279944,31,523.0
1759495023.196178,32,304.0
1759495171.1152399,33,454.0
1759495226.6355448,34,391.0
1759495278.3728821,35,414.0
1759495329.5133736,36,422.0
1759495417.4167023,37,390.0
1759495482.9797812,38,380.0
1759495642.5562315,39,473.0
1759495739.8525076,40,395.0
1759495848.8942444,41,881.0
1759495902.9201448,42,398.0
1759495973.6328695,43,398.0
1759496104.5394843,44,400.0
1759496216.9452178,45,926.0
1759496267.636013,46,400.0
1759496439.9691682,47,930.0
1759496489.8809488,48,398.0
1759496541.3325589,49,397.0
1759496590.0244114,50,400.0
1759496679.167155,51,930.0
1759496783.6022668,52,400.0
1759496833.4587705,53,370.0
1759496884.380313,54,399.0
1759496937.9952476,55,398.0
1759496988.4231637,56,380.0
1759497041.702172,57,399.0
1759497091.8314407,58,398.0
1759497146.4919374,59,398.0
1759497200.6122024,60,598.0
1759497248.5866134,61,585.0
1759497296.521027,62,370.0
1759497346.3454528,63,372.0
1759497402.609114,64,600.0
1759497451.2782211,65,377.0
1759497500.2789767,66,382.0
1759497622.9325385,67,399.0
1759497677.0102909,68,604.0
1759497761.5609584,69,598.0
1759497818.5513966,70,401.0
1759497874.4085503,71,400.0
1759497950.834619,72,400.0
1759498019.4799132,73,414.0
1759498074.6698012,74,400.0
1759498219.3733785,75,585.0
1759498287.4428916,76,585.0
1759498502.8602023,77,930.0
1759498569.9072301,78,603.0
1759498674.0614116,79,604.0
1759498707.5590801,80,407.0
1759498826.633836,81,930.0
1759498862.0210443,82,408.0
1759498989.893356,83,930.0
1759499106.9934247,84,930.0
1759499212.0115545,85,930.0
1759499308.336044,86,930.0
1759499452.6871884,87,930.0
1759499570.2998986,88,930.0
1759499696.463738,89,809.0
1759499870.358184,90,930.0
1759499974.4885986,91,930.0
1759500086.4787214,92,928.0
1759500197.3076556,93,928.0
1759500250.2660432,94,402.0
1759500301.4421937,95,403.0
1759500352.1056492,96,404.0
1759500422.7552788,97,404.0
1759500482.879163,98,523.0
1759500544.9278424,99,403.0
1759500645.2632773,100,930.0
1759500736.7248278,101,930.0
1759500770.7148015,102,406.0
1759500805.8890805,103,406.0
1759500902.6464303,104,930.0
1759500982.191576,105,930.0
