Wall time,Step,Value
1760093760.6712797,19,14.0
1760093807.963384,48,14.0
1760093833.243176,63,12.0
1760093834.983069,64,10.0
1760093848.1230845,72,5.0
1760093882.1836853,90,10.0
1760093912.4325116,104,5.0
1760093920.1410353,108,5.0
1760093959.463958,129,9.0
1760094023.3475866,158,5.0
1760094030.688837,161,10.0
1760094038.1719565,165,5.0
1760094052.1056674,173,8.0
1760094083.965386,192,5.0
1760094108.1084414,204,5.0
1760094154.4792166,230,6.0
1760094178.0231652,245,8.0
1760094201.7171726,260,8.0
1760094238.0202968,283,9.0
1760094242.5326486,286,5.0
1760094289.4061134,317,8.0
1760094293.8171632,320,9.0
1760094332.8479772,347,5.0
1760094351.000266,359,6.0
1760094362.6930888,367,5.0
1760094379.8378074,379,7.0
1760094393.9273393,387,5.0
1760094417.3262885,403,11.0
1760094436.8021927,416,10.0
1760094467.6946156,437,7.0
1760094469.344811,438,5.0
1760094483.574978,447,5.0
1760094505.4433677,462,5.0
1760094511.201447,466,5.0
1760094528.7459006,476,5.0
1760094537.4072084,482,5.0
1760094582.648369,511,5.0
1760094616.3259575,534,5.0
1760094623.5496404,539,5.0
1760094626.3557553,541,8.0
1760094653.1548927,557,5.0
1760094661.6298583,563,5.0
1760094702.674438,591,5.0
1760094708.8455985,595,8.0
1760094711.578281,597,5.0
1760094774.5480235,638,5.0
1760094783.4533453,644,5.0
1760094784.8730445,645,7.0
1760094807.3129842,659,6.0
1760094821.105663,668,5.0
1760094832.6981719,676,7.0
1760094902.071535,722,5.0
1760094908.158677,726,12.0
1760094966.8800619,765,5.0
1760094983.2585208,776,8.0
1760094994.037264,783,7.0
1760095002.949271,789,5.0
1760095028.1011646,805,5.0
1760095070.8009763,833,9.0
1760095107.8512304,858,7.0
1760095122.4920917,867,7.0
1760095153.1873891,887,6.0
1760095239.3391168,943,9.0
1760095327.8227508,1000,7.0
1760095335.3974543,1005,9.0
1760095351.753634,1016,6.0
1760095362.428399,1023,8.0
1760095368.8413246,1027,8.0
1760095371.8701363,1029,6.0
1760095385.8622491,1038,6.0
1760095416.03481,1057,9.0
1760095439.322007,1072,6.0
1760095448.4194393,1078,8.0
1760095481.2179255,1099,8.0
1760095497.1046286,1110,5.0
1760095500.2823396,1112,7.0
1760095521.5539494,1126,5.0
1760095532.1640537,1133,8.0
1760095561.8570557,1152,6.0
1760095563.3877585,1153,10.0
1760095582.4773762,1165,9.0
1760095598.3213942,1175,8.0
1760095601.421632,1177,5.0
1760095614.7862072,1185,5.0
1760095665.8803043,1219,6.0
1760095677.276184,1226,6.0
1760095710.2274888,1247,12.0
1760095719.1828468,1253,5.0
1760095721.9521306,1255,7.0
1760095726.4214356,1258,7.0
1760095732.5047235,1262,8.0
1760095741.0676234,1268,6.0
1760095747.2819068,1272,6.0
1760095789.1080673,1299,9.0
1760095830.2399113,1326,9.0
1760095862.348582,1346,10.0
1760095891.6389158,1365,9.0
1760095908.8263197,1376,5.0
1760095910.3583608,1377,5.0
1760095973.9730542,1418,5.0
1760096008.9288113,1440,5.0
1760096035.6465487,1458,7.0
1760096037.1690826,1459,7.0
1760096092.8420825,1495,8.0
1760096105.6543403,1503,5.0
1760096119.5982676,1511,12.0
1760096123.9993029,1514,6.0
1760096178.0209773,1549,5.0
1760096182.401382,1552,8.0
1760096204.1291578,1566,9.0
1760096208.722605,1569,10.0
1760096216.0284119,1574,5.0
1760096233.9344568,1586,7.0
1760096250.9056869,1597,6.0
1760096299.1778862,1628,7.0
1760096310.6903844,1636,8.0
1760096366.0952692,1671,6.0
1760096388.4730635,1686,7.0
1760096415.0805018,1703,14.0
1760096418.134861,1705,12.0
1760096422.6701007,1708,13.0
1760096428.7501996,1712,6.0
1760096525.588683,1776,6.0
1760096528.7194057,1778,9.0
1760096546.8752592,1790,12.0
1760096636.3412414,1848,8.0
1760096657.6150467,1861,5.0
1760096668.7316532,1868,7.0
1760096718.5320885,1900,10.0
1760096723.2604935,1903,5.0
1760096732.620312,1909,7.0
1760096734.0630832,1910,6.0
1760096775.6914606,1937,11.0
1760096781.4069903,1941,8.0
1760096789.7810144,1946,9.0
