Wall time,Step,Value
1759572935.650424,1,0.0
1759572989.8680234,2,0.0
1759573043.524976,3,0.0
1759573072.8496659,4,1.0
1759573087.8200293,5,1.0
1759573119.8721168,6,1.0
1759573142.5895278,7,1.0
1759573164.1603692,8,1.0
1759573226.0250156,9,1.0
1759573297.8826656,10,1.0
1759573354.3736656,11,1.0
1759573364.765482,12,1.0
1759573369.0131695,13,1.0
1759573382.615569,14,1.0
1759573386.7942855,15,1.0
1759573421.998919,16,1.0
1759573427.5117116,17,1.0
1759573431.6499867,18,1.0
1759573437.306547,19,1.0
1759573513.8718705,20,0.0
1759573518.268519,21,1.0
1759573545.371788,22,1.0
1759573550.1445925,23,1.0
1759573554.6638474,24,1.0
1759573617.9160075,25,1.0
1759573633.1205359,26,1.0
1759573745.169524,27,0.0
1759573809.2517684,28,1.0
1759573878.3534203,29,1.0
1759573948.4413471,30,1.0
1759574014.6833873,31,1.0
1759574114.6702201,32,1.0
1759574231.5669873,33,0.0
1759574369.309989,34,1.0
1759574487.212546,35,1.0
1759574539.898214,36,1.0
1759574594.6179476,37,1.0
1759574657.3418145,38,1.0
1759574762.0326526,39,0.0
1759574807.234594,40,1.0
1759574873.9884079,41,1.0
1759574980.644496,42,0.0
1759575100.4998724,43,0.0
1759575223.8560483,44,1.0
1759575373.4949088,45,1.0
1759575458.7900076,46,1.0
1759575472.7208784,47,1.0
1759575530.5269668,48,1.0
1759575592.9352763,49,1.0
1759575632.159939,50,1.0
1759575670.902278,51,1.0
1759575718.5099385,52,1.0
1759575766.4412832,53,1.0
1759575809.607591,54,1.0
1759575866.7604094,55,1.0
1759575960.0025737,56,1.0
1759576017.6336575,57,1.0
1759576077.1258955,58,1.0
1759576139.300298,59,1.0
1759576190.18486,60,1.0
1759576254.2491896,61,1.0
1759576378.916364,62,1.0
1759576432.8869467,63,1.0
1759576486.4340436,64,1.0
1759576545.463773,65,1.0
1759576600.5070326,66,1.0
1759576652.6091938,67,1.0
1759576718.4235058,68,1.0
1759576757.1201499,69,1.0
1759576795.4134443,70,1.0
1759576835.4855895,71,1.0
1759576914.9108696,72,0.0
1759576998.7586648,73,1.0
1759577088.3310378,74,0.0
1759577155.8072693,75,1.0
1759577235.7152097,76,0.0
1759577287.3660238,77,1.0
1759577374.3477957,78,0.0
1759577467.4117815,79,0.0
1759577518.538841,80,1.0
1759577596.136269,81,0.0
1759577633.7627745,82,1.0
1759577666.049992,83,1.0
1759577741.9145794,84,0.0
1759577816.481829,85,0.0
1759577894.6399791,86,0.0
1759577930.5495071,87,1.0
1759577966.0307562,88,1.0
1759578000.2417567,89,1.0
1759578031.1883888,90,1.0
1759578061.3348715,91,1.0
1759578095.5323722,92,1.0
1759578127.5571442,93,1.0
1759578176.7826169,94,1.0
1759578228.5702777,95,1.0
1759578263.0539682,96,1.0
1759578293.629883,97,1.0
1759578328.3194416,98,1.0
1759578377.6496706,99,1.0
1759578412.9927537,100,1.0
1759578462.1424446,101,1.0
1759578499.9810584,102,1.0
1759578537.8322258,103,1.0
1759578591.500025,104,1.0
1759578640.2927058,105,1.0
1759578671.311377,106,1.0
1759578722.0149715,107,1.0
1759578755.9019418,108,1.0
1759578787.6449876,109,1.0
1759578822.1759655,110,1.0
1759578872.7853508,111,1.0
1759578922.6776657,112,1.0
1759579038.2384262,113,0.0
1759579070.481233,114,1.0
1759579146.0986173,115,0.0
1759579175.4450045,116,1.0
1759579207.640093,117,1.0
1759579235.8401318,118,1.0
1759579264.604104,119,1.0
1759579338.4776404,120,0.0
1759579410.0738266,121,0.0
1759579483.045513,122,0.0
1759579556.3746595,123,0.0
1759579615.2360601,124,0.0
1759579690.378255,125,0.0
1759579764.4384284,126,0.0
1759579822.7787056,127,0.0
1759579899.3736527,128,0.0
1759579977.3384793,129,0.0
1759580057.8038561,130,0.0
1759580135.8804398,131,0.0
1759580197.8153093,132,0.0
1759580297.9301438,133,0.0
1759580327.289198,134,1.0
1759580389.40049,135,0.0
1759580472.338594,136,0.0
1759580556.4784472,137,0.0
1759580634.36492,138,0.0
1759580718.1701622,139,0.0
1759580800.7663782,140,0.0
1759580881.9030375,141,0.0
1759580985.4265683,142,0.0
1759581042.769129,143,1.0
1759581126.9161744,144,0.0
1759581212.8579092,145,0.0
1759581320.310134,146,0.0
1759581406.9748018,147,0.0
1759581493.620262,148,0.0
1759581563.611041,149,1.0
1759581656.788776,150,0.0
1759581745.7338324,151,0.0
1759581825.83377,152,0.0
1759581881.0034344,153,1.0
1759581986.738674,154,0.0
1759582039.9627266,155,1.0
1759582071.4201179,156,1.0
1759582133.8152757,157,1.0
1759582214.9596167,158,1.0
1759582320.1701536,159,0.0
1759582437.1285176,160,0.0
1759582506.547226,161,0.0
1759582559.557053,162,1.0
1759582616.7111988,163,1.0
1759582706.2513604,164,0.0
1759582796.6474183,165,0.0
1759582870.8518245,166,1.0
1759582949.453881,167,0.0
1759582985.8115213,168,1.0
1759583047.4868453,169,1.0
1759583083.4760182,170,1.0
1759583178.7631452,171,1.0
1759583218.4016519,172,1.0
1759583364.8843434,173,0.0
1759583457.1952758,174,0.0
1759583536.925582,175,1.0
1759583653.7725,176,1.0
1759583734.5478644,177,1.0
1759583845.7762957,178,0.0
1759583941.3499234,179,0.0
1759584001.0308156,180,1.0
1759584064.3078508,181,1.0
1759584141.506791,182,1.0
1759584203.2380238,183,1.0
1759584256.6704965,184,1.0
1759584349.592184,185,0.0
1759584440.1122174,186,0.0
1759584551.8705647,187,0.0
1759584605.487145,188,1.0
1759584710.1311157,189,0.0
1759584838.0175638,190,0.0
1759584977.214454,191,0.0
1759585063.2209246,192,1.0
1759585099.835841,193,1.0
1759585181.7959163,194,1.0
1759585245.8338583,195,1.0
1759585307.51903,196,1.0
1759585443.3752372,197,0.0
1759585482.8351846,198,1.0
1759585517.6132107,199,1.0
1759585603.2990942,200,1.0
1759585697.5901418,201,0.0
1759585797.5472085,202,0.0
1759585868.842587,203,1.0
1759585908.8358192,204,1.0
1759586019.9665043,205,1.0
1759586106.5686097,206,1.0
1759586172.0792534,207,1.0
1759586313.0342927,208,0.0
1759586456.7515197,209,0.0
1759586563.2331586,210,0.0
1759586609.7966535,211,1.0
1759586733.8494866,212,0.0
1759586840.7874658,213,0.0
1759587098.8506727,214,0.0
1759587187.0769835,215,0.0
1759587422.0719242,216,1.0
1759587519.1675441,217,1.0
1759587568.3497665,218,1.0
1759587665.221624,219,1.0
1759587714.8324912,220,1.0
1759587823.5811734,221,0.0
1759587875.129107,222,1.0
1759587984.7486172,223,0.0
1759588092.4306176,224,0.0
1759588184.0250435,225,0.0
1759588299.8444672,226,0.0
1759588412.2617838,227,0.0
1759588489.6987505,228,1.0
1759588625.6192036,229,0.0
1759588755.7787998,230,0.0
1759588889.1507823,231,0.0
1759589005.706864,232,0.0
1759589111.1109447,233,0.0
1759589222.6692355,234,0.0
1759589335.748412,235,0.0
1759589425.668808,236,0.0
1759589537.1619635,237,0.0
1759589604.0122142,238,1.0
1759589672.6507342,239,1.0
1759589802.8715038,240,0.0
1759589864.7688177,241,1.0
1759589943.789279,242,1.0
1759589981.85207,243,1.0
1759590037.3420472,244,1.0
1759590104.2216551,245,1.0
1759590164.66906,246,1.0
1759590245.1323662,247,0.0
1759590340.8723304,248,0.0
1759590417.8116665,249,0.0
1759590473.1070395,250,1.0
1759590591.9985416,251,0.0
1759590657.3165832,252,1.0
1759590755.1922047,253,0.0
1759590811.1104553,254,1.0
1759590912.0595315,255,0.0
1759590971.8229253,256,1.0
1759591054.8831189,257,1.0
1759591156.5310016,258,0.0
1759591276.7385423,259,1.0
1759591380.6201928,260,0.0
1759591420.786165,261,1.0
1759591556.6686032,262,0.0
1759591661.0275128,263,0.0
1759591753.5855815,264,0.0
1759591814.9606147,265,1.0
1759591911.1360252,266,0.0
1759592020.8699126,267,0.0
1759592063.7700572,268,1.0
1759592156.503649,269,0.0
1759592247.204162,270,0.0
1759592303.1807952,271,1.0
1759592390.754158,272,0.0
1759592463.8483326,273,0.0
1759592555.8140442,274,0.0
1759592632.8196132,275,0.0
1759592730.5585697,276,0.0
1759592769.54829,277,1.0
1759592841.6469646,278,1.0
1759592936.723159,279,0.0
1759592976.522636,280,1.0
1759593075.568414,281,0.0
1759593172.2335277,282,0.0
1759593268.1413488,283,0.0
1759593363.270975,284,0.0
1759593451.9851887,285,0.0
1759593570.1491244,286,0.0
1759593669.6300318,287,0.0
1759593756.1382124,288,0.0
1759593851.0242414,289,0.0
1759593910.7283053,290,1.0
1759593969.8963459,291,1.0
1759594109.5407693,292,0.0
1759594209.0498781,293,0.0
1759594286.1361954,294,0.0
1759594387.960201,295,0.0
1759594481.5638993,296,0.0
1759594551.533758,297,0.0
1759594641.9926362,298,0.0
1759594743.8423617,299,1.0
1759594876.636153,300,0.0
1759594969.501707,301,0.0
1759595060.331362,302,0.0
1759595187.0811508,303,0.0
1759595238.0998294,304,1.0
1759595328.7284365,305,0.0
1759595422.5469122,306,0.0
1759595537.2043583,307,0.0
1759595695.4668245,308,0.0
1759595791.9069147,309,0.0
1759595854.9588354,310,1.0
1759595956.0995622,311,0.0
1759596058.6253006,312,0.0
1759596176.8840497,313,0.0
1759596278.4196858,314,0.0
1759596390.783913,315,0.0
1759596451.6975658,316,1.0
1759596573.0017219,317,0.0
1759596710.708283,318,0.0
1759596810.7974396,319,1.0
1759596908.155297,320,0.0
1759596951.120983,321,1.0
1759597065.9426565,322,0.0
1759597175.3835244,323,0.0
1759597284.1310768,324,0.0
1759597389.8321671,325,0.0
1759597488.2812312,326,0.0
1759597592.622218,327,0.0
1759597702.3327515,328,0.0
1759597774.952782,329,1.0
1759597885.5205686,330,0.0
1759597986.5475008,331,0.0
1759598109.6481295,332,0.0
1759598190.759301,333,0.0
1759598321.1634126,334,0.0
1759598420.8054397,335,0.0
1759598518.1180656,336,0.0
1759598598.8978567,337,0.0
1759598706.832728,338,1.0
1759598745.327389,339,1.0
1759598851.946451,340,0.0
1759598992.7106574,341,0.0
1759599038.8266027,342,1.0
1759599138.594002,343,0.0
1759599206.1717045,344,1.0
1759599322.9999259,345,0.0
1759599423.0464976,346,0.0
1759599524.7881746,347,0.0
1759599653.763187,348,0.0
1759599766.6731997,349,0.0
1759599871.0680726,350,0.0
1759599977.1742325,351,0.0
1759600018.050229,352,1.0
1759600118.7839634,353,0.0
1759600214.2667716,354,0.0
1759600315.8468213,355,0.0
1759600444.084387,356,0.0
1759600547.4545956,357,0.0
