Wall time,Step,Value
1758625502.268124,1,1.0
1758625518.7920585,2,0.0
1758625534.9911692,3,0.0
1758625545.266343,4,1.0
1758625547.0770898,5,1.0
1758625549.0101829,6,1.0
1758625551.0203373,7,1.0
1758625552.9025347,8,1.0
1758625554.9638214,9,1.0
1758625556.9264667,10,1.0
1758625559.4028227,11,1.0
1758625561.8477116,12,1.0
1758625565.3817263,13,1.0
1758625574.2199523,14,1.0
1758625588.5130267,15,1.0
1758625592.998039,16,1.0
1758625596.5456038,17,1.0
1758625600.070588,18,1.0
1758625603.9669788,19,1.0
1758625610.1340592,20,1.0
1758625619.63284,21,1.0
1758625622.5176597,22,1.0
1758625625.2695842,23,1.0
1758625628.0566423,24,1.0
1758625630.2737482,25,1.0
1758625634.5073426,26,1.0
1758625636.8727772,27,1.0
1758625641.378449,28,1.0
1758625657.5902426,29,1.0
1758625671.0366333,30,1.0
1758625689.9456916,31,1.0
1758625697.8383512,32,1.0
1758625700.1582453,33,1.0
1758625720.6984894,34,0.0
1758625738.009973,35,1.0
1758625747.0199733,36,1.0
1758625750.1023624,37,1.0
1758625773.1099346,38,1.0
1758625792.0411692,39,1.0
1758625812.6632829,40,1.0
1758625847.0091882,41,1.0
1758625885.5071929,42,0.0
1758625904.2625084,43,1.0
1758625924.522542,44,1.0
1758625941.9220557,45,1.0
1758625957.3345344,46,1.0
1758625970.241011,47,1.0
1758625990.4123778,48,1.0
1758626002.5659225,49,1.0
1758626016.5682209,50,1.0
1758626031.709635,51,1.0
1758626047.8183398,52,1.0
1758626066.8789358,53,1.0
1758626082.882216,54,1.0
1758626099.0454926,55,1.0
1758626115.7793872,56,1.0
1758626133.958364,57,1.0
1758626150.334626,58,1.0
1758626166.9773824,59,1.0
1758626184.6428196,60,1.0
1758626216.6644375,61,0.0
1758626236.074745,62,1.0
1758626249.5725677,63,1.0
1758626271.6037395,64,1.0
1758626291.3008811,65,1.0
1758626326.9737103,66,0.0
1758626362.619694,67,1.0
1758626385.5322292,68,1.0
1758626405.6345465,69,1.0
1758626424.2067523,70,1.0
1758626448.1265311,71,1.0
1758626469.6374295,72,1.0
1758626489.9172766,73,1.0
1758626509.4253833,74,1.0
1758626534.9120202,75,1.0
1758626550.908147,76,1.0
1758626568.481306,77,1.0
1758626609.6982148,78,1.0
1758626637.4684749,79,1.0
1758626718.3453624,80,1.0
1758626764.208665,81,1.0
1758626789.9762218,82,1.0
1758626810.3633645,83,1.0
1758626839.6197388,84,1.0
1758626866.901568,85,1.0
1758626893.9534564,86,1.0
1758626918.0703413,87,1.0
1758626935.2012482,88,1.0
1758626964.3804343,89,1.0
1758626989.4648583,90,1.0
1758627014.8153656,91,1.0
1758627058.238469,92,0.0
1758627082.5326867,93,1.0
1758627124.2536187,94,0.0
1758627139.500528,95,1.0
1758627173.083255,96,0.0
1758627205.3044608,97,0.0
1758627241.3087418,98,0.0
1758627284.9501302,99,0.0
1758627322.013081,100,0.0
1758627353.709524,101,0.0
1758627379.844366,102,1.0
1758627418.1955197,103,0.0
1758627446.087595,104,1.0
1758627473.0113523,105,1.0
1758627526.0525298,106,0.0
1758627561.0822792,107,0.0
1758627598.8877776,108,0.0
1758627616.544524,109,1.0
1758627646.8301215,110,0.0
1758627683.067943,111,0.0
1758627705.737716,112,1.0
1758627720.5792286,113,1.0
1758627751.7601674,114,0.0
1758627786.1872709,115,0.0
1758627819.2519462,116,0.0
1758627853.6955166,117,0.0
1758627889.0069306,118,0.0
1758627922.468784,119,0.0
1758627956.0319881,120,0.0
1758627977.6501286,121,1.0
1758628010.3041313,122,0.0
1758628030.5655458,123,1.0
1758628062.9597354,124,0.0
1758628086.2217367,125,1.0
1758628119.5209603,126,0.0
1758628152.6954327,127,0.0
1758628174.3835082,128,1.0
1758628194.335638,129,1.0
1758628226.4396093,130,0.0
1758628245.1949604,131,1.0
1758628264.9148345,132,1.0
1758628284.8630245,133,1.0
1758628307.033913,134,1.0
1758628337.8457637,135,0.0
1758628371.5834947,136,0.0
1758628392.877915,137,1.0
1758628427.56635,138,0.0
1758628462.6861377,139,0.0
1758628497.8138628,140,0.0
1758628521.152922,141,1.0
1758628538.2848365,142,1.0
1758628574.3994708,143,0.0
1758628606.7916756,144,0.0
1758628639.377052,145,0.0
1758628662.029527,146,1.0
1758628684.3326945,147,1.0
1758628720.1087596,148,0.0
1758628755.8845778,149,0.0
1758628781.1544578,150,1.0
1758628806.9382565,151,0.0
1758628837.4050353,152,0.0
1758628870.8903208,153,0.0
1758628904.6358817,154,0.0
1758628937.5016303,155,0.0
1758628971.9953604,156,0.0
1758628995.6056967,157,1.0
1758629018.8421557,158,1.0
1758629053.0499318,159,0.0
1758629075.0699604,160,1.0
1758629107.40485,161,0.0
1758629142.9617424,162,0.0
1758629178.2007987,163,0.0
1758629212.5910633,164,0.0
1758629247.832298,165,0.0
1758629281.9240656,166,0.0
1758629317.7038882,167,0.0
1758629352.5737514,168,0.0
1758629388.756893,169,0.0
1758629420.9732425,170,0.0
1758629454.0998642,171,0.0
1758629475.480411,172,1.0
1758629509.651398,173,0.0
1758629533.8190436,174,1.0
1758629556.5368538,175,1.0
1758629589.5865061,176,0.0
1758629610.5306268,177,1.0
1758629641.2188213,178,0.0
1758629675.8732183,179,0.0
1758629711.7632816,180,0.0
1758629747.3475099,181,0.0
1758629782.818996,182,0.0
1758629823.6584287,183,0.0
1758629857.5950818,184,0.0
1758629891.0255435,185,0.0
1758629914.7258027,186,1.0
