Wall time,Step,Value
1760504213.3990333,1,1.0
1760504230.9811964,2,0.0
1760504248.1901567,3,0.0
1760504265.3752487,4,0.0
1760504274.599094,5,1.0
1760504281.800722,6,1.0
1760504287.7988434,7,1.0
1760504294.0693781,8,1.0
1760504295.770609,9,1.0
1760504300.445536,10,1.0
1760504302.8628674,11,1.0
1760504304.9171588,12,1.0
1760504307.3294866,13,1.0
1760504309.845977,14,1.0
1760504312.328794,15,1.0
1760504314.8412912,16,1.0
1760504317.948575,17,1.0
1760504321.036971,18,1.0
1760504323.9994314,19,1.0
1760504327.1882236,20,1.0
1760504330.2981458,21,1.0
1760504333.1304893,22,1.0
1760504335.9781497,23,1.0
1760504338.2217734,24,1.0
1760504340.0226727,25,1.0
1760504343.8302855,26,1.0
1760504345.5819647,27,1.0
1760504370.071778,28,1.0
1760504372.7965205,29,1.0
1760504375.3876233,30,1.0
1760504387.53484,31,1.0
1760504392.113978,32,1.0
1760504394.5370505,33,1.0
1760504405.9742656,34,1.0
1760504432.100296,35,1.0
1760504453.5760424,36,1.0
1760504456.7914538,37,1.0
1760504465.6646829,38,1.0
1760504469.9489322,39,1.0
1760504495.1607778,40,1.0
1760504519.671894,41,1.0
1760504545.2345486,42,1.0
1760504568.2773986,43,1.0
1760504591.0471442,44,1.0
1760504620.2676523,45,1.0
1760504640.9828382,46,1.0
1760504674.1168556,47,0.0
1760504697.1301382,48,1.0
1760504729.524667,49,0.0
1760504758.4899359,50,1.0
1760504776.5984344,51,1.0
1760504794.6165588,52,1.0
1760504817.2649148,53,1.0
1760504837.7339346,54,1.0
1760504857.7079282,55,1.0
1760504890.5375462,56,0.0
1760504906.4506176,57,1.0
1760504923.3422105,58,1.0
1760504940.8366272,59,1.0
1760504960.0140345,60,1.0
1760504996.602593,61,1.0
1760505019.2038364,62,1.0
1760505061.4974108,63,0.0
1760505124.3521466,64,0.0
1760505149.8092358,65,1.0
1760505192.363407,66,0.0
1760505223.7632995,67,1.0
1760505255.741957,68,1.0
1760505282.3035834,69,1.0
1760505306.1081927,70,1.0
1760505346.2455304,71,0.0
1760505383.5067866,72,1.0
1760505445.5995274,73,1.0
1760505476.7452378,74,1.0
1760505501.786827,75,1.0
1760505559.9205215,76,1.0
1760505626.727074,77,1.0
1760505673.8621504,78,0.0
1760505706.031419,79,1.0
1760505733.1495483,80,1.0
1760505769.5299435,81,0.0
1760505807.8997755,82,1.0
1760505825.357122,83,1.0
1760505849.5980031,84,1.0
1760505867.9329405,85,1.0
1760505891.6795228,86,1.0
1760505916.6707156,87,1.0
1760505936.0972164,88,1.0
1760505957.2693472,89,1.0
1760505973.0247533,90,1.0
1760505990.2229028,91,1.0
1760506012.7928162,92,1.0
1760506036.0649714,93,1.0
1760506053.0531752,94,1.0
1760506070.63324,95,1.0
1760506105.3731523,96,1.0
1760506122.8571775,97,1.0
1760506139.6825907,98,1.0
1760506183.0439973,99,1.0
1760506201.7216375,100,1.0
1760506239.252568,101,1.0
1760506258.7729318,102,1.0
1760506279.0498345,103,1.0
1760506298.0264711,104,1.0
1760506317.041174,105,1.0
1760506338.913964,106,1.0
1760506359.327759,107,1.0
1760506381.2681537,108,1.0
1760506402.281012,109,1.0
1760506423.5219204,110,1.0
1760506444.4372096,111,1.0
1760506464.4557145,112,1.0
1760506492.493398,113,1.0
1760506512.180749,114,1.0
1760506566.7005644,115,1.0
1760506587.420893,116,1.0
1760506608.4913883,117,1.0
1760506639.3326318,118,1.0
1760506672.817307,119,1.0
1760506705.019139,120,1.0
1760506729.9232602,121,1.0
1760506753.4094086,122,1.0
1760506788.5217733,123,1.0
1760506845.677178,124,1.0
1760506870.204532,125,1.0
1760506912.144633,126,0.0
1760506938.0855384,127,1.0
1760506961.8695862,128,1.0
1760506996.2077656,129,1.0
1760507021.5090468,130,1.0
1760507067.1648476,131,1.0
1760507124.4856093,132,0.0
1760507258.6020062,133,0.0
1760507317.926202,134,0.0
1760507366.7329292,135,0.0
1760507413.3899589,136,0.0
1760507461.5909772,137,0.0
1760507487.9653308,138,1.0
1760507515.0285275,139,1.0
1760507541.8953576,140,1.0
1760507568.7936704,141,1.0
1760507595.1654015,142,1.0
1760507620.2038999,143,1.0
1760507690.3853862,144,0.0
1760507729.1507149,145,1.0
1760507752.9595253,146,1.0
1760507778.1338081,147,1.0
1760507815.3914514,148,1.0
1760507841.7043188,149,1.0
1760507877.4244902,150,1.0
1760507924.0979073,151,1.0
1760507978.5895998,152,0.0
1760508028.8512626,153,0.0
1760508051.237884,154,1.0
1760508101.9414191,155,0.0
1760508176.5648344,156,0.0
1760508226.7477698,157,0.0
1760508260.5630007,158,1.0
1760508310.2486002,159,0.0
1760508343.207476,160,1.0
1760508365.7439024,161,1.0
1760508387.55526,162,1.0
1760508410.8293235,163,1.0
1760508432.3685167,164,1.0
1760508464.5928879,165,1.0
1760508508.0970087,166,0.0
1760508554.9400215,167,0.0
1760508587.994421,168,1.0
1760508630.074171,169,1.0
1760508671.4133537,170,0.0
1760508710.520051,171,1.0
1760508791.7472463,172,0.0
1760508873.036984,173,0.0
1760508922.4678545,174,0.0
1760508980.0638697,175,0.0
1760509074.8419852,176,0.0
1760509170.4770515,177,0.0
1760509241.9319232,178,0.0
1760509287.5699134,179,1.0
1760509331.0939903,180,1.0
1760509388.467525,181,0.0
1760509437.4468837,182,0.0
1760509482.1328108,183,1.0
1760509523.8327024,184,1.0
1760509550.171132,185,1.0
1760509596.481031,186,0.0
1760509644.5630844,187,1.0
1760509701.636056,188,1.0
1760509746.997793,189,1.0
1760509838.1450293,190,0.0
1760509870.6085892,191,1.0
1760509901.8898957,192,1.0
1760509960.4492807,193,0.0
1760510000.4712172,194,0.0
1760510035.9482317,195,1.0
1760510073.688473,196,1.0
1760510099.1829746,197,1.0
1760510125.8579566,198,1.0
1760510151.5509183,199,1.0
1760510176.0215728,200,1.0
1760510200.286281,201,1.0
1760510224.3848312,202,1.0
1760510246.9647505,203,1.0
1760510280.3524945,204,0.0
1760510304.2118702,205,1.0
1760510340.1957629,206,0.0
1760510361.9305418,207,1.0
1760510373.8466384,208,1.0
1760510407.7329714,209,0.0
1760510432.2355795,210,1.0
1760510465.867207,211,0.0
1760510489.1257913,212,1.0
1760510513.4468899,213,1.0
1760510546.216648,214,0.0
1760510569.5023775,215,1.0
1760510611.2633154,216,0.0
1760510642.4149234,217,0.0
1760510672.3635912,218,0.0
1760510706.1083581,219,1.0
1760510735.149668,220,1.0
1760510764.734829,221,1.0
1760510795.7490015,222,0.0
1760510815.1644385,223,1.0
1760510837.326424,224,1.0
1760510859.7146103,225,1.0
1760510884.7548819,226,1.0
1760510909.3916829,227,1.0
1760510934.4789867,228,1.0
1760510955.9960415,229,1.0
1760510988.5551913,230,0.0
1760511011.397861,231,1.0
1760511035.5318067,232,1.0
1760511068.5819173,233,0.0
1760511091.4115403,234,1.0
1760511113.6083648,235,1.0
1760511149.4621935,236,0.0
1760511185.056775,237,0.0
1760511218.8927717,238,0.0
1760511240.2236307,239,1.0
1760511275.9005742,240,0.0
1760511301.59886,241,1.0
1760511326.7878466,242,1.0
1760511349.0856116,243,1.0
1760511365.7997005,244,1.0
1760511390.6897144,245,1.0
1760511426.2612906,246,0.0
1760511449.550209,247,1.0
1760511465.6031609,248,1.0
1760511488.9007497,249,1.0
1760511516.0405285,250,1.0
1760511542.0559213,251,1.0
1760511563.9156625,252,1.0
1760511575.2938309,253,1.0
1760511599.6271334,254,1.0
1760511622.7351503,255,1.0
1760511657.9598234,256,0.0
