Wall time,Step,Value
1760435619.0986052,1,0.0
1760435623.6484585,2,0.0
1760435625.5237954,3,0.0
1760435626.8248327,4,0.0
1760435628.5618439,5,0.0
1760435630.3426218,6,0.0
1760435643.0290425,7,0.0
1760435649.1320355,8,0.0
1760435659.1948953,9,0.0
1760435682.262073,10,0.0
1760435699.9648926,11,0.0
1760435704.276393,12,0.0
1760435709.9334314,13,0.0
1760435729.6818101,14,0.0
1760435740.8250382,15,0.0
1760435757.0439382,16,0.0
1760435766.1245565,17,0.0
1760435777.3014588,18,0.0
1760435789.2432044,19,0.0
1760435800.363347,20,0.0
1760435811.8721697,21,0.0
1760435823.187966,22,0.0
1760435834.4056637,23,0.0
1760435848.2598565,24,0.0
1760435861.233828,25,0.0
1760435872.9578931,26,0.0
1760435880.2024457,27,0.0
1760435889.2411234,28,0.0
1760435906.0923107,29,0.0
1760435917.9062192,30,0.0
1760435928.46164,31,0.0
1760435935.1636956,32,0.0
1760435943.3579228,33,0.0
1760435949.3224025,34,0.0
1760435960.5723796,35,0.0
1760435972.1340575,36,0.0
1760435981.5841556,37,0.0
1760435999.3969312,38,1.0
1760436010.6202552,39,0.0
1760436024.3172307,40,0.0
1760436046.3582208,41,1.0
1760436059.0232344,42,0.0
1760436069.42551,43,0.0
1760436081.473556,44,0.0
1760436105.087795,45,1.0
1760436112.765497,46,0.0
1760436122.685883,47,0.0
1760436129.393448,48,0.0
1760436143.9536831,49,1.0
1760436157.9131541,50,1.0
1760436166.5141423,51,0.0
1760436173.1847785,52,0.0
1760436182.422575,53,0.0
1760436207.6068697,54,1.0
1760436215.566619,55,0.0
1760436224.1433759,56,0.0
1760436245.3535593,57,1.0
1760436253.9938886,58,0.0
1760436322.638534,59,0.0
1760436335.524171,60,1.0
1760436342.5584433,61,0.0
1760436348.4304068,62,0.0
1760436381.5255811,63,1.0
1760436393.869385,64,1.0
1760436404.374583,65,0.0
1760436410.400046,66,0.0
1760436416.800906,67,0.0
1760436428.634149,68,0.0
1760436461.0760272,69,1.0
1760436499.2182372,70,1.0
1760436515.5105534,71,1.0
1760436523.1462438,72,0.0
1760436551.5100071,73,1.0
1760436577.7734149,74,1.0
1760436584.8429747,75,0.0
1760436592.8586643,76,0.0
1760436600.6611428,77,0.0
1760436607.3630364,78,0.0
1760436615.4209414,79,0.0
1760436629.0006378,80,1.0
1760436649.8413353,81,1.0
1760436699.809181,82,1.0
1760436706.9311893,83,0.0
1760436716.3659816,84,0.0
1760436723.1132631,85,0.0
1760436731.6484962,86,1.0
1760436738.4311776,87,0.0
1760436745.6190276,88,0.0
1760436755.186737,89,0.0
1760436764.5793662,90,0.0
1760436772.465959,91,0.0
1760436779.834856,92,0.0
1760436789.3791647,93,0.0
1760436796.9069164,94,0.0
1760436801.9757886,95,0.0
1760436808.8096697,96,0.0
1760436817.7046382,97,0.0
1760436823.6455896,98,0.0
1760436833.3178585,99,0.0
1760436841.3055654,100,0.0
1760436852.6066785,101,0.0
1760436877.1528935,102,1.0
1760436906.5420063,103,0.0
1760436947.112365,104,0.0
1760436957.6592503,105,0.0
1760436965.8883574,106,0.0
1760436976.3379703,107,0.0
1760436985.2506528,108,0.0
1760436995.246255,109,0.0
1760437002.161907,110,0.0
1760437009.7794726,111,0.0
1760437016.5403075,112,0.0
1760437024.98877,113,0.0
1760437035.8871963,114,0.0
1760437046.847629,115,0.0
1760437069.6650774,116,1.0
1760437081.832355,117,0.0
1760437089.250806,118,0.0
1760437096.0738616,119,0.0
1760437108.7493992,120,0.0
1760437119.9130313,121,0.0
1760437127.069952,122,0.0
1760437135.6989715,123,0.0
1760437148.8743532,124,0.0
1760437159.5225658,125,0.0
1760437166.316703,126,0.0
1760437174.021582,127,0.0
1760437185.1155763,128,0.0
1760437195.907596,129,0.0
1760437213.960807,130,1.0
1760437225.7152586,131,0.0
1760437233.8703694,132,0.0
1760437241.9493673,133,0.0
1760437254.565131,134,0.0
1760437265.8229022,135,0.0
1760437273.5227902,136,0.0
1760437284.076156,137,0.0
1760437291.6520922,138,0.0
1760437302.6580489,139,0.0
1760437321.206494,140,1.0
1760437332.3849442,141,0.0
1760437343.9703083,142,0.0
1760437355.9530091,143,0.0
1760437388.9746673,144,1.0
1760437394.6557565,145,0.0
1760437403.824071,146,0.0
1760437410.3629842,147,0.0
1760437421.868685,148,0.0
1760437431.7922442,149,0.0
1760437443.9735312,150,0.0
1760437455.666046,151,0.0
1760437462.8152616,152,0.0
1760437476.2211258,153,0.0
1760437485.9417722,154,0.0
1760437493.0306654,155,0.0
1760437500.895982,156,0.0
1760437512.304307,157,0.0
1760437525.2331235,158,0.0
1760437546.3489285,159,0.0
1760437559.260688,160,0.0
1760437565.7225075,161,0.0
1760437572.1486573,162,0.0
1760437583.2451172,163,0.0
1760437594.7531788,164,0.0
1760437613.2818713,165,1.0
1760437620.5353768,166,0.0
1760437638.7938447,167,1.0
1760437650.9802594,168,0.0
1760437663.406272,169,0.0
1760437681.4592867,170,0.0
1760437694.2286947,171,0.0
1760437704.4961455,172,0.0
1760437711.6614258,173,0.0
1760437723.4271748,174,0.0
1760437736.4169,175,0.0
1760437746.7464936,176,0.0
1760437757.7365837,177,0.0
1760437764.9260387,178,0.0
1760437776.5987935,179,0.0
1760437788.3280122,180,0.0
1760437795.9921446,181,0.0
1760437803.8363767,182,0.0
1760437811.4303598,183,0.0
1760437829.3948913,184,1.0
1760437850.9173121,185,1.0
1760437859.3893876,186,0.0
1760437867.5159574,187,0.0
1760437879.5155609,188,0.0
1760437900.0465796,189,0.0
1760437912.050122,190,0.0
1760437920.1750882,191,0.0
1760437927.6392732,192,0.0
1760437935.330417,193,0.0
1760437946.830622,194,0.0
1760437954.0944273,195,0.0
1760437961.6967847,196,0.0
1760437973.027838,197,0.0
1760437980.6749213,198,0.0
1760437999.409816,199,1.0
1760438011.8755553,200,0.0
1760438019.6735632,201,0.0
1760438025.7630177,202,0.0
1760438036.9839907,203,0.0
1760438049.2576425,204,0.0
1760438062.1402285,205,0.0
1760438072.8725402,206,0.0
1760438080.657692,207,0.0
1760438093.6419516,208,0.0
1760438135.8213642,209,1.0
1760438158.1827152,210,1.0
1760438166.3551493,211,0.0
1760438174.526473,212,0.0
1760438182.6314511,213,0.0
1760438206.3682811,214,1.0
1760438255.6074002,215,1.0
1760438277.6335487,216,0.0
1760438303.592477,217,1.0
1760438314.9145055,218,0.0
1760438339.984569,219,1.0
1760438352.4780166,220,0.0
1760438387.5947874,221,1.0
1760438420.3870978,222,1.0
1760438428.5958326,223,0.0
1760438439.80212,224,0.0
1760438461.6645572,225,1.0
1760438497.8970287,226,1.0
1760438516.8911273,227,1.0
1760438528.760631,228,0.0
1760438540.9350317,229,0.0
1760438567.4537625,230,1.0
1760438575.2499835,231,0.0
1760438590.970809,232,0.0
1760438602.6761618,233,0.0
1760438615.9232059,234,0.0
1760438628.437946,235,0.0
1760438639.9842772,236,0.0
1760438661.8805296,237,1.0
1760438686.4133797,238,0.0
1760438728.5241065,239,1.0
1760438741.0904343,240,0.0
1760438752.6073341,241,0.0
1760438764.1029117,242,0.0
1760438785.4909286,243,1.0
1760438793.3723857,244,0.0
1760438804.8705277,245,0.0
1760438826.7285223,246,1.0
1760438833.3735397,247,0.0
1760438841.1029458,248,0.0
1760438863.6363153,249,1.0
1760438884.951406,250,1.0
1760438904.3058317,251,1.0
1760438912.4888575,252,0.0
1760438924.5512438,253,0.0
1760438958.4578807,254,1.0
1760438975.1035233,255,0.0
1760438997.1511078,256,0.0
1760439009.8573434,257,0.0
1760439030.079337,258,1.0
1760439037.7805982,259,0.0
1760439072.6585405,260,1.0
1760439084.8272038,261,0.0
1760439111.3255355,262,1.0
1760439123.9274054,263,0.0
1760439136.6345837,264,0.0
1760439170.5694563,265,1.0
1760439179.7563381,266,0.0
1760439191.7602658,267,0.0
1760439204.2644827,268,0.0
1760439214.6405756,269,0.0
1760439235.2632177,270,1.0
1760439246.8289244,271,0.0
1760439261.8888047,272,0.0
1760439285.8378181,273,1.0
1760439299.3938465,274,0.0
1760439312.1035392,275,0.0
1760439338.1594627,276,1.0
1760439361.5186424,277,1.0
1760439368.736508,278,0.0
1760439381.0510132,279,0.0
1760439390.2309494,280,0.0
1760439398.8947928,281,0.0
1760439407.793644,282,0.0
1760439416.6069708,283,0.0
1760439428.9160776,284,0.0
1760439440.8661304,285,0.0
1760439454.608255,286,0.0
1760439466.6878185,287,0.0
1760439479.735306,288,0.0
1760439491.3365831,289,0.0
1760439503.7330146,290,0.0
1760439515.579549,291,0.0
1760439597.5799065,292,1.0
1760439609.3512886,293,0.0
1760439623.346169,294,0.0
1760439635.700725,295,0.0
1760439647.1382983,296,0.0
1760439660.5029914,297,0.0
1760439672.9051611,298,0.0
1760439685.3026965,299,0.0
1760439704.755956,300,0.0
1760439716.1308603,301,0.0
1760439728.9493766,302,0.0
1760439742.3912406,303,0.0
1760439755.1066937,304,0.0
1760439769.2685108,305,0.0
1760439777.3559217,306,0.0
1760439786.0020113,307,0.0
1760439796.0343518,308,0.0
1760439808.1479232,309,0.0
1760439820.3043416,310,0.0
1760439832.8043215,311,0.0
1760439842.604129,312,0.0
1760439851.7485085,313,0.0
1760439864.950786,314,0.0
1760439879.5964317,315,0.0
1760439888.55212,316,0.0
1760439905.2992094,317,0.0
1760439917.3706908,318,0.0
1760439929.782806,319,0.0
1760439949.5123153,320,0.0
1760439969.6928363,321,0.0
1760439983.602797,322,0.0
1760439997.7344725,323,0.0
1760440005.543745,324,0.0
1760440019.7562404,325,0.0
1760440034.049167,326,0.0
1760440047.7205572,327,0.0
1760440062.0872056,328,0.0
1760440077.9179645,329,0.0
1760440090.011705,330,0.0
1760440104.8875,331,0.0
1760440118.6663291,332,0.0
1760440132.345904,333,0.0
1760440145.7841191,334,0.0
1760440160.7436948,335,0.0
1760440176.0246904,336,0.0
1760440190.520516,337,0.0
1760440204.7323358,338,0.0
1760440217.6637156,339,0.0
1760440231.914918,340,0.0
1760440246.8899477,341,0.0
1760440262.871605,342,0.0
1760440276.9351614,343,0.0
1760440290.5447667,344,0.0
1760440303.709883,345,0.0
1760440324.1585805,346,0.0
1760440338.7294805,347,0.0
1760440352.339914,348,0.0
1760440375.6250157,349,1.0
1760440390.7910168,350,0.0
1760440405.312786,351,0.0
1760440419.1971824,352,0.0
1760440433.3274124,353,0.0
1760440449.0907712,354,0.0
1760440463.1041784,355,0.0
