Wall time,Step,Value
1761124637.561752,1,0.0
1761124642.4105008,2,0.0
1761124646.829056,3,0.0
1761124648.9652538,4,0.0
1761124652.985302,5,0.0
1761124654.838798,6,0.0
1761124656.9977984,7,0.0
1761124659.1119246,8,0.0
1761124665.153683,9,0.0
1761124667.4597483,10,0.0
1761124675.9139934,11,0.0
1761124732.6390238,12,0.0
1761124765.1386855,13,0.0
1761124787.8380387,14,1.0
1761124800.4638953,15,0.0
1761124810.8860066,16,0.0
1761124857.465775,17,1.0
1761124867.3129075,18,0.0
1761124877.9770384,19,0.0
1761124900.5109549,20,1.0
1761124912.9216495,21,0.0
1761124921.4950233,22,0.0
1761124931.8992639,23,0.0
1761124956.3637261,24,1.0
1761124984.451366,26,1.0
1761124991.495707,27,0.0
1761125008.0359037,28,1.0
1761125015.0907679,29,0.0
1761125021.6579604,30,0.0
1761125033.0022273,31,0.0
1761125043.2821279,32,0.0
1761125054.490689,33,0.0
1761125062.5132637,34,0.0
1761125072.2472916,35,0.0
1761125094.7425966,36,1.0
1761125102.7391646,37,0.0
1761125114.5009265,38,1.0
1761125120.2589548,39,0.0
1761125135.4160936,40,1.0
1761125142.3804786,41,0.0
1761125174.3427148,43,1.0
1761125187.058766,44,1.0
1761125199.8725295,45,1.0
1761125209.6979077,46,0.0
1761125222.5845313,47,1.0
1761125232.2591274,48,0.0
1761125239.6830258,49,0.0
1761125250.856361,50,0.0
1761125257.6344194,51,0.0
1761125264.6884255,52,0.0
1761125270.2460463,53,0.0
1761125276.8222444,54,0.0
1761125283.1607695,55,0.0
1761125290.5206227,56,0.0
1761125301.40406,57,0.0
1761125306.1494896,58,0.0
1761125313.3089116,59,0.0
1761125334.5624578,61,1.0
1761125350.4404683,62,1.0
1761125358.3491414,63,0.0
1761125371.3341308,64,1.0
1761125396.8769557,66,1.0
1761125412.3962417,67,1.0
1761125428.3055408,68,1.0
1761125444.508421,69,1.0
1761125460.9513505,70,1.0
1761125476.5142987,71,1.0
1761125493.2710345,72,1.0
1761125505.621939,73,1.0
1761125515.2686126,74,0.0
1761125531.8441331,75,1.0
1761125541.5837216,76,0.0
1761125552.4367456,77,0.0
1761125565.1907134,78,1.0
1761125577.939097,79,1.0
1761125585.793598,80,0.0
1761125601.2043073,81,0.0
1761125611.3713052,82,0.0
1761125624.0229313,83,1.0
1761125634.9572039,84,0.0
1761125646.063644,85,0.0
1761125662.6938744,86,1.0
1761125668.6296134,87,0.0
1761125677.1320608,88,0.0
1761125685.0213227,89,0.0
1761125696.5993721,90,0.0
1761125712.6084766,91,1.0
1761125735.0318594,93,0.0
1761125750.487387,94,1.0
1761125759.437041,95,0.0
1761125775.0381656,96,1.0
1761125782.47466,97,0.0
1761125798.5791323,98,1.0
1761125813.823247,99,1.0
1761125826.5216167,100,1.0
1761125835.4377613,101,0.0
1761125850.647368,102,1.0
1761125866.7098398,103,1.0
1761125878.810291,104,1.0
1761125884.6713119,105,0.0
1761125890.3474605,106,0.0
1761125903.1334605,107,1.0
1761125915.843582,108,1.0
1761125921.4170687,109,0.0
1761125930.5149431,110,0.0
1761125937.8473856,111,0.0
1761125947.3011875,112,0.0
1761125960.2703993,113,1.0
1761125972.4801137,115,0.0
1761125981.3025582,116,0.0
1761125993.053666,117,1.0
1761126003.0968568,118,0.0
1761126012.3968976,119,0.0
1761126018.3370667,120,0.0
1761126034.6700883,121,1.0
1761126041.8279238,122,0.0
1761126048.4014683,123,0.0
1761126060.999001,124,1.0
1761126074.9626489,125,0.0
1761126087.2975044,126,1.0
1761126094.566141,127,0.0
1761126101.8364363,128,0.0
1761126113.3503,129,0.0
1761126129.0881827,130,1.0
1761126136.0041761,131,0.0
1761126144.7773921,132,0.0
1761126151.5626557,133,0.0
1761126155.4718919,134,0.0
1761126165.5998263,135,0.0
1761126172.230244,136,0.0
1761126182.306835,137,0.0
1761126196.2251523,138,0.0
1761126215.3243582,139,1.0
1761126227.343447,140,1.0
1761126236.0635798,141,0.0
1761126249.5490468,142,0.0
1761126260.3259184,143,0.0
1761126268.0352905,144,0.0
1761126274.0355213,145,0.0
1761126280.5007813,146,0.0
1761126288.0181046,147,0.0
1761126295.040575,148,0.0
1761126307.4819229,149,0.0
1761126319.286512,151,0.0
1761126333.5053363,153,0.0
1761126340.3708272,154,0.0
1761126345.7930384,155,0.0
1761126353.7921972,156,0.0
1761126360.9228396,157,0.0
1761126371.6781397,158,0.0
1761126380.7528043,159,0.0
1761126390.1258526,160,0.0
1761126396.3276107,161,0.0
1761126406.333081,162,0.0
1761126412.1023521,163,0.0
1761126419.1575954,164,0.0
1761126429.2813888,165,0.0
1761126435.2723887,166,0.0
1761126445.2120774,167,0.0
1761126450.642561,168,0.0
1761126456.7308884,169,0.0
1761126463.2943385,170,0.0
1761126474.8879352,171,0.0
1761126482.5433176,172,0.0
1761126490.76091,173,0.0
1761126498.4068892,174,0.0
1761126505.1396625,175,0.0
1761126510.4573567,176,0.0
1761126518.5489397,177,0.0
1761126528.151014,178,0.0
1761126534.8196445,179,0.0
1761126544.8993738,180,0.0
1761126551.579214,181,0.0
1761126558.5055687,182,0.0
1761126570.5872014,183,0.0
1761126578.6749644,184,0.0
1761126584.2301414,185,0.0
1761126594.5471687,186,0.0
1761126604.906685,187,0.0
1761126627.3361032,189,1.0
1761126635.0519614,190,0.0
1761126646.1704774,191,0.0
1761126656.5793624,192,0.0
1761126666.982674,193,0.0
1761126682.463692,194,0.0
1761126690.6021843,195,0.0
1761126698.1254673,196,0.0
1761126710.1983016,197,0.0
1761126719.9979303,198,0.0
1761126729.2328532,199,0.0
1761126742.7851996,200,0.0
1761126750.234731,201,0.0
1761126773.6912358,203,0.0
1761126785.3730414,204,0.0
1761126794.0357454,205,0.0
1761126802.5300453,206,0.0
1761126808.591864,207,0.0
1761126816.0991921,208,0.0
1761126826.607882,209,0.0
