Wall time,Step,Value
1760965935.235604,1,0.0
1760965989.5297709,2,1.0
1760966005.345573,3,0.0
1760966044.4813163,4,1.0
1760966050.949857,5,0.0
1760966062.4450822,6,0.0
1760966068.2992606,7,0.0
1760966074.0115314,8,0.0
1760966080.3328757,9,0.0
1760966087.8272681,10,0.0
1760966094.0792968,11,0.0
1760966100.3908732,12,0.0
1760966107.192018,13,0.0
1760966112.5549219,14,0.0
1760966125.6213605,15,0.0
1760966131.1238296,16,0.0
1760966136.410336,17,0.0
1760966143.888202,18,0.0
1760966153.9799378,19,0.0
1760966159.2757003,20,0.0
1760966169.725137,21,0.0
1760966179.1337686,22,0.0
1760966204.3414302,23,1.0
1760966219.1703446,24,0.0
1760966237.7899878,25,0.0
1760966249.4136896,26,0.0
1760966264.0901864,27,0.0
1760966298.715607,28,1.0
1760966313.743703,29,0.0
1760966330.3505344,30,0.0
1760966346.8065872,31,0.0
1760966373.1451507,32,0.0
1760966401.9016225,33,0.0
1760966418.021942,34,0.0
1760966433.8792078,35,0.0
1760966449.9912035,36,0.0
1760966466.5068438,37,0.0
1760966484.0730035,38,0.0
1760966526.0141008,39,0.0
1760966549.4136949,40,0.0
1760966572.0444648,41,0.0
1760966610.577117,42,1.0
1760966649.1687126,43,1.0
1760966695.2888212,44,0.0
1760966724.5881386,45,0.0
1760966750.7317507,46,0.0
1760966806.792782,47,1.0
1760966834.485225,48,0.0
1760966895.3034415,49,1.0
1760966943.1462774,50,1.0
1760966993.8222084,51,1.0
1760967043.5859864,52,1.0
1760967091.3428373,53,1.0
1760967135.3731048,54,1.0
1760967179.370795,55,0.0
1760967220.1668117,56,0.0
1760967250.9379432,57,0.0
1760967297.5632489,58,1.0
1760967342.579645,59,0.0
1760967393.1909215,60,1.0
1760967411.3897142,61,0.0
1760967434.3418946,62,0.0
1760967469.3318598,63,0.0
1760967504.347866,64,0.0
1760967527.6374223,65,0.0
1760967575.8827713,66,1.0
1760967608.1099434,67,0.0
1760967638.6802278,68,0.0
1760967673.4636285,69,0.0
1760967709.5263188,70,0.0
1760967744.5535614,71,0.0
1760967770.4629922,72,0.0
1760967816.6261299,73,1.0
1760967849.6453648,74,0.0
1760967891.4973464,75,0.0
1760967941.345149,76,1.0
1760967973.385741,77,0.0
1760968016.423227,78,1.0
1760968071.2726822,79,1.0
1760968113.0453644,80,0.0
1760968161.2077374,81,0.0
1760968208.0370498,82,0.0
1760968251.56005,83,0.0
1760968301.3842256,84,1.0
1760968337.6716113,85,1.0
1760968358.6277611,86,0.0
1760968406.76315,87,0.0
1760968414.459244,88,0.0
1760968455.4222093,89,0.0
1760968488.983352,90,0.0
1760968516.4585536,91,0.0
1760968561.625646,92,1.0
1760968608.0591393,93,1.0
1760968637.6727693,94,0.0
1760968676.7299132,95,0.0
1760968698.6034083,96,0.0
1760968727.1356943,97,0.0
1760968757.182614,98,0.0
1760968778.104566,99,0.0
1760968809.3106747,100,0.0
1760968851.006407,101,0.0
1760968875.8819757,102,0.0
1760968920.073639,103,0.0
1760968958.4038892,104,0.0
1760968989.117411,105,0.0
1760969025.1700559,106,0.0
1760969060.1152318,107,0.0
1760969120.6097426,108,0.0
1760969147.4129248,109,0.0
1760969209.0015662,110,1.0
1760969267.1686997,111,1.0
1760969316.31486,112,1.0
1760969389.6772256,113,1.0
1760969454.7234209,114,0.0
1760969531.1091878,115,0.0
1760969611.077468,116,0.0
1760969650.8166564,117,0.0
1760969693.3930347,118,0.0
1760969757.6157699,119,1.0
1760969833.212991,120,1.0
1760969906.8405612,121,1.0
1760969932.8982313,122,0.0
1760969978.3959675,123,0.0
1760970022.4782684,124,0.0
1760970088.7708714,125,0.0
1760970151.9465978,126,0.0
1760970215.8832316,127,1.0
1760970247.1309798,128,0.0
1760970282.5920482,129,0.0
1760970358.965025,130,1.0
1760970398.1817951,131,0.0
1760970468.8350346,132,0.0
1760970540.3172956,133,1.0
1760970551.184433,134,0.0
1760970629.1993864,135,0.0
1760970705.5247426,136,1.0
1760970778.9123864,137,0.0
1760970813.5819564,138,0.0
1760970862.344186,139,0.0
1760970933.3089345,140,0.0
1760971001.1016266,141,1.0
1760971077.1750207,142,0.0
1760971117.0654747,143,0.0
1760971149.7153444,144,0.0
1760971234.4612508,145,1.0
1760971283.9982617,146,0.0
1760971317.0628276,147,0.0
1760971373.5383692,148,0.0
1760971455.4919603,149,0.0
1760971529.177368,150,1.0
1760971607.3705635,151,1.0
1760971665.8603745,152,0.0
1760971696.0259893,153,0.0
1760971733.8352628,154,0.0
1760971761.1387558,155,0.0
1760971799.3884592,156,0.0
1760971830.4183009,157,0.0
1760971914.4936411,158,1.0
