Wall time,Step,Value
1761141911.2003534,1,298.0
1761141913.7834604,2,97.0
1761141915.7970872,3,67.0
1761141917.7949739,4,73.0
1761141919.9709082,5,46.0
1761141924.8809698,6,110.0
1761141934.5652761,7,69.0
1761141940.5307329,8,523.0
1761141971.1390395,9,375.0
1761141989.8795638,10,529.0
1761142015.006266,11,555.0
1761142038.2711122,12,603.0
1761142058.0246549,13,930.0
1761142068.3781283,14,353.0
1761142091.1704695,15,930.0
1761142110.2555802,16,930.0
1761142132.3394625,17,930.0
1761142155.7853737,18,930.0
1761142175.0374649,19,930.0
1761142193.989836,20,930.0
1761142219.7694366,21,930.0
1761142231.39288,22,598.0
1761142248.3436093,23,930.0
1761142265.1100614,24,930.0
1761142283.1184897,25,930.0
1761142293.6302133,26,471.0
1761142299.6734397,27,523.0
1761142305.4607716,28,462.0
1761142312.6611357,29,322.0
1761142329.1863196,30,930.0
1761142337.7866762,31,352.0
1761142348.2659647,32,523.0
1761142358.688567,33,526.0
1761142373.5733407,34,930.0
1761142387.9375527,35,821.0
1761142391.1601546,36,105.0
1761142401.4016812,37,603.0
1761142417.7230356,38,930.0
1761142434.8337345,39,930.0
1761142443.8014991,40,523.0
1761142455.7076335,41,567.0
1761142467.991762,42,573.0
1761142474.927481,43,460.0
1761142488.9967928,44,930.0
1761142496.7555075,45,603.0
1761142503.5068445,46,533.0
1761142506.882566,47,73.0
1761142517.6917238,48,598.0
1761142530.7100022,49,603.0
1761142541.9152582,50,603.0
1761142555.7677147,51,598.0
1761142563.1341217,52,407.0
1761142579.5281696,53,930.0
1761142595.4878337,54,930.0
1761142606.3496642,55,598.0
1761142617.241104,56,598.0
1761142636.0106776,57,930.0
1761142643.5034218,58,399.0
1761142655.6537735,59,930.0
1761142664.1005256,60,287.0
1761142670.0012429,61,523.0
1761142682.1929522,62,930.0
1761142694.6601124,63,930.0
1761142707.719667,64,930.0
1761142720.9064853,65,930.0
1761142729.9740863,66,484.0
1761142749.2423832,67,930.0
1761142759.6273065,68,598.0
1761142769.9919405,69,603.0
1761142780.864767,70,672.0
1761142787.570332,71,575.0
1761142800.6264286,72,930.0
1761142810.7196667,73,553.0
1761142827.2358654,74,930.0
1761142834.840363,75,585.0
1761142846.7300394,76,604.0
1761142856.2724583,77,603.0
1761142864.2651434,78,603.0
1761142877.7661545,79,619.0
1761142885.151059,80,598.0
1761142892.4074311,81,572.0
1761142905.7781484,82,930.0
1761142916.2111592,83,580.0
1761142923.4878428,84,598.0
1761142930.295779,85,573.0
1761142940.68287,86,808.0
1761142950.8058474,87,523.0
1761142961.1916218,88,572.0
1761142967.5048845,89,528.0
1761142974.9867628,90,627.0
1761142982.1706169,91,562.0
1761142993.256598,92,598.0
1761143004.6219966,93,598.0
1761143015.406085,94,562.0
1761143026.3184636,95,584.0
1761143033.040403,96,452.0
1761143048.5051794,97,603.0
