Wall time,Step,Value
1760165859.731869,1,64.0
1760165862.1952991,2,19.0
1760165868.368287,3,68.0
1760165872.5149672,4,29.0
1760165902.4112449,5,603.0
1760165928.875784,6,604.0
1760165945.47129,7,304.0
1760165962.729292,8,304.0
1760165980.9180558,9,304.0
1760165996.860196,10,312.0
1760166010.8259308,11,262.0
1760166022.367522,12,239.0
1760166066.6637783,13,930.0
1760166093.326211,14,603.0
1760166122.7214217,15,598.0
1760166153.3969755,16,598.0
1760166184.2243905,17,598.0
1760166216.190627,18,776.0
1760166222.9574013,19,122.0
1760166228.501152,20,78.0
1760166233.1619391,21,66.0
1760166238.462236,22,78.0
1760166244.8432283,23,100.0
1760166251.9431138,24,110.0
1760166272.9284418,25,375.0
1760166290.9929612,26,452.0
1760166329.903666,27,930.0
1760166366.4288037,28,930.0
1760166400.855801,29,930.0
1760166407.0028062,30,82.0
1760166443.9254057,31,930.0
1760166464.5673354,32,620.0
1760166480.566025,33,298.0
1760166509.3235555,34,829.0
1760166522.8833227,35,246.0
1760166530.9094615,36,97.0
1760166566.1445959,37,793.0
1760166593.5730057,38,591.0
1760166617.2183561,39,500.0
1760166632.8671885,40,523.0
1760166639.3219888,41,85.0
1760166660.0713918,42,585.0
1760166701.4607952,43,746.0
1760166742.4632854,44,204.0
1760166753.920392,45,238.0
1760166760.8432174,46,91.0
1760166766.7781708,47,78.0
1760166772.4985127,48,78.0
1760166796.609107,49,601.0
1760166831.726436,50,930.0
1760166844.4825757,51,286.0
1760166856.184251,52,277.0
1760166867.292379,53,290.0
1760166878.707104,54,290.0
1760166884.6335726,55,91.0
1760166896.3256936,56,290.0
1760166907.9620492,57,290.0
1760166922.6646142,58,585.0
1760166939.8410542,59,585.0
1760166953.545132,60,396.0
1760166985.057179,61,930.0
1760167020.3181763,62,930.0
1760167032.0872467,63,484.0
1760167055.0074337,64,599.0
1760167066.848881,65,483.0
1760167087.5625904,66,585.0
1760167099.3747957,67,480.0
1760167133.3747234,68,668.0
1760167156.8133302,69,668.0
1760167187.9210637,70,665.0
1760167201.2916005,71,533.0
1760167223.6980796,72,594.0
1760167244.7117205,73,585.0
1760167257.206812,74,312.0
1760167278.5197372,75,285.0
1760167290.4637995,76,481.0
1760167302.9423802,77,482.0
