Wall time,Step,Value
1760702980.334666,1,18.0
1760703010.393824,2,406.0
1760703052.1350377,3,930.0
1760703091.2392771,4,930.0
1760703107.9949446,5,305.0
1760703145.8473725,6,603.0
1760703173.7131338,7,603.0
1760703190.7341785,8,523.0
1760703209.7016473,9,395.0
1760703226.1886308,10,312.0
1760703240.5496776,11,312.0
1760703266.275712,12,311.0
1760703271.1664941,13,77.0
1760703276.230991,14,76.0
1760703296.8325806,15,930.0
1760703314.6854684,16,523.0
1760703320.9372,17,110.0
1760703341.1036024,18,529.0
1760703372.4583285,19,375.0
1760703402.473428,20,585.0
1760703415.7207718,21,304.0
1760703452.5696437,22,400.0
1760703464.1405773,23,304.0
1760703507.1306083,24,930.0
1760703537.9386926,25,930.0
1760703560.7542741,26,930.0
1760703584.972009,27,930.0
1760703599.1849241,28,400.0
1760703617.3535838,29,382.0
1760703633.4746888,30,392.0
1760703684.0707016,31,930.0
1760703724.6803336,32,930.0
1760703761.277013,33,811.0
1760703803.3221617,34,930.0
1760703843.6019104,35,930.0
1760703883.2645104,36,930.0
1760703920.6641476,37,930.0
1760703939.9153118,38,382.0
1760703957.7811868,39,414.0
1760703975.8683376,40,392.0
1760704034.396527,41,930.0
1760704052.99273,42,391.0
1760704092.9966154,43,930.0
1760704120.999647,44,354.0
1760704149.6587403,45,415.0
1760704185.9176586,46,421.0
1760704213.8761258,47,364.0
1760704235.229955,48,406.0
1760704304.7169824,49,930.0
1760704324.7579243,50,422.0
1760704342.5103552,51,403.0
1760704369.7676272,52,406.0
1760704420.902344,53,930.0
1760704475.6337442,54,930.0
1760704518.4736001,55,930.0
1760704581.1186564,56,930.0
1760704628.2597158,57,930.0
1760704688.2449815,58,930.0
1760704705.7057962,59,415.0
1760704772.6461697,60,930.0
1760704893.3709478,61,930.0
1760704967.4096835,62,930.0
1760705122.5305905,63,930.0
1760705185.4006674,64,930.0
1760705237.7507074,65,930.0
1760705256.1057377,66,365.0
1760705278.69916,67,353.0
1760705295.638538,68,431.0
1760705336.6705618,69,930.0
1760705352.927908,70,462.0
1760705376.8083227,71,366.0
1760705405.2902057,72,603.0
1760705448.1744716,73,930.0
1760705495.6944554,74,930.0
1760705535.2138758,75,596.0
1760705576.6476502,76,930.0
1760705624.046441,77,930.0
1760705666.4573247,78,930.0
1760705698.9636595,79,603.0
1760705734.0417967,80,529.0
1760705775.0315144,81,930.0
1760705819.5919943,82,930.0
1760705840.8117282,83,414.0
1760705858.756857,84,414.0
1760705887.3734963,85,603.0
1760705909.3958833,86,414.0
1760705954.9662733,87,876.0
1760705992.4207668,88,598.0
1760706064.585482,89,930.0
1760706117.062581,90,930.0
1760706141.7447972,91,566.0
1760706184.586381,92,546.0
1760706235.8584278,93,894.0
1760706295.5392346,94,930.0
1760706326.6878037,95,545.0
1760706386.5377731,96,584.0
1760706477.7010083,97,899.0
1760706524.7799265,98,568.0
1760706604.7306383,99,930.0
1760706697.2405162,100,930.0
1760706772.5269752,101,930.0
1760706827.1081188,102,930.0
1760706880.5128994,103,532.0
1760706905.3957338,104,367.0
1760706949.2676744,105,366.0
1760706976.9616601,106,383.0
1760707012.6574626,107,362.0
1760707051.7423306,108,304.0
1760707086.4875393,109,523.0
1760707137.2924104,110,524.0
1760707167.7934403,111,352.0
1760707200.6953907,112,352.0
1760707267.466683,113,930.0
1760707296.8847077,114,369.0
1760707332.0115368,115,304.0
1760707362.7181997,116,352.0
1760707387.5047984,117,305.0
1760707421.4108417,118,304.0
1760707498.339953,119,930.0
1760707595.1264372,120,930.0
1760707624.566496,121,544.0
1760707679.047513,122,709.0
1760707779.7297416,123,930.0
1760707806.572602,124,422.0
1760707882.3549154,125,395.0
1760707928.5799634,126,312.0
1760707964.8863676,127,352.0
1760708008.9076574,128,305.0
1760708042.690225,129,344.0
1760708070.8826876,130,312.0
1760708125.2375355,131,345.0
1760708160.1745918,132,369.0
1760708185.2772026,133,304.0
1760708213.3482213,134,305.0
1760708246.7274675,135,304.0
1760708281.4067304,136,368.0
1760708317.555726,137,462.0
1760708349.6449542,138,367.0
1760708389.2988605,139,452.0
1760708425.5662396,140,422.0
1760708485.831674,141,368.0
1760708543.1619108,142,462.0
1760708586.2634025,143,423.0
1760708615.956285,144,304.0
1760708643.6712968,145,304.0
1760708678.2012544,146,453.0
1760708716.7944703,147,374.0
1760708723.9951737,148,84.0
1760708752.0908453,149,322.0
1760708780.2175975,150,305.0
1760708814.4589336,151,305.0
1760708861.5097735,152,458.0
1760708894.3852742,153,304.0
1760708924.404592,154,453.0
1760708960.7058325,155,431.0
1760708994.9885855,156,428.0
1760709033.9009426,157,352.0
1760709047.907329,158,125.0
1760709079.4892392,159,312.0
