Wall time,Step,Value
1758540016.5778034,1,16.0
1758540034.1255941,2,5.0
1758540051.0540416,3,5.0
1758540068.068333,4,5.0
1758540076.5808713,5,125.0
1758540082.7493427,6,74.0
1758540089.4268126,7,80.0
1758540097.49617,8,125.0
1758540105.586771,9,126.0
1758540119.6089177,10,261.0
1758540126.0192542,11,117.0
1758540132.3576329,12,117.0
1758540138.7657762,13,117.0
1758540140.31188,14,19.0
1758540142.2616386,15,29.0
1758540179.0355701,16,367.0
1758540193.1674342,17,305.0
1758540195.3640022,18,39.0
1758540197.261096,19,30.0
1758540199.2909834,20,29.0
1758540201.3004196,21,30.0
1758540206.6735198,22,70.0
1758540208.912708,23,31.0
1758540211.2330532,24,33.0
1758540216.0946,25,122.0
1758540218.205259,26,32.0
1758540220.4885888,27,30.0
1758540222.5582337,28,29.0
1758540224.258343,29,20.0
1758540226.0374386,30,21.0
1758540228.345125,31,32.0
1758540230.4346704,32,29.0
1758540232.2477856,33,22.0
1758540234.1565588,34,22.0
1758540241.5761013,35,57.0
1758540260.4701295,36,62.0
1758540262.703864,37,30.0
1758540264.3829327,38,20.0
1758540277.2887332,39,62.0
1758540279.2385886,40,19.0
1758540281.1218576,41,19.0
1758540289.6059544,42,57.0
1758540312.450995,43,599.0
1758540333.9366047,44,598.0
1758540351.1440027,45,534.0
1758540365.9432065,46,523.0
1758540381.9689205,47,524.0
1758540401.514274,48,372.0
1758540431.3316689,49,299.0
1758540448.9614065,50,523.0
1758540474.5465395,51,381.0
1758540500.5073743,52,523.0
1758540536.8271205,53,371.0
1758540575.6635504,54,369.0
1758540595.5006204,55,285.0
1758540638.0624092,56,195.0
1758540656.603621,57,286.0
1758540706.3966293,58,279.0
1758540739.8660898,59,195.0
1758540756.0346396,60,286.0
1758540775.52372,61,377.0
1758540814.7518883,62,601.0
1758540855.8151808,63,392.0
1758540878.2366965,64,399.0
1758540897.3826237,65,397.0
1758540918.3925834,66,397.0
1758540938.8534613,67,399.0
1758540970.6853302,68,603.0
1758540993.8096128,69,398.0
1758541013.1482542,70,400.0
1758541031.7272115,71,398.0
1758541050.1170504,72,400.0
1758541067.6939507,73,603.0
1758541084.3457391,74,603.0
1758541102.532036,75,397.0
1758541118.7159867,76,603.0
1758541137.5710375,77,399.0
1758541152.0914986,78,399.0
1758541180.6966295,79,400.0
1758541198.1278114,80,399.0
1758541209.573732,81,362.0
1758541220.9996367,82,362.0
1758541230.586182,83,362.0
1758541241.3455288,84,400.0
1758541255.99345,85,832.0
1758541265.2814755,86,612.0
1758541282.3529925,87,930.0
1758541300.970072,88,930.0
1758541309.926124,89,407.0
1758541318.3178737,90,562.0
1758541327.0797408,91,409.0
1758541335.1306832,92,571.0
1758541344.0594492,93,354.0
1758541352.7378929,94,419.0
1758541364.1387415,95,400.0
1758541373.2827082,96,408.0
1758541384.3640594,97,398.0
1758541396.127697,98,399.0
1758541408.1190631,99,399.0
1758541418.3488023,100,415.0
1758541429.2203531,101,406.0
1758541442.6880357,102,401.0
1758541454.8500001,103,401.0
1758541466.7000668,104,402.0
1758541478.2531688,105,404.0
1758541490.5578282,106,399.0
1758541502.3667936,107,401.0
1758541520.776143,108,633.0
1758541537.0433583,109,401.0
1758541561.8277826,110,930.0
1758541602.1143672,111,930.0
1758541627.159388,112,930.0
1758541651.364978,113,930.0
1758541664.7524922,114,480.0
1758541689.6335917,115,930.0
1758541712.359691,116,603.0
1758541729.7297215,117,927.0
1758541762.753366,118,930.0
1758541790.9182787,119,930.0
1758541811.0432951,120,930.0
1758541830.6976311,121,930.0
1758541842.7562518,122,290.0
1758541874.0861511,123,930.0
1758541905.2185981,124,930.0
1758541933.7679744,125,930.0
1758541945.121251,126,400.0
1758541963.7440803,127,929.0
1758541995.7102244,128,930.0
1758542022.9805312,129,930.0
1758542034.110709,130,400.0
1758542044.9317346,131,401.0
1758542055.6002376,132,400.0
1758542085.124431,133,930.0
1758542109.1578608,134,930.0
1758542131.9147751,135,930.0
1758542157.5703056,136,928.0
1758542176.5482244,137,924.0
1758542185.6419623,138,364.0
1758542194.9984286,139,364.0
1758542219.3085177,140,929.0
1758542228.203075,141,366.0
1758542246.337166,142,929.0
1758542256.3222475,143,364.0
1758542281.8405373,144,930.0
1758542292.1979306,145,364.0
1758542319.5195963,146,926.0
1758542328.8309233,147,364.0
1758542348.1034617,148,930.0
1758542393.997911,149,929.0
1758542413.0108967,150,929.0
1758542436.4580014,151,930.0
1758542455.212018,152,930.0
1758542464.7857764,153,366.0
1758542489.4971294,154,930.0
1758542514.9585118,155,929.0
1758542530.5325565,156,366.0
1758542556.478963,157,930.0
1758542572.364192,158,605.0
1758542596.9096243,159,930.0
1758542614.8588994,160,604.0
1758542634.2987878,161,603.0
1758542660.8590539,162,930.0
1758542687.6843305,163,930.0
1758542714.3853633,164,930.0
1758542741.172838,165,930.0
1758542765.5991986,166,930.0
1758542794.2233186,167,930.0
1758542825.5588026,168,928.0
1758542855.4720984,169,928.0
1758542876.1998198,170,603.0
1758542904.750209,171,930.0
1758542934.7993305,172,930.0
1758542963.562374,173,930.0
1758542992.1370122,174,930.0
