Wall time,Step,Value
1760504213.3990521,1,15.0
1760504230.981212,2,5.0
1760504248.190173,3,5.0
1760504265.3752668,4,5.0
1760504274.599117,5,70.0
1760504281.800759,6,74.0
1760504287.7988617,7,71.0
1760504294.0693955,8,76.0
1760504295.7706473,9,23.0
1760504300.4455512,10,56.0
1760504302.8628836,11,33.0
1760504304.9171748,12,28.0
1760504307.3295126,13,29.0
1760504309.8459952,14,35.0
1760504312.328811,15,34.0
1760504314.8413174,16,33.0
1760504317.9486,17,45.0
1760504321.0369873,18,45.0
1760504323.9994576,19,56.0
1760504327.1882467,20,46.0
1760504330.2981708,21,46.0
1760504333.1305144,22,39.0
1760504335.9781651,23,40.0
1760504338.221798,24,29.0
1760504340.0226898,25,20.0
1760504343.830323,26,57.0
1760504345.581983,27,20.0
1760504370.0718036,28,312.0
1760504372.7965462,29,45.0
1760504375.3876405,30,45.0
1760504387.5348556,31,195.0
1760504392.1140163,32,73.0
1760504394.5370667,33,43.0
1760504405.9742918,34,386.0
1760504432.1003218,35,312.0
1760504453.5760686,36,312.0
1760504456.79147,37,39.0
1760504465.6646984,38,110.0
1760504469.9489498,39,40.0
1760504495.1607928,40,322.0
1760504519.6719115,41,305.0
1760504545.234585,42,304.0
1760504568.2774158,43,332.0
1760504591.0471632,44,352.0
1760504620.2676706,45,322.0
1760504640.9828749,46,362.0
1760504674.116873,47,476.0
1760504697.1301534,48,378.0
1760504729.5247066,49,477.0
1760504758.4899535,50,378.0
1760504776.5984526,51,523.0
1760504794.616577,52,523.0
1760504817.2649415,53,575.0
1760504837.7339494,54,380.0
1760504857.7079675,55,571.0
1760504890.5375845,56,289.0
1760504906.4506347,57,286.0
1760504923.3422272,58,286.0
1760504940.8366654,59,274.0
1760504960.014069,60,275.0
1760504996.6026313,61,287.0
1760505019.2038608,62,285.0
1760505061.497451,63,283.0
1760505124.3521628,64,470.0
1760505149.8092513,65,523.0
1760505192.3634448,66,309.0
1760505223.763327,67,523.0
1760505255.7419846,68,603.0
1760505282.3036222,69,396.0
1760505306.108209,70,398.0
1760505346.2455468,71,358.0
1760505383.5068018,72,551.0
1760505445.5995457,73,928.0
1760505476.7452633,74,400.0
