Wall time,Step,Value
1760522007.1407332,1,36.0
1760522023.2492144,2,5.0
1760522043.2993736,3,11.0
1760522044.7150595,4,10.0
1760522046.2324727,5,13.0
1760522047.9631224,6,14.0
1760522049.9441848,7,15.0
1760522051.718775,8,17.0
1760522053.9054747,9,18.0
1760522056.5492234,10,33.0
1760522060.153061,11,56.0
1760522087.8268511,12,371.0
1760522108.6672142,13,332.0
1760522117.034888,14,138.0
1760522131.8182225,15,304.0
1760522134.0822,16,31.0
1760522151.5164645,17,312.0
1760522161.2985065,18,145.0
1760522169.1745877,19,112.0
1760522181.8263912,20,167.0
1760522183.9227712,21,21.0
1760522187.2579308,22,21.0
1760522189.3689516,23,19.0
1760522191.646243,24,23.0
1760522195.5685136,25,40.0
1760522198.0031197,26,20.0
1760522200.7653823,27,20.0
1760522202.9181068,28,20.0
1760522205.667171,29,19.0
1760522207.668877,30,23.0
1760522209.6173456,31,21.0
1760522211.7309208,32,20.0
1760522213.9409177,33,21.0
1760522218.5401106,34,62.0
1760522223.733737,35,62.0
1760522225.9318175,36,29.0
1760522227.8866093,37,21.0
1760522232.5362613,38,62.0
1760522238.6758695,39,100.0
1760522246.5815375,40,100.0
1760522248.394937,41,20.0
1760522254.9481916,42,100.0
1760522263.367652,43,157.0
1760522271.336585,44,145.0
1760522279.1567,45,150.0
1760522295.591108,46,524.0
1760522320.8261864,47,373.0
1760522340.5997057,48,375.0
1760522387.5418637,49,236.0
1760522409.5963562,50,77.0
1760522431.7707,51,87.0
1760522481.2586787,52,474.0
1760522511.2235577,53,285.0
1760522540.5500438,54,373.0
1760522555.0896506,55,278.0
1760522578.1574225,56,279.0
1760522611.0893035,57,278.0
1760522649.9802425,58,280.0
1760522682.2037437,59,475.0
1760522717.077148,60,294.0
1760522751.4377553,61,364.0
1760522778.079627,62,93.0
1760522799.7524314,63,365.0
1760522823.2127948,64,395.0
1760522845.7292292,65,394.0
1760522880.7317786,66,399.0
1760522909.6851795,67,172.0
1760522947.62278,68,401.0
1760522971.0415728,69,397.0
1760523001.9530575,70,397.0
1760523025.7587996,71,395.0
1760523042.3177724,72,6.0
1760523085.5178258,73,397.0
1760523112.3604217,74,130.0
1760523151.9815946,75,352.0
1760523276.446159,76,885.0
1760523302.2695525,77,375.0
1760523329.070753,78,400.0
1760523361.4308617,79,192.0
1760523381.2700615,80,48.0
1760523402.2498996,81,232.0
1760523444.9769251,82,598.0
1760523472.446723,83,401.0
1760523501.8556101,84,193.0
1760523518.704938,85,285.0
1760523542.0968945,86,400.0
1760523547.90223,87,91.0
1760523587.385042,88,401.0
1760523609.5242755,89,399.0
1760523632.7147653,90,401.0
1760523637.0497963,91,78.0
1760523657.1230836,92,385.0
1760523678.551355,93,396.0
1760523698.2737846,94,376.0
1760523716.7120788,95,375.0
1760523730.8772306,96,286.0
1760523768.7979898,97,374.0
1760523786.6480105,98,286.0
1760523819.6639905,99,401.0
1760523862.974032,100,629.0
1760523921.114809,101,286.0
1760523954.6615076,102,376.0
1760523982.22609,103,374.0
1760524013.0096927,104,571.0
1760524049.945369,105,275.0
1760524077.7657337,106,376.0
1760524116.120885,107,300.0
1760524158.1416762,108,358.0
1760524175.322865,109,45.0
1760524205.0016968,110,375.0
1760524232.0204399,111,246.0
1760524274.9756875,112,359.0
1760524296.8512065,113,245.0
1760524302.3852324,114,47.0
1760524340.623509,115,246.0
1760524387.2475958,116,360.0
1760524436.6613595,117,361.0
1760524479.0005913,118,356.0
1760524488.6765904,119,81.0
1760524544.0626202,120,358.0
1760524587.0783508,121,358.0
1760524630.4278643,122,357.0
1760524677.738158,123,289.0
1760524707.3321872,124,571.0
1760524749.8130085,125,358.0
1760524828.2675242,126,598.0
1760524856.1683247,127,396.0
1760524885.2236187,128,395.0
1760524914.589472,129,392.0
1760524942.2857287,130,365.0
1760524994.9943235,131,288.0
1760525037.3708854,132,367.0
1760525079.799082,133,365.0
1760525111.2911375,134,603.0
1760525142.798181,135,603.0
1760525185.2125063,136,364.0
1760525227.3068914,137,363.0
1760525271.7167618,138,410.0
1760525314.6191375,139,367.0
1760525374.7202609,140,585.0
1760525403.757131,141,403.0
1760525457.1814907,142,926.0
1760525503.5995724,143,810.0
1760525534.6552606,144,603.0
1760525568.2876031,145,603.0
1760525619.1724932,146,810.0
1760525699.5182788,147,930.0
1760525759.4895968,148,580.0
1760525788.131223,149,403.0
1760525831.1377442,150,620.0
1760525897.0439978,151,930.0
1760525939.9909153,152,407.0
1760526001.3944812,153,930.0
1760526044.6458855,154,628.0
1760526074.0175428,155,188.0
1760526135.5630355,156,930.0
1760526191.122719,157,571.0
1760526211.8984208,158,56.0
1760526275.2977746,159,930.0
1760526336.305071,160,930.0
1760526397.414995,161,930.0
1760526462.6072655,162,930.0
1760526523.0958076,163,930.0
1760526583.571656,164,930.0
1760526609.2049513,165,406.0
1760526632.8450043,166,362.0
1760526686.4145918,167,930.0
1760526741.363561,168,930.0
1760526797.0296829,169,930.0
1760526851.962894,170,930.0
1760526905.9167356,171,930.0
1760526944.1854033,172,585.0
1760526981.3796887,173,585.0
1760527018.4197247,174,603.0
1760527036.351579,175,17.0
1760527085.6578374,176,930.0
1760527162.5511825,177,930.0
1760527213.4117832,178,930.0
1760527252.890107,179,585.0
1760527295.6154478,180,604.0
1760527334.925881,181,604.0
1760527373.0168695,182,603.0
1760527410.485193,183,603.0
1760527463.7899542,184,930.0
1760527511.78342,185,930.0
1760527560.6147738,186,930.0
1760527597.7928057,187,626.0
1760527636.8205407,188,194.0
1760527683.7460647,189,930.0
1760527737.1546247,190,930.0
1760527786.692038,191,930.0
1760527823.1011152,192,603.0
1760527871.6369498,193,930.0
1760527924.167137,194,930.0
1760527975.5796082,195,930.0
1760528011.4468594,196,603.0
1760528049.152547,197,603.0
1760528086.436586,198,603.0
1760528121.5423262,199,630.0
1760528174.8436027,200,930.0
1760528208.5990186,201,550.0
1760528262.0929737,202,930.0
1760528316.1177452,203,930.0
1760528370.0111842,204,930.0
1760528409.0989332,205,623.0
1760528462.7725296,206,930.0
1760528500.9666555,207,623.0
1760528552.6336358,208,930.0
1760528606.1256437,209,930.0
1760528661.551981,210,930.0
1760528714.410929,211,930.0
1760528751.3819118,212,603.0
1760528802.7533324,213,930.0
1760528852.2630024,214,930.0
1760528889.8162632,215,603.0
1760528942.0262182,216,930.0
1760528993.065815,217,930.0
1760529044.9452088,218,930.0
1760529098.2473714,219,930.0
1760529153.7551725,220,930.0
1760529204.4217477,221,930.0
1760529266.085175,222,930.0
1760529315.5496564,223,930.0
1760529368.1078887,224,930.0
1760529418.8848014,225,930.0
1760529473.9501185,226,930.0
1760529506.5079207,227,603.0
1760529560.692844,228,930.0
1760529611.0630364,229,930.0
1760529666.7795255,230,930.0
1760529705.6727633,231,627.0
1760529757.4261727,232,930.0
1760529812.3964663,233,930.0
1760529865.9695487,234,930.0
1760529921.5679934,235,930.0
1760529959.962185,236,623.0
1760530014.509588,237,930.0
1760530071.468294,238,930.0
1760530112.3633342,239,626.0
1760530164.8879328,240,930.0
1760530222.4545581,241,930.0
1760530291.7028704,242,930.0
1760530332.3679066,243,603.0
1760530369.9762568,244,571.0
1760530424.5725584,245,930.0
1760530482.083938,246,930.0
1760530534.7876809,247,930.0
1760530577.7207072,248,603.0
1760530626.6838927,249,603.0
1760530665.9464571,250,603.0
1760530705.681917,251,603.0
1760530743.4552846,252,603.0
1760530807.7083888,253,930.0
1760530841.759344,254,603.0
1760530886.0129492,255,284.0
1760530922.094355,256,603.0
1760530960.460886,257,603.0
1760531013.4334714,258,930.0
1760531078.9077365,259,930.0
1760531132.5777056,260,930.0
1760531185.5990896,261,930.0
1760531224.3558633,262,631.0
1760531277.1742766,263,930.0
1760531333.173878,264,930.0
1760531389.4193203,265,930.0
1760531425.315121,266,603.0
1760531463.3364084,267,628.0
1760531514.483998,268,930.0
1760531566.494415,269,930.0
1760531622.2496586,270,930.0
1760531673.7118976,271,930.0
1760531725.6949167,272,930.0
1760531779.0930262,273,930.0
1760531814.5667744,274,622.0
1760531848.3216574,275,598.0
1760531905.0398803,276,930.0
1760531954.0580075,277,930.0
1760531987.6837075,278,603.0
1760532024.9850442,279,630.0
1760532079.5627844,280,930.0
1760532135.568584,281,930.0
1760532189.9261727,282,930.0
1760532248.4975984,283,930.0
1760532309.4776294,284,930.0
1760532349.6613955,285,625.0
1760532405.024595,286,930.0
1760532464.0861354,287,930.0
1760532517.3337834,288,930.0
1760532570.585877,289,930.0
1760532621.996067,290,930.0
1760532677.9850457,291,930.0
1760532730.5748541,292,930.0
1760532782.1574643,293,930.0
1760532841.4814055,294,930.0
1760532890.2323895,295,930.0
1760532939.9641807,296,930.0
1760532975.763752,297,612.0
1760533029.3997133,298,930.0
1760533086.388076,299,930.0
1760533142.7659268,300,930.0
1760533194.1852765,301,930.0
1760533250.283469,302,930.0
1760533290.022452,303,629.0
1760533347.974096,304,930.0
1760533404.7537942,305,930.0
1760533466.3660643,306,930.0
1760533523.604822,307,930.0
1760533583.593483,308,930.0
1760533656.7930782,309,930.0
1760533721.3081226,310,930.0
1760533783.0853903,311,930.0
1760533841.5354536,312,930.0
1760533899.1584394,313,930.0
1760533940.881963,314,568.0
1760533982.2173595,315,571.0
1760534041.9035914,316,930.0
1760534084.115471,317,573.0
1760534133.5517075,318,630.0
1760534198.1621912,319,930.0
1760534258.2785249,320,930.0
1760534301.4198964,321,631.0
1760534352.53655,322,286.0
1760534413.563809,323,930.0
1760534475.9727721,324,930.0
1760534548.4280841,325,930.0
1760534607.827289,326,930.0
1760534665.9244943,327,930.0
1760534726.3738306,328,930.0
1760534788.1850479,329,930.0
1760534824.458953,330,175.0
1760534864.6406112,331,569.0
1760534924.3102636,332,930.0
1760534969.469493,333,622.0
1760535031.9987001,334,930.0
1760535075.862753,335,632.0
1760535138.1506338,336,930.0
1760535200.2937956,337,879.0
1760535260.6617398,338,930.0
1760535325.0705953,339,930.0
1760535389.1386359,340,930.0
1760535468.4987364,341,930.0
1760535534.2085555,342,930.0
1760535590.677976,343,286.0
1760535676.8412948,344,930.0
1760535738.4328246,345,930.0
1760535799.5745382,346,930.0
1760535843.2132125,347,603.0
1760535905.6824656,348,930.0
1760535975.8627262,349,930.0
1760536023.200413,350,604.0
1760536098.9088132,351,930.0
1760536163.1605496,352,877.0
