Wall time,Step,Value
1763290004.0366964,5,1.0
1763290174.4668906,15,0.0
1763290187.6762426,16,0.0
1763290229.033877,19,0.0
1763290251.9507701,20,0.0
1763290372.2259183,27,0.0
1763290376.300579,28,1.0
1763290485.3838406,41,1.0
1763290540.9515536,48,1.0
1763290548.0734246,49,1.0
1763290553.723818,50,1.0
1763290591.1095862,55,1.0
1763290718.8389223,63,1.0
1763290728.2640834,64,1.0
1763290750.8052042,67,1.0
1763290763.614202,68,0.0
1763290796.2406416,71,1.0
1763290802.8672802,72,1.0
1763290832.69054,78,1.0
1763290864.7052207,83,0.0
1763290913.5751896,90,1.0
1763291012.686261,100,1.0
1763291060.8035076,104,0.0
1763291111.6802049,108,0.0
1763291287.6700652,122,0.0
1763291337.330111,126,0.0
1763291351.6389558,127,0.0
1763291377.7617161,129,0.0
1763291399.4694822,131,0.0
1763291468.6570811,137,0.0
1763291561.8528736,145,0.0
1763291581.850466,147,0.0
1763291592.7127788,148,0.0
1763291621.7756488,151,0.0
1763291696.5163834,158,0.0
1763291729.5985403,161,0.0
1763291751.0628297,163,0.0
1763291772.0854838,165,0.0
1763291846.9932237,172,0.0
1763291857.7660677,173,0.0
1763291912.7315924,178,0.0
1763291993.1686907,185,0.0
1763292004.4240205,186,0.0
1763292068.8373325,192,0.0
1763292078.945344,193,0.0
1763292206.6634212,204,0.0
1763292229.083033,206,0.0
1763292316.0064633,214,0.0
1763292336.4303634,216,0.0
1763292420.6008432,225,0.0
1763292479.4862187,230,0.0
1763292652.537616,245,0.0
1763292663.852501,246,1.0
1763292814.4108028,259,1.0
1763292827.5126488,260,0.0
1763292842.1260796,261,0.0
1763292969.8583727,272,0.0
1763293005.1985602,275,1.0
1763293042.5194178,279,0.0
1763293070.497856,283,1.0
1763293093.6617365,286,0.0
1763293136.9855223,289,1.0
1763293162.5159066,291,0.0
1763293223.1787348,296,0.0
1763293250.5580668,298,0.0
1763293263.1543462,299,0.0
1763293373.992766,309,0.0
1763293422.398834,313,0.0
1763293472.3577037,317,0.0
1763293494.5615034,319,0.0
1763293507.4533415,320,0.0
1763293544.3844697,323,0.0
1763293685.766573,338,0.0
1763293783.2715795,346,0.0
1763293796.480814,347,0.0
1763293950.4150665,359,0.0
1763294026.1244743,365,0.0
1763294037.6860971,366,0.0
1763294048.1426017,367,0.0
1763294193.7320158,379,0.0
1763294286.8102765,387,0.0
1763294330.04372,391,0.0
1763294351.1589403,393,0.0
1763294406.442798,398,0.0
1763294463.9172606,403,0.0
1763294485.1517708,405,0.0
1763294607.4384978,416,0.0
1763294670.72089,422,0.0
1763294680.8415322,423,0.0
1763294816.8196642,437,0.0
1763294826.5207384,438,0.0
1763294849.0442636,440,0.0
1763294888.5826871,444,0.0
1763294900.0233257,445,0.0
1763294919.7694275,447,0.0
1763294970.5624228,453,1.0
1763294991.620709,457,0.0
1763295038.1502953,462,0.0
1763295068.8962462,466,1.0
1763295095.7367635,469,1.0
1763295115.972116,471,0.0
1763295130.5722032,475,1.0
1763295133.78134,476,1.0
1763295178.9283438,481,0.0
1763295189.3448412,482,0.0
1763295228.3084805,488,0.0
1763295240.560555,490,1.0
1763295286.9851978,495,0.0
1763295376.6903021,511,1.0
1763295390.3440845,513,1.0
1763295400.2563684,514,0.0
1763295409.8876781,515,0.0
1763295435.8584888,518,0.0
1763295447.5059042,520,1.0
1763295551.4994702,534,1.0
1763295555.0949028,535,1.0
1763295572.616382,537,0.0
1763295580.824444,539,1.0
1763295600.0073624,541,0.0
1763295622.309674,545,1.0
1763295641.646282,547,0.0
1763295679.3968444,551,0.0
1763295696.235978,553,0.0
1763295724.4329467,557,1.0
1763295765.6763544,563,0.0
1763295773.6716552,565,1.0
1763295799.4280822,569,1.0
1763295923.190862,585,0.0
1763295933.0939207,586,0.0
1763295958.872019,589,0.0
1763295978.2401989,591,0.0
1763296017.4294848,595,1.0
1763296029.537729,597,0.0
1763296139.1745172,609,0.0
1763296180.7911649,614,1.0
1763296189.207079,615,0.0
1763296253.7831836,623,0.0
1763296261.3511074,624,1.0
1763296285.4189801,629,0.0
1763296293.3384535,630,0.0
1763296329.2792501,634,0.0
1763296365.3710055,638,0.0
1763296394.3571696,644,1.0
1763296397.3668113,645,1.0
1763296442.940007,650,0.0
1763296459.3231535,652,1.0
