Wall time,Step,Value
1762862562.4390628,1,1.0
1762862564.7919593,2,1.0
1762862566.5396986,3,1.0
1762862568.5127847,4,1.0
1762862571.4723177,5,1.0
1762862605.799878,6,1.0
1762862665.9689534,7,1.0
1762862692.1868203,8,1.0
1762862744.2859986,9,1.0
1762862765.0487633,10,1.0
1762862783.182572,11,1.0
1762862787.3046665,12,1.0
1762862792.4509938,13,1.0
1762862796.1381404,14,1.0
1762862800.6099334,15,1.0
1762862803.4448445,16,1.0
1762862807.1786087,17,1.0
1762862811.2643948,18,1.0
1762862815.2424576,19,1.0
1762862819.8463047,20,1.0
1762862823.8757436,21,1.0
1762862828.6522896,22,1.0
1762862843.6759086,23,1.0
1762862848.2422311,24,1.0
1762862852.559433,25,1.0
1762862856.2587073,26,1.0
1762862860.2251627,27,1.0
1762862865.470039,28,1.0
1762862875.551309,29,1.0
1762862888.4675133,30,1.0
1762862893.7210908,31,1.0
1762862898.0820198,32,1.0
1762862901.719656,33,1.0
1762862909.1861503,34,1.0
1762862912.9914136,35,1.0
1762862919.327271,36,1.0
1762862927.7943218,37,1.0
1762862949.3898792,38,1.0
1762863237.2022455,39,0.0
1762863401.5663314,40,0.0
1762863511.872997,41,0.0
1762863798.7452247,42,0.0
1762864038.5514371,43,0.0
1762864187.2585893,44,0.0
1762864349.4522824,45,0.0
1762864545.6113443,46,0.0
1762864700.6571994,47,0.0
1762864864.1956253,48,0.0
1762865148.351701,49,0.0
1762865339.5481515,50,0.0
1762865519.9820693,51,0.0
1762865695.0930731,52,0.0
1762865885.2570124,53,0.0
1762866085.5080538,54,0.0
1762866273.4134543,55,0.0
1762866476.057398,56,0.0
1762866672.0669153,57,0.0
1762866870.094318,58,0.0
1762867057.384503,59,0.0
1762867251.8058484,60,0.0
1762867449.6029346,61,0.0
1762867662.9466262,62,0.0
1762867886.7738817,63,0.0
1762868140.1335108,64,0.0
1762868408.7554646,65,0.0
1762868678.177199,66,0.0
1762868952.1809485,67,0.0
1762869241.848704,68,0.0
1762869515.919877,69,0.0
1762869784.936997,70,0.0
1762870055.0827894,71,0.0
1762870321.791458,72,0.0
1762870584.2983775,73,0.0
1762870840.7171276,74,0.0
1762871093.3446503,75,0.0
1762871347.0727456,76,0.0
1762871612.3477757,77,0.0
1762871888.0689068,78,0.0
1762872160.6122906,79,0.0
1762872446.2905185,80,0.0
1762872732.111375,81,0.0
1762873021.5046847,82,0.0
1762873309.3492906,83,0.0
1762873474.9853356,84,1.0
1762873551.4164472,85,1.0
1762873840.7686791,86,0.0
1762874130.213696,87,0.0
1762874419.769832,88,0.0
1762874594.0528488,89,1.0
1762874884.2483556,90,0.0
1762875173.8549917,91,0.0
1762875462.3105235,92,0.0
1762875751.5615213,93,0.0
1762875916.2635584,94,1.0
1762876205.8799193,95,0.0
1762876494.8809137,96,0.0
1762876784.320857,97,0.0
1762877073.8724334,98,0.0
1762877362.8905904,99,0.0
1762877652.794726,100,0.0
1762877942.6598828,101,0.0
1762878232.8153782,102,0.0
1762878522.6115541,103,0.0
1762878812.0363228,104,0.0
1762879101.6332414,105,0.0
1762879391.408774,106,0.0
1762879681.3095515,107,0.0
1762879971.418679,108,0.0
1762880262.1634638,109,0.0
1762880551.4704676,110,0.0
1762880841.059335,111,0.0
1762881130.7906334,112,0.0
1762881420.0219755,113,0.0
1762881709.8135026,114,0.0
1762881999.5245118,115,0.0
1762882289.0296743,116,0.0
1762882577.9234657,117,0.0
1762882867.6907773,118,0.0
1762883157.2530985,119,0.0
1762883447.7042677,120,0.0
1762883738.0423226,121,0.0
1762884027.4014912,122,0.0
