Wall time,Step,Value
1762434921.8649442,1,13.0
1762434923.1090686,2,10.0
1762434925.3802783,3,10.0
1762434941.9698029,4,5.0
1762434960.0339644,5,4048.0
1762434975.688937,6,5.0
1762435072.4880836,7,804.0
1762435074.8922195,8,23.0
1762435076.2489958,9,11.0
1762435077.59967,10,11.0
1762435083.590661,11,73.0
1762435086.4943483,12,36.0
1762435088.4472864,13,28.0
1762435090.3123646,14,24.0
1762435091.7230096,15,15.0
1762435096.8300772,16,72.0
1762435098.5243616,17,21.0
1762435101.3592715,18,34.0
1762435102.851922,19,16.0
1762435103.998117,20,9.0
1762435106.0574067,21,23.0
1762435112.1817603,22,74.0
1762435119.5947592,23,2442.0
1762435123.3078322,24,52.0
1762435125.7319381,25,35.0
1762435128.9630618,26,43.0
1762435183.5980647,27,805.0
1762435294.6104062,28,4720.0
1762435339.553879,29,807.0
1762435428.0952106,30,4720.0
1762435443.072796,31,370.0
1762435507.391518,32,4720.0
1762435541.1180315,33,874.0
1762435574.5876834,34,882.0
1762435645.2988517,35,4720.0
1762435720.3916023,36,4720.0
1762435793.218185,37,4720.0
1762435870.870595,38,4720.0
1762435953.6022668,39,4720.0
1762436031.9246924,40,4720.0
1762436106.6985002,41,4720.0
1762436178.7061317,42,4720.0
1762436250.1363876,43,4720.0
1762436333.9893653,44,4720.0
1762436427.170507,45,4720.0
1762436524.6708317,46,4720.0
1762436610.4310634,47,4720.0
1762436690.4519463,48,4720.0
1762436771.3077688,49,4720.0
1762436789.7107475,50,395.0
1762436802.8085177,51,350.0
1762436818.3420005,52,348.0
1762436897.7059395,53,4720.0
1762436907.5545323,54,226.0
1762436922.0974672,55,343.0
1762436936.6213176,56,343.0
1762436950.890394,57,349.0
1762436963.6367118,58,349.0
1762436975.8546715,59,350.0
1762436986.262382,60,347.0
1762436998.115397,61,347.0
1762437009.6347096,62,371.0
1762437071.2169735,63,4720.0
1762437132.0059571,64,4720.0
1762437197.2059236,65,4720.0
1762437232.0818036,66,830.0
1762437273.766973,67,809.0
1762437308.4451976,68,814.0
1762437310.8787327,69,40.0
1762437313.418422,70,37.0
1762437319.7240088,71,106.0
1762437332.5897052,72,281.0
1762437334.746816,73,40.0
1762437337.9723587,74,67.0
1762437341.4748902,75,61.0
1762437359.0833743,76,82.0
1762437365.1500347,77,127.0
1762437368.7529302,78,66.0
1762437376.0908124,79,159.0
1762437448.7029681,80,4720.0
1762437525.4667282,81,4720.0
1762437609.4761384,82,4720.0
1762437697.1238687,83,4720.0
1762437789.760679,84,4720.0
1762437888.750289,85,4720.0
1762437930.9402454,86,476.0
1762438037.4588432,87,4720.0
1762438134.203669,88,4720.0
1762438234.367722,89,4720.0
1762438338.1425953,90,4720.0
1762438441.879848,91,4720.0
1762438551.5664742,92,4720.0
1762438656.830951,93,4720.0
1762438767.4370759,94,4720.0
1762438875.1258066,95,4720.0
1762438959.487925,96,4720.0
1762439045.9431465,97,4720.0
1762439132.5265753,98,4720.0
1762439212.0159009,99,4720.0
1762439287.519526,100,4720.0
1762439365.243316,101,4720.0
1762439445.4332914,102,4720.0
1762439531.836964,103,4720.0
1762439618.392634,104,4720.0
1762439704.491102,105,4720.0
1762439784.331452,106,4720.0
1762439865.8690464,107,4720.0
1762439948.9625714,108,4720.0
1762440028.735816,109,4720.0
1762440114.9592361,110,4720.0
1762440203.7222555,111,4720.0
1762440287.8191545,112,4720.0
1762440371.6194282,113,4720.0
1762440452.2205358,114,4720.0
1762440536.7997985,115,4720.0
1762440617.1789956,116,4720.0
1762440698.671476,117,4720.0
1762440719.78083,118,428.0
1762440798.215268,119,4720.0
1762440878.2164123,120,4720.0
1762440955.5737236,121,4720.0
1762441033.0377676,122,4720.0
1762441038.5791273,123,105.0
1762441114.4843595,124,4720.0
1762441188.6685102,125,4720.0
1762441263.9513333,126,4720.0
1762441348.2951398,127,4720.0
1762441430.5687773,128,4720.0
1762441518.110538,129,4720.0
1762441600.3432887,130,4720.0
1762441677.6098537,131,4720.0
1762441756.2848485,132,4720.0
1762441836.5005407,133,4720.0
1762441915.3667622,134,4720.0
1762441997.655155,135,4720.0
1762442077.157189,136,4720.0
1762442154.33193,137,4720.0
1762442233.845584,138,4720.0
1762442315.0591016,139,4720.0
1762442351.742513,140,829.0
1762442426.274118,141,4720.0
1762442433.8962083,142,152.0
1762442510.108636,143,4720.0
1762442583.4833465,144,4720.0
1762442666.078231,145,4720.0
1762442748.0604334,146,4720.0
1762442829.2015345,147,4720.0
1762442904.738558,148,4720.0
1762442974.1870031,149,4720.0
1762443056.2876086,150,4720.0
1762443120.2437725,151,4720.0
1762443123.6927576,152,76.0
1762443190.6394527,153,4720.0
1762443261.082392,154,4720.0
1762443324.5463605,155,4720.0
1762443388.2967594,156,4720.0
1762443454.3717787,157,4720.0
1762443459.7618418,158,105.0
1762443491.3136654,159,710.0
1762443494.1472633,160,51.0
1762443500.4059825,161,105.0
1762443505.4600463,162,105.0
1762443512.60275,163,148.0
1762443515.779375,164,50.0
1762443533.1673956,165,363.0
1762443536.6163824,166,67.0
1762443541.7325888,167,105.0
1762443544.5190356,168,50.0
1762443546.7105618,169,39.0
1762443549.7218447,170,50.0
1762443552.1246932,171,39.0
1762443555.0590682,172,46.0
1762443557.9493144,173,52.0
1762443561.320979,174,50.0
1762443563.9269087,175,38.0
1762443566.2121472,176,38.0
1762443568.6589272,177,38.0
1762443570.271027,178,24.0
1762443571.916254,179,25.0
1762443574.247553,180,41.0
1762443576.4318748,181,34.0
1762443578.8304636,182,43.0
1762443608.1629767,183,593.0
1762443613.3263237,184,105.0
1762443615.9938524,185,50.0
1762443617.46374,186,19.0
1762443621.9724183,187,67.0
1762443628.323266,188,105.0
1762443710.0967085,189,4720.0
1762443786.0021138,190,4720.0
1762443866.5973015,191,4720.0
1762443944.3618393,192,4720.0
1762444022.010793,193,4720.0
1762444102.0719569,194,4720.0
1762444180.055546,195,4720.0
1762444260.9888456,196,4720.0
1762444347.058639,197,4720.0
1762444427.376135,198,4720.0
1762444508.1667433,199,4720.0
1762444515.710371,200,121.0
1762444594.7534678,201,4720.0
1762444597.9835865,202,48.0
1762444602.2740235,203,65.0
1762444604.154958,204,27.0
1762444605.4408317,205,15.0
1762444607.3008382,206,24.0
1762444609.102583,207,20.0
1762444611.0888295,208,29.0
1762444614.5989802,209,50.0
1762444618.0362813,210,50.0
1762444620.7697015,211,43.0
1762444695.9226124,212,4720.0
1762444780.6550856,213,4720.0
1762444824.5853505,214,866.0
1762444896.6187153,215,4720.0
1762444978.2131786,216,4720.0
1762445056.6421828,217,4720.0
1762445062.9810064,218,105.0
1762445144.0026464,219,4720.0
1762445226.986936,220,4720.0
1762445303.5618932,221,4720.0
1762445386.8875184,222,4720.0
1762445466.961667,223,4720.0
1762445536.828404,224,4720.0
1762445623.372717,225,4720.0
1762445705.7376676,226,4720.0
1762445775.7415879,227,4720.0
1762445779.396008,228,50.0
1762445856.4174001,229,4720.0
1762445894.757639,230,749.0
1762445976.9281785,231,4720.0
1762446048.5316565,232,4720.0
1762446135.4105594,233,4720.0
1762446220.23201,234,4720.0
1762446285.8167331,235,4720.0
1762446291.2895112,236,105.0
1762446369.6404827,237,4720.0
1762446445.757698,238,4720.0
1762446528.033796,239,4720.0
1762446599.375999,240,4720.0
1762446688.1764622,241,4720.0
