Wall time,Step,Value
1763523867.461371,1,4720.0
1763523887.269477,3,4720.0
1763523900.1937742,4,4720.0
1763523911.3812327,5,4720.0
1763523997.8711348,11,4720.0
1763524013.4503431,12,4685.0
1763524058.0781887,15,4720.0
1763524072.779638,16,4720.0
1763524101.7556884,19,4609.0
1763524110.4830203,20,65.0
1763524119.5375543,21,4642.0
1763524164.5801945,23,4720.0
1763524183.998638,24,4720.0
1763524229.882704,27,128.0
1763524246.5807996,28,4720.0
1763524278.2952774,30,4720.0
1763524335.442037,34,4720.0
1763524350.4700892,35,4720.0
1763524382.9290798,37,4720.0
1763524400.4682155,38,4720.0
1763524420.2268136,39,4720.0
1763524440.2423658,40,4720.0
1763524459.3143785,41,4720.0
1763524596.5073426,48,4720.0
1763524620.1667895,49,4720.0
1763524641.9343073,50,4720.0
1763524665.4131205,51,4720.0
1763524679.245323,52,4720.0
1763524698.2536156,53,4720.0
1763524731.4254372,55,4720.0
1763524760.1715236,56,4720.0
1763524794.9902406,58,4720.0
1763524840.3636203,61,4720.0
1763524855.3158672,62,4720.0
1763524869.9615107,63,4720.0
1763524885.1850908,64,4720.0
1763524913.8946693,66,4720.0
1763524924.4209738,67,4720.0
1763524937.67104,68,4720.0
1763524950.5252354,69,4720.0
1763524974.7065837,71,4720.0
1763524986.981834,72,4720.0
1763525012.0610795,74,4720.0
1763525038.648471,76,4720.0
1763525061.5453732,78,4720.0
1763525090.6313138,80,4720.0
1763525104.691295,81,4720.0
1763525133.1477377,83,4720.0
1763525146.5682032,84,4720.0
1763525174.8244681,86,4720.0
1763525188.311448,87,4720.0
1763525230.077261,90,4720.0
1763525242.4716785,91,4720.0
1763525303.8559668,96,4720.0
1763525357.2116792,100,4720.0
1763525371.7888005,101,4720.0
1763525412.2248597,104,4720.0
1763525451.0540323,107,4720.0
1763525462.3127577,108,4720.0
1763525488.4711032,110,4720.0
1763525503.1554835,111,4720.0
1763525517.995314,112,4720.0
1763525563.252238,115,4720.0
1763525592.7257113,117,4720.0
1763525657.1554966,122,4720.0
1763525715.090072,126,4720.0
1763525732.2852862,127,4720.0
1763525762.4742782,129,4720.0
1763525777.4468985,130,4720.0
1763525788.927648,131,4720.0
1763525806.0197275,132,4720.0
1763525818.5211916,133,4720.0
1763525850.273379,135,4720.0
1763525877.1693425,137,4720.0
1763525890.2444403,138,4720.0
1763525967.4662242,144,4720.0
1763525979.9491324,145,4720.0
1763526005.2641857,147,4720.0
1763526018.36227,148,4720.0
1763526055.7378628,151,4720.0
1763526148.0784366,158,4720.0
1763526175.3910348,160,4720.0
1763526189.8622515,161,4720.0
1763526212.6750414,163,4720.0
1763526226.4159741,164,4720.0
1763526238.0414345,165,4720.0
1763526266.0996222,167,4720.0
1763526321.181513,171,4720.0
1763526333.4472163,172,4720.0
1763526348.9091988,173,4720.0
1763526387.1729918,176,4720.0
1763526401.02307,177,4720.0
1763526414.129767,178,4720.0
1763526428.1009986,179,4720.0
1763526455.8215947,181,4720.0
1763526469.9782808,182,4720.0
1763526496.7659423,184,4720.0
1763526512.347073,185,4720.0
1763526524.8791351,186,4720.0
1763526538.9153666,187,4720.0
1763526582.3264885,190,4720.0
1763526599.5979888,191,4720.0
1763526614.5446653,192,4720.0
1763526628.2590125,193,4720.0
1763526667.052361,196,4705.0
1763526705.9134724,199,4720.0
1763526717.6087039,200,4720.0
1763526732.275747,201,4720.0
1763526759.9108777,203,4720.0
1763526773.174477,204,4720.0
1763526788.6937075,205,4720.0
1763526804.8450778,206,4720.0
1763526832.346871,208,4720.0
1763526855.5503924,210,4666.0
1763526870.526886,212,4720.0
1763526900.4861405,214,4720.0
1763526925.7772987,216,4720.0
1763526939.1025393,217,4720.0
1763526965.2096508,219,4720.0
1763526977.6286905,220,4720.0
1763526989.9465728,221,4720.0
1763527002.6955109,222,4720.0
1763527017.518555,223,4720.0
1763527035.3565133,225,42.0
1763527049.1181617,226,4720.0
1763527103.5345614,230,4720.0
1763527143.2611501,233,4720.0
1763527163.3445168,236,28.0
1763527176.864252,237,4720.0
1763527190.708045,238,4720.0
1763527204.5847147,239,4720.0
1763527219.1172757,240,4720.0
1763527244.495313,242,4720.0
1763527256.4409811,243,4720.0
1763527281.8634233,245,4720.0
1763527294.020341,246,4720.0
1763527302.942367,247,121.0
1763527315.4751668,248,4720.0
1763527373.9247549,253,4720.0
1763527387.4872017,254,4720.0
1763527393.657201,255,65.0
1763527429.7789826,258,4720.0
1763527441.6497676,259,4720.0
1763527457.519576,260,4720.0
1763527469.7690759,261,4720.0
1763527495.0030484,263,4720.0
1763527567.612053,269,4720.0
1763527590.9445703,271,4720.0
1763527605.1487217,272,4720.0
1763527643.7945356,275,4720.0
1763527656.0502615,276,4720.0
1763527669.0666518,277,4720.0
1763527691.870091,279,4720.0
1763527715.8376307,281,4720.0
1763527740.6358185,283,4705.0
1763527749.310302,284,106.0
1763527753.9132516,286,22.0
1763527762.3397155,288,76.0
1763527777.4782217,289,4720.0
1763527804.0379152,291,4720.0
1763527816.685236,292,4720.0
1763527845.1510901,296,4626.0
1763527850.831757,297,57.0
1763527854.3085032,298,4605.0
1763527857.7081707,299,4602.0
1763527862.2105405,300,52.0
1763527897.128292,305,4720.0
1763527906.4133332,307,4596.0
1763527910.508822,308,41.0
1763527919.5158777,309,90.0
1763527922.9149528,310,4601.0
1763527951.0530279,313,4720.0
1763527963.3637624,314,4720.0
1763527989.3325655,316,4720.0
1763528002.5249245,317,4720.0
1763528027.584248,319,4720.0
1763528040.6695886,320,4720.0
1763528074.241958,323,4707.0
1763528087.3046489,325,109.0
1763528115.582943,330,4720.0
1763528127.6499207,331,4720.0
1763528140.1419306,332,4720.0
1763528151.2835836,333,4720.0
1763528158.2706165,334,3132.0
1763528179.2430203,338,4720.0
1763528182.1873038,339,4596.0
1763528188.7562683,341,49.0
1763528197.6380792,344,4597.0
1763528200.0715218,345,4596.0
1763528202.0739367,346,14.0
1763528207.8503833,347,61.0
1763528234.754253,349,4720.0
1763528242.3072138,350,3126.0
1763528255.2379534,351,4720.0
1763528279.1196127,353,4720.0
1763528289.287017,354,4720.0
1763528301.944215,355,4720.0
1763528309.2197893,356,71.0
1763528332.1075332,358,4720.0
1763528343.7210073,359,4720.0
1763528370.1160553,361,4720.0
1763528393.8079882,363,4720.0
1763528407.0814872,364,4720.0
1763528410.0609646,365,28.0
1763528421.7515545,366,4720.0
1763528432.1613681,367,4720.0
1763528443.5538487,368,4720.0
1763528454.4588664,369,4720.0
1763528488.417397,375,4620.0
1763528498.895253,376,4720.0
1763528516.44172,378,4720.0
1763528520.5311337,379,38.0
1763528550.2912953,383,4720.0
1763528569.5944188,385,4675.0
1763528580.3392982,386,4720.0
1763528592.1901922,387,4720.0
1763528610.939989,390,22.0
1763528623.100079,391,4720.0
1763528633.8017004,392,4720.0
1763528642.1298816,393,4675.0
1763528654.3012028,394,4720.0
1763528667.0522838,395,4720.0
1763528678.7373111,396,4720.0
1763528691.8059018,397,4720.0
1763528699.428216,398,4657.0
1763528710.9033403,399,4720.0
1763528721.5246046,400,4720.0
1763528737.521481,402,4720.0
1763528749.2016475,403,4720.0
1763528765.6323895,405,4720.0
1763528780.0447128,407,3074.0
1763528797.7110112,409,3132.0
1763528808.0665557,410,4720.0
1763528841.9935496,413,4705.0
1763528852.7730644,414,4708.0
1763528856.1474762,415,4601.0
1763528858.9753213,416,23.0
1763528866.791337,419,4604.0
1763528878.3642023,420,4720.0
1763528894.3029,422,46.0
1763528897.3533058,423,4598.0
1763528924.6454666,426,4720.0
1763528935.2455974,427,4720.0
1763528978.0374656,431,4707.0
1763528991.0710099,432,4720.0
1763529021.6623862,435,3100.0
1763529034.6790807,436,4720.0
1763529047.0232778,437,4720.0
1763529058.063123,438,4720.0
1763529070.5300262,439,4720.0
1763529077.8054848,440,3132.0
1763529081.7432892,441,34.0
1763529095.3509855,442,4720.0
1763529107.1330416,444,39.0
1763529110.0948873,445,27.0
1763529115.4620836,446,4631.0
1763529125.3444066,447,130.0
1763529140.020311,451,41.0
1763529146.7190204,452,3132.0
1763529157.2728798,453,4720.0
1763529170.5147417,454,4720.0
1763529180.4997942,455,4720.0
1763529191.1047087,457,71.0
1763529195.861071,459,4595.0
1763529212.0368547,461,1593.0
1763529216.4199874,462,4620.0
1763529228.906998,463,4720.0
1763529251.368064,465,4720.0
1763529253.6825857,466,22.0
1763529264.7669873,467,4720.0
1763529286.2918954,469,4720.0
1763529309.6942718,471,4720.0
1763529316.197112,472,4669.0
1763529336.5017056,475,4667.0
1763529348.3199813,476,4720.0
1763529373.0686646,479,4674.0
1763529385.3810308,480,4720.0
1763529398.1186807,481,4720.0
1763529408.973945,482,4720.0
1763529420.9425178,483,4720.0
1763529432.1720488,484,4720.0
1763529443.6121428,485,4720.0
1763529463.9161592,487,4720.0
1763529474.3906956,488,4720.0
1763529485.5221262,489,4720.0
1763529495.7233446,490,4720.0
1763529517.95077,492,4720.0
1763529551.3226674,495,4720.0
1763529561.6647766,496,4720.0
1763529586.2178538,499,4720.0
1763529621.9496741,502,4720.0
1763529633.6466002,503,4720.0
1763529645.5821307,504,4720.0
1763529677.4475608,507,4678.0
1763529701.2476754,509,4720.0
1763529705.5639975,510,54.0
1763529708.9934342,511,35.0
1763529711.6018066,512,4601.0
1763529714.683623,513,4598.0
1763529726.470831,514,4720.0
1763529737.8214002,515,4720.0
1763529761.3480802,517,4720.0
1763529770.7932928,518,4720.0
1763529775.2100196,519,4631.0
1763529786.6570477,520,4720.0
1763529792.4352427,521,69.0
1763529801.9498243,522,128.0
1763529814.5042102,524,4699.0
1763529895.5943737,531,4720.0
1763529930.0642343,534,4720.0
1763529935.8898711,535,4654.0
1763529939.6440768,536,4616.0
1763529950.7569928,537,4720.0
1763529963.525235,538,4720.0
1763529974.0356052,539,4720.0
1763529985.1459389,540,4720.0
1763529993.5802212,541,91.0
1763530004.6067681,542,4720.0
1763530017.1370182,543,4720.0
1763530027.9424858,544,4720.0
1763530040.1826725,545,4720.0
1763530063.4057257,547,4720.0
1763530074.78046,548,4720.0
1763530108.9731345,551,4720.0
1763530133.5241885,553,4720.0
1763530156.152868,555,4720.0
1763530167.4240065,556,4720.0
1763530178.0756266,557,4720.0
1763530226.4001372,563,1598.0
1763530238.5397685,564,4720.0
1763530252.0581646,565,4720.0
1763530299.167469,569,4720.0
1763530309.713432,570,4720.0
1763530327.662412,572,4639.0
1763530344.0987651,574,4720.0
1763530378.8715403,577,4720.0
1763530417.2440574,581,4623.0
1763530455.5017784,585,4608.0
1763530466.902457,586,4720.0
1763530473.776357,587,4668.0
1763530497.7143195,589,4720.0
1763530508.3954709,590,4720.0
1763530522.1103969,591,4720.0
1763530534.1633475,592,4720.0
1763530545.9894867,593,4720.0
1763530569.768421,595,4720.0
1763530596.0849555,597,4720.0
1763530609.7225244,598,4720.0
1763530622.5377421,599,4720.0
1763530634.1425252,600,4720.0
1763530660.0481915,602,4720.0
1763530671.5983787,603,4720.0
1763530686.8312318,604,4720.0
1763530710.6270194,606,4720.0
1763530746.7912815,609,4720.0
1763530770.298945,611,4720.0
1763530802.9383483,614,4720.0
1763530814.8716366,615,4720.0
1763530838.2614903,617,4720.0
1763530848.19553,618,4720.0
1763530853.6023088,619,4645.0
1763530859.9904146,621,28.0
1763530878.6896245,623,4720.0
1763530890.2140973,624,4720.0
1763530924.94485,627,4720.0
1763530937.5560448,628,4720.0
1763530947.4251285,629,4720.0
1763530958.5847569,630,4720.0
1763531006.4782104,634,4720.0
1763531018.8433459,635,4720.0
1763531029.2474992,636,4720.0
1763531051.499524,638,4720.0
1763531085.01549,641,4720.0
1763531096.3454893,642,4720.0
1763531108.6633964,643,4720.0
1763531119.7748382,644,4720.0
1763531131.4064784,645,4720.0
1763531141.7625346,646,4720.0
1763531190.1162226,650,4720.0
1763531215.344577,652,4720.0
1763531227.2744522,653,4720.0
1763531238.832196,654,4720.0
1763531251.0712678,655,4720.0
1763531261.335096,656,4720.0
1763531298.151696,659,4720.0
1763531310.447516,660,4720.0
1763531322.3656108,661,4720.0
1763531403.8091044,668,4720.0
1763531441.6969109,671,4720.0
1763531503.314682,676,4720.0
1763531515.2946742,677,4720.0
1763531529.1517043,678,4720.0
1763531569.891881,681,4720.0
1763531595.7620556,683,4720.0
1763531609.619085,684,4720.0
1763531622.6304471,685,4720.0
1763531636.6772504,686,4720.0
1763531666.7970185,688,4720.0
1763531678.5651157,689,4720.0
1763531720.0335956,693,4720.0
1763531732.3794727,694,4720.0
1763531742.9106321,695,4720.0
1763531755.2173934,696,4720.0
1763531767.3986115,697,4720.0
1763531779.6772199,698,4720.0
1763531802.4490328,700,4720.0
1763531821.0213249,703,4603.0
1763531833.024685,704,4720.0
1763531860.3115203,706,4720.0
1763531899.3275845,710,1573.0
1763531914.6945732,711,4720.0
1763531940.2895422,713,4720.0
1763531978.434553,716,4720.0
1763532006.4076507,718,4720.0
1763532031.3161356,720,4720.0
1763532044.5156713,721,4720.0
1763532057.6666608,722,4720.0
1763532079.9172502,724,4720.0
1763532091.2026846,725,4720.0
1763532105.9058158,726,4720.0
1763532116.1868806,727,4720.0
1763532129.5354571,728,4720.0
1763532142.8169446,729,4720.0
1763532150.4098458,730,92.0
1763532176.6680024,732,4720.0
1763532189.0571277,733,4720.0
1763532194.7558627,734,4632.0
1763532250.0678535,739,42.0
1763532262.8214362,740,4720.0
1763532275.0881648,741,4720.0
1763532302.631224,743,4720.0
1763532317.4372628,744,4720.0
1763532332.9033954,745,4720.0
1763532343.9201498,746,4720.0
1763532437.492059,753,4720.0
1763532472.947624,756,4720.0
1763532485.1277552,757,4720.0
1763532506.9768093,759,4720.0
1763532566.1553833,764,4720.0
1763532578.8316534,765,4720.0
1763532589.6923318,766,4720.0
1763532612.8060787,768,4720.0
1763532624.6491652,769,132.0
1763532635.3269753,770,4720.0
1763532649.2240422,771,4720.0
1763532661.7671192,772,4720.0
1763532673.526873,773,4720.0
1763532685.3112326,774,4720.0
1763532711.497518,776,4720.0
1763532724.2389817,777,4720.0
1763532750.6989477,779,4720.0
1763532756.0042436,780,59.0
1763532770.1706722,781,4720.0
1763532782.8250875,782,4720.0
1763532796.2963984,783,4720.0
1763532809.6271527,784,4720.0
1763532846.8470602,787,4720.0
1763532861.2996724,789,4604.0
1763532873.1264796,790,4720.0
1763532887.7996998,792,4665.0
1763532905.2863324,794,46.0
1763532924.0805464,796,4720.0
1763532936.943291,797,4720.0
1763532940.732574,798,36.0
1763532955.7739105,800,4720.0
1763532969.5776937,801,4720.0
1763533020.2580523,805,117.0
1763533032.9862607,806,4720.0
1763533046.0469668,807,4720.0
1763533058.8142426,808,4720.0
1763533095.9771721,811,4720.0
1763533110.640714,812,4720.0
1763533125.9325142,814,4720.0
1763533191.6021714,819,4720.0
1763533203.9833093,820,4720.0
1763533229.131662,822,4720.0
1763533241.24205,823,4720.0
1763533254.9919484,824,4720.0
1763533268.8295941,826,70.0
1763533273.5690746,827,4625.0
1763533279.9864902,828,79.0
1763533292.9500825,829,4720.0
1763533316.5225024,831,4720.0
1763533341.9183993,833,4720.0
1763533354.4265327,834,4720.0
1763533377.7433097,836,3178.0
1763533389.4319787,837,4708.0
1763533399.9903467,838,4720.0
1763533421.9074483,840,4720.0
1763533432.8973253,841,4720.0
1763533456.5563252,843,4720.0
1763533466.4377754,844,113.0
1763533482.1840281,846,4617.0
