Wall time,Step,Value
1762912600.9620538,1,18.0
1762912603.3258846,2,11.0
1762912605.0505452,3,8.0
1762912606.9676247,4,10.0
1762912609.9403152,5,14.0
1762912644.3013074,6,523.0
1762912704.383069,7,1036.0
1762912730.399843,8,352.0
1762912782.4024513,9,665.0
1762912803.1156645,10,120.0
1762912821.238684,11,111.0
1762912825.3875978,12,24.0
1762912830.5373652,13,32.0
1762912834.157351,14,23.0
1762912838.5557106,15,29.0
1762912841.390438,16,17.0
1762912845.1271117,17,22.0
1762912849.275979,18,27.0
1762912853.2654886,19,29.0
1762912857.9206588,20,32.0
1762912861.95107,21,23.0
1762912866.7144399,22,30.0
1762912881.540754,23,134.0
1762912886.0855732,24,32.0
1762912890.3794303,25,32.0
1762912894.0460515,26,24.0
1762912898.0116327,27,24.0
1762912903.2209427,28,41.0
1762912913.2177117,29,62.0
1762912926.125779,30,95.0
1762912931.3212638,31,31.0
1762912935.6404192,32,27.0
1762912939.269285,33,22.0
1762912946.6221852,34,45.0
1762912950.3006427,35,20.0
1762912956.4857392,36,38.0
1762912965.0885785,37,44.0
1762912986.7222614,38,148.0
1762913274.218766,39,1368.0
1762913438.901073,40,4720.0
1762913565.8201072,41,4720.0
1762913853.0566397,42,1627.0
1762914059.9673152,43,4720.0
1762914279.6249216,44,1382.0
1762914344.8900201,45,819.0
1762914457.8709962,46,4720.0
1762914511.352202,47,800.0
1762914584.7619557,48,804.0
1762914654.6539314,49,1047.0
1762914673.9200892,50,387.0
1762914762.7206533,51,4720.0
1762914843.6606998,52,4720.0
1762914920.2338455,53,4720.0
1762915005.7090414,54,4720.0
1762915023.012259,55,353.0
1762915039.3708642,56,346.0
1762915137.2737703,57,4720.0
1762915158.8460298,58,383.0
1762915179.3005052,59,372.0
1762915285.7431717,60,4720.0
1762915385.5028198,61,4720.0
1762915475.8436935,62,4720.0
1762915571.6223752,63,4720.0
1762915662.472003,64,4720.0
1762915717.3205752,65,1049.0
1762915727.0891871,66,1588.0
1762915739.059308,67,154.0
1762915843.5829315,68,4720.0
1762915956.7452195,69,4720.0
1762916071.862289,70,4720.0
1762916178.6076288,71,4720.0
1762916302.4871953,72,4720.0
1762916457.3554175,73,4720.0
1762916581.095437,74,4720.0
1762916755.638217,75,4720.0
1762916918.7125864,76,4720.0
1762917081.148699,77,4720.0
1762917242.2334507,78,4720.0
1762917409.6089132,79,4720.0
1762917570.0390677,80,4720.0
1762917731.4725327,81,4720.0
1762917895.0727837,82,4720.0
1762918056.1984112,83,4720.0
1762918083.4315941,84,346.0
1762918117.6021214,85,383.0
1762918274.8123972,86,4720.0
1762918442.5805573,87,4720.0
1762918626.890387,88,4720.0
1762918832.328492,89,4720.0
1762919025.8048625,90,4720.0
1762919223.2208195,91,4720.0
1762919427.2704873,92,4720.0
1762919630.0392058,93,4720.0
1762919830.7981212,94,4720.0
1762920056.4129379,95,4720.0
1762920290.661099,96,4720.0
1762920533.4177668,97,4720.0
1762920765.610983,98,4720.0
1762921000.5715191,99,4720.0
1762921232.5705502,100,4720.0
1762921486.0852416,101,4720.0
1762921745.8828526,102,4720.0
1762922016.4962547,103,4720.0
1762922290.1783922,104,4720.0
1762922559.1170025,105,4720.0
1762922821.6612785,106,4720.0
1762923086.4458067,107,4720.0
1762923334.1941874,108,4720.0
1762923589.7486365,109,4720.0
1762923832.4021664,110,4720.0
1762924086.9911966,111,4720.0
1762924351.8909674,112,4720.0
1762924612.2390802,113,4720.0
1762924874.3351955,114,4720.0
1762925124.3665411,115,4720.0
1762925369.8774254,116,4720.0
1762925620.750245,117,4720.0
1762925870.9101484,118,4720.0
1762925999.2493129,119,836.0
1762926125.0054896,120,832.0
1762926384.8189213,121,4720.0
1762926518.3390203,122,830.0
1762926772.5505104,123,4720.0
1762927026.750315,124,4720.0
1762927283.9258842,125,4720.0
1762927536.4355245,126,4720.0
1762927803.9248583,127,4720.0
1762928068.435632,128,4720.0
1762928323.4941537,129,4720.0
1762928590.523696,130,4720.0
1762928766.3049073,131,1016.0
1762929034.9438355,132,4720.0
1762929306.7658422,133,4720.0
1762929565.5856469,134,4720.0
1762929835.8429072,135,4720.0
1762930100.2856443,136,4720.0
1762930371.563175,137,4720.0
1762930629.3752563,138,4720.0
1762930891.6607385,139,4720.0
1762931162.4243205,140,4720.0
1762931425.4380717,141,4720.0
1762931700.7084508,142,4720.0
1762931973.232336,143,4720.0
1762932257.197873,144,4720.0
1762932536.7620075,145,4720.0
1762932815.7322125,146,4720.0
1762933094.8096874,147,4720.0
1762933368.0358148,148,4720.0
1762933650.0930054,149,4720.0
1762933923.0444376,150,4720.0
1762934195.3359315,151,4720.0
