Wall time,Step,Value
1762780546.6077983,1,51.0
1762780566.770443,2,5.0
1762780584.8489661,3,7.0
1762780588.4095893,4,28.0
1762780591.840552,5,2497.0
1762780593.383185,6,11.0
1762780595.3918843,7,24.0
1762780606.9237795,8,124.0
1762780618.0962965,9,62.0
1762780620.3902044,10,16.0
1762780622.8278391,11,19.0
1762780625.0188549,12,18.0
1762780626.681088,13,12.0
1762780628.4722524,14,12.0
1762780631.7475104,15,27.0
1762780632.8915832,16,6.0
1762780646.2443068,17,10.0
1762780778.9528453,18,4509.0
1762780781.842122,19,21.0
1762780839.2519078,20,800.0
1762780869.8790267,21,434.0
1762780874.5479887,22,11.0
1762780895.4895458,23,5.0
1762780898.6129303,24,31.0
1762780899.9093993,25,9.0
1762780905.426997,26,56.0
1762780908.5662904,27,27.0
1762780934.116644,28,331.0
1762780941.0007164,29,78.0
1762781060.0718024,30,4720.0
1762781171.408041,31,4720.0
1762781286.2016482,32,4720.0
1762781409.3119595,33,1502.0
1762781411.7758408,34,28.0
1762781413.8121505,35,22.0
1762781420.3992648,36,70.0
1762781422.0617192,37,14.0
1762781424.264446,38,21.0
1762781427.2087479,39,15.0
1762781429.566227,40,24.0
1762781446.6793706,41,62.0
1762781485.6651454,42,188.0
1762781489.5342333,43,22.0
1762781522.1688745,44,366.0
1762781592.9814143,45,850.0
1762781699.7622945,46,4720.0
1762781760.6992686,47,821.0
1762781877.6238241,48,4720.0
1762782000.7761693,49,4720.0
1762782076.6809595,50,1010.0
1762782220.8162644,51,4720.0
1762782362.3963535,52,4720.0
1762782504.8959193,53,4720.0
1762782640.3378773,54,4720.0
1762782774.8766446,55,4720.0
1762782907.9643645,56,4720.0
1762783040.7669017,57,4720.0
1762783159.8344681,58,4720.0
1762783277.3132863,59,4720.0
1762783394.2259014,60,4720.0
1762783505.256538,61,4720.0
1762783631.5750568,62,4720.0
1762783769.6607075,63,4720.0
1762783915.0927181,64,4720.0
1762784062.0669112,65,4720.0
1762784203.9654555,66,4720.0
1762784350.5074875,67,4720.0
1762784499.0358093,68,4720.0
1762784647.1115015,69,4720.0
1762784800.3814995,70,4720.0
1762784951.0231755,71,4720.0
1762785105.2755103,72,4720.0
1762785258.6387281,73,4720.0
1762785406.7425168,74,4720.0
1762785552.6920154,75,4720.0
1762785691.8030608,76,4720.0
1762785837.0716321,77,4720.0
1762785922.5926027,78,1048.0
1762786055.080496,79,4720.0
1762786197.2598774,80,4720.0
1762786332.174765,81,4720.0
1762786466.448047,82,4720.0
1762786603.1755552,83,4720.0
1762786741.78168,84,4720.0
1762786876.6349235,85,4720.0
1762787006.7138605,86,4720.0
1762787141.8777037,87,4720.0
1762787289.4140556,88,4720.0
1762787441.1584246,89,4720.0
1762787534.070804,90,1048.0
1762787596.524888,91,803.0
1762787732.2577436,92,4720.0
1762787792.444558,93,803.0
1762787919.2635567,94,4720.0
1762788043.2575877,95,4720.0
1762788163.8195498,96,4720.0
1762788294.1184516,97,4720.0
1762788366.8535576,98,952.0
1762788475.6992295,99,4720.0
1762788539.8561952,100,934.0
1762788656.144399,101,4720.0
1762788764.8103864,102,4720.0
1762788879.305498,103,4720.0
1762788995.215159,104,4720.0
1762789058.1557627,105,942.0
1762789180.1515183,106,4720.0
1762789238.1955192,107,815.0
1762789354.4048095,108,4720.0
1762789423.7432857,109,1045.0
1762789469.8028793,110,801.0
1762789520.1767433,111,826.0
1762789565.943512,112,849.0
1762789615.921011,113,857.0
1762789712.4249735,114,4720.0
1762789812.626907,115,4720.0
1762789860.209255,116,954.0
1762789903.932641,117,803.0
1762789948.6351573,118,948.0
1762789981.0884173,119,804.0
1762790014.626079,120,804.0
1762790045.1562834,121,805.0
1762790080.8194916,122,821.0
1762790114.9974334,123,804.0
1762790149.7490618,124,803.0
1762790184.4064043,125,803.0
1762790218.3965135,126,802.0
1762790252.6802483,127,825.0
1762790288.0207448,128,808.0
1762790321.1394365,129,804.0
1762790358.446513,130,802.0
1762790392.4351676,131,804.0
1762790437.6571114,132,803.0
1762790479.407318,133,802.0
1762790517.5977042,134,802.0
1762790555.8235803,135,803.0
1762790593.758225,136,802.0
1762790633.7249825,137,804.0
1762790676.4000564,138,803.0
1762790719.3842747,139,804.0
1762790761.3601642,140,804.0
1762790808.2978404,141,802.0
1762790852.7064958,142,805.0
1762790895.4729688,143,803.0
1762790940.2010522,144,801.0
1762790983.165469,145,803.0
1762791028.3005953,146,802.0
1762791074.862735,147,803.0
1762791123.051391,148,802.0
1762791171.2702873,149,805.0
1762791221.4560502,150,803.0
1762791271.2576625,151,806.0
1762791321.577377,152,801.0
1762791369.4063404,153,805.0
1762791421.8623757,154,803.0
1762791472.9316158,155,806.0
1762791526.2908022,156,804.0
1762791579.6325366,157,804.0
1762791630.8197792,158,803.0
1762791680.5318391,159,802.0
1762791732.665761,160,804.0
1762791785.9111013,161,805.0
1762791838.964959,162,805.0
1762791894.001194,163,801.0
1762791945.1184626,164,803.0
1762791996.232319,165,804.0
1762792050.5738127,166,819.0
1762792103.5718777,167,804.0
1762792155.4347954,168,804.0
1762792207.8707652,169,804.0
1762792258.146237,170,802.0
1762792312.275336,171,818.0
1762792366.8727152,172,805.0
1762792419.3527632,173,799.0
1762792474.8887458,174,802.0
1762792527.8952625,175,804.0
1762792579.9187734,176,805.0
1762792632.1687522,177,802.0
1762792681.5404336,178,805.0
1762792734.0616064,179,813.0
1762792795.1189256,180,916.0
1762792825.325019,181,423.0
1762792878.781067,182,805.0
1762792934.3768985,183,799.0
1762792988.0129497,184,803.0
1762793044.15802,185,803.0
1762793108.332393,186,919.0
1762793186.6269867,187,1039.0
1762793244.897178,188,851.0
1762793301.4253023,189,803.0
1762793369.03764,190,963.0
1762793424.218871,191,802.0
1762793485.5476477,192,927.0
1762793549.7375352,193,939.0
1762793615.0677943,194,918.0
1762793679.8857105,195,914.0
1762793739.1572115,196,803.0
1762793800.1731408,197,922.0
1762793867.6551383,198,1046.0
1762793875.8280823,199,106.0
1762793931.091973,200,799.0
1762793981.7079163,201,801.0
1762794043.7923205,202,921.0
1762794166.9925213,203,4720.0
1762794239.8513448,204,970.0
1762794300.9576983,205,800.0
1762794366.2676742,206,799.0
1762794432.2131195,207,974.0
1762794503.6424053,208,957.0
1762794561.9665232,209,800.0
1762794619.5457385,210,802.0
1762794688.598181,211,930.0
1762794750.1786933,212,804.0
1762794812.8130324,213,868.0
1762794869.7511995,214,800.0
1762794923.7303026,215,804.0
1762794991.9109738,216,931.0
1762795062.5133781,217,1006.0
1762795134.972373,218,991.0
1762795197.272738,219,929.0
1762795258.9916322,220,801.0
1762795289.6435292,221,392.0
1762795351.8399498,222,853.0
